rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2763,black,"Salem, A.R. Saleh",2633,lose,46,E49,Almaty,2022
2763,white,"Moussard, Jules",2606,win,45,E68,Almaty,2022
2763,black,"Nepomniachtchi, Ian",2782,lose,36,E97,Almaty,2022
2763,black,"Lazavik, Denis",2484,draw,39,A40,Almaty,2022
2763,white,"Sanal, Vahap",2576,win,75,A07,Almaty,2022
2763,black,"Nakamura, Hikaru",2909,lose,39,C07,Almaty,2022
2763,white,"Shimanov, Aleksandr",2605,win,54,B12,Almaty,2022
2763,black,"Vakhidov, Jakhongir",2507,win,28,A10,Almaty,2022
2763,white,"Durarbayli, Vasif",2576,draw,52,A07,Almaty,2022
2763,black,"Jumabayev, Rinat",2584,win,24,A40,Almaty,2022
2763,white,"Moiseenko, Alexander",2577,lose,76,A04,Almaty,2022
2763,black,"Petrosyan, Manuel",2560,draw,42,A40,Almaty,2022
2763,white,"Quparadze, Giga",2587,draw,29,A04,Almaty,2022
2763,black,"Tsydypov, Zhamsaran",2593,win,44,C02,Almaty,2022
2763,white,"Yilmaz, Mustafa",2564,win,38,A08,Almaty,2022
2763,black,"Nogerbek, Kazybek",2487,win,26,A04,Almaty,2022
2763,white,"Ansat, Aldiyar",2302,lose,36,A05,Almaty,2022
2763,black,"Hansen, Eric",2568,lose,28,C11,Almaty,2022
2763,white,"Anton Guijarro, David",2585,draw,18,A08,Almaty,2022
2763,black,"Nguyen, Thai Dai Van",2534,win,41,A40,Almaty,2022
2759,black,"Yoo, Christopher Woojin",2463,win,35,C51,Almaty,2022
2759,white,"Nguyen, Thai Dai Van",2534,win,39,A07,Almaty,2022
2759,black,Erigaisi Arjun,2628,lose,34,E11,Almaty,2022
2759,white,"Amin, Bassem",2567,draw,53,E71,Almaty,2022
2759,black,"Tomashevsky, Evgeny",2628,draw,18,E10,Almaty,2022
2759,white,"Donchenko, Alexander",2597,win,48,B23,Almaty,2022
2759,black,"Predke, Alexandr",2584,draw,39,A07,Almaty,2022
2759,white,"Sargsyan, Shant",2561,draw,26,C49,Almaty,2022
2759,black,"Tabatabaei, M. Amin",2526,win,37,C02,Almaty,2022
2759,white,"Yakubboev, Nodirbek",2573,draw,50,A05,Almaty,2022
2759,black,"Kovalev, Vladislav",2523,win,50,B07,Almaty,2022
2759,white,"Petrov, Nikita",2519,draw,42,C70,Almaty,2022
2759,black,"Yilmaz, Mustafa",2521,draw,48,E10,Almaty,2022
2742,black,"Artemiev, Vladislav",2700,draw,17,A05,Sochi,2022
2742,white,"Tomashevsky, Evgeny",2708,draw,36,D40,Sochi,2022
2742,black,"Sjugirov, Sanan",2696,draw,47,A05,Sochi,2022
2742,white,"Esipenko, Andrey",2709,win,70,D10,Sochi,2022
2742,black,"Najer, Evgeniy",2659,draw,35,C67,Sochi,2022
2742,white,"Shubin, Kirill",2472,win,40,C17,Sochi,2022
2742,white,"Sargissian, Gabriel",2694,draw,21,C47,Sochi,2022
2758,white,"Shankland, Samuel L",2704,draw,30,B51,Belgrade,2022
2758,black,"Bacrot, Etienne",2635,draw,23,C84,Belgrade,2022
2758,black,"Andreikin, Dmitry",2724,draw,32,D85,Belgrade,2022
2758,white,"Bacrot, Etienne",2635,draw,32,C42,Belgrade,2022
2758,black,"Shankland, Samuel L",2704,lose,39,E32,Belgrade,2022
2758,white,"Andreikin, Dmitry",2724,lose,35,B46,Belgrade,2022
2757,white,"Kravtsiv, Martyn",2638,draw,37,C84,Warsaw,2021
2757,black,"Dreev, Alexey",2641,draw,8,A46,Warsaw,2021
2757,white,"Giri, Anish",2778,draw,30,B52,Warsaw,2021
2757,black,"Sargsyan, Shant",2537,win,59,E73,Warsaw,2021
2757,black,"Sanal, Vahap",2499,draw,59,C11,Warsaw,2021
2757,white,"Carlsen, Magnus",2892,win,58,E04,Warsaw,2021
2757,white,"Oparin, Grigoriy",2580,draw,47,C83,Warsaw,2021
2757,black,"Nepomniachtchi, Ian",2792,lose,35,C67,Warsaw,2021
2757,white,"Artemiev, Vladislav",2830,draw,15,C42,Warsaw,2021
2757,black,"Nakamura, Hikaru",2884,draw,91,E32,Warsaw,2021
2757,white,"Adly, Ahmed",2656,win,67,B12,Warsaw,2021
2757,black,Socko B,2571,lose,43,E10,Warsaw,2021
2757,white,"Movsesian, Sergei",2615,win,55,B04,Warsaw,2021
2757,black,"Aronian, Levon",2740,lose,62,C11,Warsaw,2021
