rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2725,black,"Van Foreest, Jorden",2681,draw,32,B30,Wijk aan Zee,2023
2725,white,"Abdusattorov, Nodirbek",2713,draw,44,E11,Wijk aan Zee,2023
2725,black,"Giri, Anish",2764,lose,27,E10,Wijk aan Zee,2023
2725,white,"Ding, Liren",2811,lose,38,E15,Wijk aan Zee,2023
2632,black,"Abdusattorov, Nodirbek",2666,win,67,B12,Baku,2022
2632,white,"Shankland, Samuel L",2612,win,33,D41,Baku,2022
2632,black,"Wang, Hao",2628,lose,55,B31,Baku,2022
2632,white,"Gadimbayli, Abdulla",2399,win,45,D09,Baku,2022
2632,black,"Mamedyarov, Shakhriyar",2733,lose,36,E20,Baku,2022
2632,white,"Suleymanli, Aydin",2481,win,55,D02,Baku,2022
2632,black,"Vallejo Pons, Francisco",2644,win,29,B11,Baku,2022
2632,white,"Mamedov, Rauf",2649,win,64,E94,Baku,2022
2632,white,"Rapport, Richard",2654,lose,41,A56,Baku,2022
2632,white,"Abdusattorov, Nodirbek",2666,lose,28,D02,Baku,2022
2632,black,"Shankland, Samuel L",2612,win,55,E10,Baku,2022
2632,white,"Wang, Hao",2628,draw,41,D42,Baku,2022
2632,black,"Gadimbayli, Abdulla",2399,lose,74,B31,Baku,2022
2632,white,"Mamedyarov, Shakhriyar",2733,lose,28,C55,Baku,2022
2632,black,"Suleymanli, Aydin",2481,lose,34,A13,Baku,2022
2632,white,"Vallejo Pons, Francisco",2644,lose,46,A04,Baku,2022
2632,black,"Mamedov, Rauf",2649,draw,61,B10,Baku,2022
2632,black,"Rapport, Richard",2654,lose,50,B11,Baku,2022
2632,white,"Abdusattorov, Nodirbek",2676,draw,48,A05,Baku,2022
2632,black,"Shankland, Samuel L",2657,lose,44,A30,Baku,2022
2632,white,"Wang, Hao",2721,draw,39,D41,Baku,2022
2632,black,"Gadimbayli, Abdulla",2399,lose,82,B13,Baku,2022
2632,white,"Mamedyarov, Shakhriyar",2746,draw,116,A15,Baku,2022
2632,black,"Suleymanli, Aydin",2448,win,42,E49,Baku,2022
2632,white,"Vallejo Pons, Francisco",2682,lose,70,A04,Baku,2022
2632,black,"Mamedov, Rauf",2578,lose,55,B14,Baku,2022
2632,black,"Rapport, Richard",2802,win,47,B11,Baku,2022
2632,white,"So, Wesley",2763,lose,30,B90,Calcutta,2022
2632,black,Praggnanandhaa R,2599,lose,69,A07,Calcutta,2022
2632,black,"Nakamura, Hikaru",2909,lose,38,A13,Calcutta,2022
2632,white,"Vidit, Santosh Gujrathi",2669,win,36,D86,Calcutta,2022
2632,black,"Abdusattorov, Nodirbek",2666,draw,67,B30,Calcutta,2022
2632,white,"Nihal, Sarin",2702,lose,34,A07,Calcutta,2022
2632,black,Erigaisi Arjun,2750,lose,56,B06,Calcutta,2022
2632,white,"Maghsoodloo, Parham",2672,win,40,A04,Calcutta,2022
2632,black,"Mamedyarov, Shakhriyar",2733,lose,39,E10,Calcutta,2022
2632,black,"So, Wesley",2763,lose,25,B31,Calcutta,2022
2632,white,Praggnanandhaa R,2599,win,43,E68,Calcutta,2022
2632,white,"Nakamura, Hikaru",2909,win,51,E10,Calcutta,2022
2632,black,"Vidit, Santosh Gujrathi",2669,lose,37,E04,Calcutta,2022
2632,white,"Abdusattorov, Nodirbek",2666,win,29,A07,Calcutta,2022
2632,black,"Nihal, Sarin",2702,win,29,A04,Calcutta,2022
2632,white,Erigaisi Arjun,2750,lose,37,B70,Calcutta,2022
