rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2616,white,"Shirov, Alexei",2590,win,52,B30,,2022
2616,black,"Shirov, Alexei",2590,draw,26,B40,,2022
2616,white,Narayanan.S.L,2588,draw,51,C47,Jerusalem,2022
2616,black,"Onischuk, Alexander",2693,draw,20,E92,Jerusalem,2022
2668,white,"Markus, Robert",2616,draw,31,C43,Chennai,2022
2668,black,"Melkumyan, Hrant",2634,draw,46,E94,Chennai,2022
2668,white,"Suleymenov, Alisher",2467,lose,47,B30,Chennai,2022
2668,black,"Smirin, Ilia",2594,win,46,B67,Chennai,2022
2668,white,"Druska, Juraj",2519,win,42,C02,Chennai,2022
2668,black,"Sanal, Vahap",2574,lose,49,D10,Chennai,2022
2668,white,"Krysa, Leandro",2515,draw,93,B12,Chennai,2022
2668,white,"Barcenilla, Rogelio",2463,win,38,C78,Chennai,2022
2668,black,"Brahami, Lamine",2189,win,52,A46,Chennai,2022
2661,black,"Kozul, Zdenko",2619,draw,43,D15,Terme Catez,2022
2661,white,"Yilmaz, Mustafa",2624,draw,10,B23,Terme Catez,2022
2661,white,"Ter-Sahakyan, Samvel",2632,draw,21,B23,Terme Catez,2022
2661,black,"Moussard, Jules",2630,draw,7,B40,Terme Catez,2022
2661,white,"Bernadskiy, Vitaliy",2606,win,35,C43,Terme Catez,2022
2661,black,"Vocaturo, Daniele",2614,draw,32,B40,Terme Catez,2022
2661,white,"Stocek, Jiri",2555,win,63,B23,Terme Catez,2022
2661,black,"Gagunashvili, Merab",2575,draw,12,D70,Terme Catez,2022
2661,black,"Noe, Christopher",2515,draw,28,E81,Terme Catez,2022
2661,white,"Juksta, Karolis",2378,win,77,C02,Terme Catez,2022
2665,white,"Kuzubov, Yuriy",2637,draw,26,C43,Terme Olimia,2021
2665,black,"Warmerdam, Max",2608,draw,56,B62,Terme Olimia,2021
2665,black,"Esipenko, Andrey",2713,draw,31,B52,Terme Olimia,2021
2665,white,"Gledura, Benjamin",2635,lose,39,C43,Terme Olimia,2021
2665,black,"Markus, Robert",2609,draw,46,D10,Terme Olimia,2021
2665,white,"Valsecchi, Alessio",2527,win,33,B10,Terme Olimia,2021
2593,white,Nihal Sarin,2685,lose,25,A25,Moscow,2019
2593,black,"Wang, Hao",2714,draw,79,D02,Moscow,2019
2691,white,"Grachev, Boris",2606,draw,25,B40,Moscow,2019
2691,black,"Duda, Jan Krzysztof",2751,lose,32,E83,Moscow,2019
2691,white,"Geller, Jakov",2536,win,25,B23,Moscow,2019
2691,black,"Artemiev, Vladislav",2756,lose,56,A49,Moscow,2019
2691,white,"Karjakin, Sergey",2749,draw,15,C67,Moscow,2019
2691,black,"Mamedyarov, Shakhriyar",2752,draw,10,A49,Moscow,2019
2691,black,"Dominguez Perez, Leinier",2755,draw,20,B36,Moscow,2019
2691,white,"Nepomniachtchi, Ian",2745,draw,12,C07,Moscow,2019
2691,white,"Riazantsev, Alexander",2594,win,27,B12,Moscow,2019
2691,black,"Dubov, Daniil",2752,draw,72,E76,Moscow,2019
2691,white,"Dreev, Alexey",2588,win,61,B23,Moscow,2019
2691,black,"Smirin, Ilia",2584,lose,34,B27,Moscow,2019
2691,white,"Postny, Evgeny",2598,win,35,C69,Moscow,2019
2691,white,"Esipenko, Andrey",2590,draw,54,C69,Tallinn,2019
2691,black,"Yuffa, Daniil",2587,win,49,E91,Tallinn,2019
