rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2659,white,"Paravyan, David",2617,draw,80,E10,Sochi,2022
2659,white,"Sakaev, Konstantin",2603,draw,50,B90,Sochi,2022
2659,white,"Petrov, Nikita",2560,draw,26,A46,Sochi,2022
2659,black,"Pershin, Denis",2397,win,37,D31,Sochi,2022
2659,white,"Dreev, Alexey",2623,win,45,B13,Sochi,2022
2659,black,"Tsydypov, Zhamsaran",2533,draw,57,D27,Sochi,2022
2668,black,"Kamsky, Gata",2662,draw,22,C89,Berlin,2021
2668,white,"Vachier-Lagrave, Maxime",2763,draw,31,D70,Berlin,2021
2668,white,"Oleksiyenko, Mykhaylo",2586,draw,41,D12,Berlin,2021
2668,black,"Piorun, Kacper",2655,draw,75,C47,Berlin,2021
2668,white,"Gajewski, Grzegorz",2608,win,39,B13,Berlin,2021
2668,black,"Demchenko, Anton",2651,win,69,C55,Berlin,2021
2668,white,"Grandelius, Nils",2662,lose,41,D70,Berlin,2021
2668,black,"Brkic, Ante",2621,draw,17,C67,Zagreb,2021
2668,white,"Palac, Mladen",2517,win,39,B90,Zagreb,2021
2668,white,"Kozul, Zdenko",2601,draw,33,B90,Zagreb,2021
2668,black,"Kovalenko, Igor",2647,lose,47,B84,Zagreb,2021
2668,white,"Movsesian, Sergei",2627,draw,21,E25,Zagreb,2021
2668,black,"Stevic, Hrvoje",2570,lose,39,C47,Zagreb,2021
2668,white,"Bosiocic, Marin",2573,win,37,B33,Zagreb,2021
2668,black,"Zelcic, Robert",2522,draw,85,C85,Zagreb,2021
2668,white,"Bacrot, Etienne",2658,draw,50,D30,Zagreb,2021
2663,white,"Saric, Ivan",2649,draw,69,D11,Croatia,2021
2663,black,"Bosiocic, Marin",2603,win,33,C77,Croatia,2021
2663,black,"Livaic, Leon",2508,win,37,C47,Croatia,2021
2663,white,"Kadric, Denis",2555,lose,46,A55,Croatia,2021
2663,black,"Cheparinov, Ivan",2659,draw,35,D27,Croatia,2021
2663,white,"Clarke, Brandon G I",2429,win,39,D70,Vrnjachka Banya,2021
2663,black,"Kryvoruchko, Yuriy",2689,lose,62,C80,Croatia,2021
2663,black,"Vavulin, Maxim",2554,draw,23,C88,Croatia,2021
2663,black,"Sadikhov, Ulvi",2509,lose,69,A20,"Struga, Ohrid Lake",2021
2663,white,"Anton Guijarro, David",2651,draw,35,C80,"Struga, Ohrid Lake",2021
2663,black,"Urkedal, Frode Olav Olsen",2568,win,39,E10,"Struga, Ohrid Lake",2021
2663,white,"Skuhala, Jernej",2351,win,33,B12,"Struga, Ohrid Lake",2021
2663,white,"Alonso Rosell, Alvar",2566,win,24,E04,"Struga, Ohrid Lake",2021
2663,black,"Miljkovic, Miroslav D",2470,win,57,D31,"Struga, Ohrid Lake",2021
2663,black,"Jogstad, Martin",2341,win,45,A46,"Struga, Ohrid Lake",2021
2654,white,"Matlakov, Maxim",2688,draw,50,E10,Sochi,2021
2654,white,"Alekseev, Evgeny",2617,draw,36,B46,Sochi,2021
2663,black,"Vitiugov, Nikita",2628,draw,47,B18,Moscow,2021
2663,white,"Savchenko, Boris",2579,win,43,A48,Moscow,2021
2663,black,"Kobalia, Mihail",2567,draw,138,C84,Moscow,2021
2663,white,"Murzin, Volodar",2484,win,47,E92,Moscow,2021
2663,black,"Esipenko, Andrey",2636,draw,55,D00,Moscow,2021
2663,white,"Gunina, Valentina",2387,win,37,D02,Moscow,2021
2663,white,"Zvjaginsev, Vadim",2612,win,58,D02,Moscow,2021
2663,black,"Grachev, Boris",2695,lose,38,D02,Moscow,2021
2663,white,"Makarian, Rudik",2382,win,69,A46,Moscow,2021
2661,white,"Demidov, Mikhail",2526,win,55,B03,Sochi,2020
2661,white,"Tsoi, Dmitry",2315,win,36,D31,Sochi,2020
2661,black,"Petrov, Nikita",2577,draw,35,D27,Sochi,2020
2661,black,"Ponkratov, Pavel",2625,lose,40,A06,Sochi,2020
2661,black,"Musalov, Ruslan",2348,draw,40,B40,Sochi,2020
2661,white,"Potkin, Vladimir",2583,draw,41,D43,Sochi,2020
2658,white,"Studer, Noel",2546,draw,35,B31,Germany,2020
2658,black,"Stankovic, Milos",2458,win,41,C55,Germany,2020
2658,black,"Van Wely, Loek",2609,draw,30,A07,Germany,2020
2658,white,"Saltaev, Mihail",2475,win,46,D35,Germany,2020
2556,black,"Vidit, Santosh Gujrathi",2756,win,34,D27,Moscow,2019
2556,white,"Matlakov, Maxim",2720,draw,42,A46,Moscow,2019
2556,black,"Fedoseev, Vladimir",2714,draw,46,D37,Moscow,2019
2556,white,"Wojtaszek, Radoslaw",2675,win,13,A46,Moscow,2019
2556,black,"Dreev, Alexey",2658,draw,44,D02,Moscow,2019
2556,white,"Sargissian, Gabriel",2676,win,54,A06,Moscow,2019
