rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2698,white,"Atalik, Ekaterina",2450,win,39,D36,Gibraltar,2020
2698,black,"Nandhidhaa, P V",2312,win,73,B50,Gibraltar,2020
2698,black,"Buckels, Valentin",2459,lose,39,A45,Gibraltar,2020
2698,white,"Ravi, Teja S.",2464,draw,34,A13,Gibraltar,2020
2698,black,"Cramling, Pia",2470,draw,30,E11,Gibraltar,2020
2698,white,"Pogonina, Natalija",2479,draw,33,A06,Gibraltar,2020
2698,black,"Antipov, Mikhail Al.",2562,lose,38,B13,Gibraltar,2020
2698,white,"Peralta, Fernando",2574,draw,26,C11,Gibraltar,2020
2698,black,"Gines Esteo, Pedro Antonio",2482,win,58,A05,Gibraltar,2020
2698,white,"Wemmers, Xander",2380,win,29,E04,Gibraltar,2020
2690,black,"Wagner, Dennis",2578,draw,14,E16,Sitges,2019
2690,white,"Kelires, Andreas",2510,win,44,A20,Sitges,2019
2690,black,"Liang, Awonder",2593,lose,31,A04,Sitges,2019
2690,white,"Korobov, Anton",2668,draw,30,A13,Sitges,2019
2690,white,Praggnanandhaa R,2586,win,32,B30,Sitges,2019
2690,black,"Sadhwani, Raunak",2507,win,36,A04,Sitges,2019
2690,white,"Eggleston, David J",2404,win,42,A40,Sitges,2019
2690,black,"Parvanyan, Ashot",2456,draw,28,A04,Sitges,2019
2690,white,"Kochavi, Ori",2259,win,27,A05,Sitges,2019
2690,black,"Lever, Erwan",2258,draw,28,E00,Sitges,2019
2679,black,"Cheparinov, Ivan",2679,draw,37,D16,Zagreb,2019
2679,white,"Palac, Mladen",2550,win,38,B97,Zagreb,2019
2679,black,"Stevic, Hrvoje",2563,draw,20,B22,Zagreb,2019
2679,white,"Melkumyan, Hrant",2661,win,51,A06,Zagreb,2019
2679,white,"Bosiocic, Marin",2598,draw,86,A21,Zagreb,2019
2679,black,"Dreev, Alexey",2671,draw,25,A40,Zagreb,2019
2679,white,"Zelcic, Robert",2526,win,61,E21,Zagreb,2019
2679,black,"Kozul, Zdenko",2593,draw,43,E00,Zagreb,2019
2679,white,"Nisipeanu, Liviu-Dieter",2656,win,39,D45,Zagreb,2019
2679,black,"Ragger, Markus",2669,draw,38,B90,Zagreb,2019
2679,white,"Bacrot, Etienne",2669,draw,25,D31,Zagreb,2019
2686,white,"Saric, Ivan",2667,draw,81,D70,Batumi,2019
2686,white,"Nisipeanu, Liviu-Dieter",2656,draw,45,D45,Batumi,2019
2686,black,"Navara, David",2717,win,48,A50,Batumi,2019
2686,black,"Andreikin, Dmitry",2741,lose,57,B91,Batumi,2019
2686,white,"Adams, Michael",2694,draw,37,E04,Batumi,2019
2686,black,"Aronian, Levon",2758,draw,30,A10,Batumi,2019
2686,white,"Mamedyarov, Shakhriyar",2767,draw,60,A05,Batumi,2019
2686,white,"Lenic, Luka",2644,win,53,C67,Batumi,2019
2686,black,"Bogner, Sebastian",2571,win,40,A81,Batumi,2019
2686,black,"Gonda, Laszlo",2541,draw,22,A04,,2019
2686,white,"Azarov, Sergei",2586,draw,43,A29,,2019
2686,black,"Kuzubov, Yuriy",2636,lose,49,E15,Linares,2019
2686,white,"Rakhmanov, Aleksandr",2606,win,51,C42,Linares,2019
2686,black,"Bacrot, Etienne",2671,lose,47,E10,Linares,2019
2686,white,"Sasikiran, Krishnan",2675,win,65,C45,Linares,2019
2686,black,"Iturrizaga Bonelli, Eduardo",2626,lose,36,A13,Linares,2019
2686,white,"Cheparinov, Ivan",2670,win,34,B23,Linares,2019
2684,white,Nihal Sarin,2610,draw,39,E10,Konya,2019
2684,black,"Sanal, Vahap",2520,lose,49,C65,Konya,2019
2684,white,"Durarbayli, Vasif",2637,win,46,D81,Konya,2019
2684,black,"Dastan, Muhammed Batuhan",2565,draw,65,B43,Konya,2019
2684,white,"Benidze, Davit",2469,win,14,B14,Konya,2019
2684,black,"Moiseenko, Vadim",2523,win,28,C50,Konya,2019
2684,white,"Tomashevsky, Evgeny",2702,win,58,E32,Konya,2019
2684,black,"Kuzubov, Yuriy",2671,draw,36,A45,Konya,2019
2684,white,"Inarkiev, Ernesto",2693,win,43,D27,Konya,2019
2684,black,"Demchenko, Anton",2665,draw,45,B52,Konya,2019
2684,white,"Alekseenko, Kirill",2650,draw,40,A20,Konya,2019
2684,white,"Iljiushenok, Ilia",2520,lose,46,E63,Konya,2019
2691,black,"Mareco, Sandro",2643,draw,12,E32,Teplice,2019
2691,white,"Deac, Bogdan-Daniel",2623,draw,64,C65,Forni Di Sopra,2019
2691,black,"Santos Ruiz, Miguel",2557,draw,23,B10,Forni Di Sopra,2019
2691,white,"Martinez Alcantara, Jose Eduardo",2583,draw,34,E12,Forni Di Sopra,2019
2691,black,"Sonis, Francesco",2494,draw,26,E00,Forni Di Sopra,2019
2691,white,"Castellanos Rodriguez, Renier",2511,win,40,A10,Forni Di Sopra,2019
2691,black,"Dappiano, Andrea",2271,win,49,C00,Forni Di Sopra,2019
2691,black,"Sarkar, Justin",2359,draw,56,E72,Forni Di Sopra,2019
2691,white,"Le Goff, Ronan",2229,win,25,C72,Forni Di Sopra,2019
2677,white,"Adhiban, Baskaran",2701,win,37,A41,La Habana,2019
2677,black,"Sevian, Samuel",2666,lose,48,B40,La Habana,2019
2677,white,"Albornoz Cabrera, Carlos Daniel",2566,win,40,B30,La Habana,2019
2677,black,"Gonzalez Vidal, Yuri",2567,win,45,B31,La Habana,2019
2677,black,"Anton Guijarro, David",2667,draw,44,E20,La Habana,2019
2677,black,"Adhiban, Baskaran",2701,draw,55,A32,La Habana,2019
2677,white,"Sevian, Samuel",2666,draw,24,E48,La Habana,2019
2677,black,"Albornoz Cabrera, Carlos Daniel",2566,win,38,C42,La Habana,2019
2677,white,"Gonzalez Vidal, Yuri",2567,win,42,A46,La Habana,2019
2677,white,"Anton Guijarro, David",2667,draw,40,C47,La Habana,2019
2698,black,"Le, Quang Liem",2715,lose,35,A06,Saint Louis,2019
2698,white,"Hansen, Eric",2612,draw,31,D56,Saint Louis,2019
2698,black,"Tari, Aryan",2613,draw,31,C65,Saint Louis,2019
2698,white,"Bok, Benjamin",2638,lose,40,C26,Saint Louis,2019
2698,white,"Kasimdzhanov, Rustam",2663,draw,41,B30,Saint Louis,2019
2698,black,"Nyzhnyk, Illya",2638,draw,51,A30,Saint Louis,2019
2698,white,"Robson, Ray",2667,draw,37,A06,Saint Louis,2019
2698,black,"Xiong, Jeffery",2663,draw,18,A46,Saint Louis,2019
2698,white,"Akobian, Varuzhan",2625,lose,58,C11,Saint Louis,2019
2713,black,"Cuenca Jimenez, Jose Fernando",2512,draw,30,A40,Gibraltar,2019
2713,black,"Koneru, Humpy",2541,draw,30,D11,Gibraltar,2019
2713,white,"Muzychuk, Anna",2569,draw,37,A30,Gibraltar,2019
2713,white,"Kavutskiy, Konstantin",2424,win,37,B48,Gibraltar,2019
2713,black,"Santos Latasa, Jaime",2581,lose,41,D97,Gibraltar,2019
2713,white,"Santos Ruiz, Miguel",2543,draw,31,C77,Gibraltar,2019
2713,black,"Ju, Wenjun",2575,draw,83,D30,Gibraltar,2019
2713,white,"Sosa, Tomas",2499,win,27,D31,Gibraltar,2019
2713,black,"Goryachkina, Aleksandra",2518,draw,41,E80,Gibraltar,2019
2713,white,"Guichard, Pauline",2378,win,41,D70,Gibraltar,2019
2717,white,"Andreikin, Dmitry",2719,draw,26,E17,Sitges,2018
2710,black,"Inarkiev, Ernesto",2674,draw,32,C42,Sitges,2018
2717,white,"Petrosyan, Manuel",2565,win,60,B12,Sitges,2018
2717,black,"Kulaots, Kaido",2555,win,53,C92,Sitges,2018
2717,white,"Ayats Llobera, Gerard",2395,win,51,D07,Sitges,2018
2717,black,"Roy, Prantik",2382,win,39,D02,Sitges,2018
2717,black,"Jimenez Ruano, Adrian",2245,win,52,E48,Sitges,2018
2717,white,"Hoffmann, Michael",2435,win,47,E76,Sitges,2018
2717,black,Sreeshwan Maralakshikari,2244,lose,26,A67,Sitges,2018
