rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2700,black,"Gareyev, Timur",2584,draw,34,E12,Sochi,2021
2700,white,"Gareyev, Timur",2584,lose,43,A05,Sochi,2021
2684,white,"Gareyev, Timur",2596,draw,47,C77,Sochi,2021
2684,black,"Gareyev, Timur",2596,draw,58,E00,Sochi,2021
2667,white,"Yanchenko, Roman",2531,win,39,C16,Moscow,2019
2667,black,"Kobalia, Mihail",2556,lose,26,B51,Moscow,2019
2667,black,"Drygalov, Sergey",2515,lose,44,C88,Moscow,2019
2667,white,"Castellanos Rodriguez, Renier",2561,lose,34,B42,Moscow,2019
2667,white,"Bartel, Mateusz",2525,draw,62,C11,Moscow,2019
2667,black,"Perunovic, Milos",2596,draw,32,B23,Moscow,2019
2667,white,"Gajewski, Grzegorz",2529,win,42,B42,Moscow,2019
2667,black,"Grigoriants, Sergey",2585,lose,45,B90,Moscow,2019
2667,white,"Donchenko, Alexander",2577,win,32,A05,Moscow,2019
2667,black,"Alekseenko, Kirill",2569,draw,50,C50,Moscow,2019
2667,white,"Golubov, Saveliy",2582,win,62,A48,Moscow,2019
2667,black,"Gareyev, Timur",2533,draw,50,A14,Moscow,2019
2667,white,"Rakhmanov, Aleksandr",2556,draw,43,C42,Moscow,2019
2667,white,"Duda, Jan Krzysztof",2796,lose,43,B01,Moscow,2019
2667,black,"Jobava, Baadur",2712,lose,34,A01,Moscow,2019
2667,white,"Yu, Yangyi",2807,win,47,B28,Moscow,2019
2667,white,"Ruck, Robert",2541,win,35,B12,Moscow,2019
2667,black,"Carlsen, Magnus",2865,lose,34,A30,Moscow,2019
2667,black,Vishnu Prasanna. V,2516,win,31,E12,Moscow,2019
2667,white,"Sadhwani, Raunak",2490,win,31,C55,Moscow,2019
2667,black,"Samsonkin, Artiom",2499,win,44,B53,Moscow,2019
2748,white,"Sadhwani, Raunak",2358,win,27,B67,Moscow,2019
2748,white,"Indjic, Aleksandar",2572,draw,41,B90,Moscow,2019
2748,black,"Gareyev, Timur",2604,lose,35,E32,Moscow,2019
2748,black,"Alekseev, Evgeny",2603,lose,67,A16,Moscow,2019
2748,white,"Pashikian, Arman",2593,draw,60,C53,Moscow,2019
2748,black,"Kovalev, Vladislav",2597,draw,66,C67,Moscow,2019
2748,white,"Postny, Evgeny",2598,draw,38,C95,Moscow,2019
2748,black,"Tari, Aryan",2562,draw,38,B51,Moscow,2019
2748,white,"Paravyan, David",2588,draw,79,B31,Moscow,2019
2748,black,"Ganguly, Surya Shekhar",2592,draw,51,A20,Moscow,2019
2748,white,"Castellanos Rodriguez, Renier",2563,win,33,B90,Moscow,2019
2748,black,"Riazantsev, Alexander",2594,lose,30,E10,Moscow,2019
2748,white,"Moiseenko, Vadim",2596,draw,43,C55,Moscow,2019
2698,black,"Navara, David",2707,lose,37,A30,Jerusalem,2019
2698,white,"Navara, David",2707,draw,18,C53,Jerusalem,2019
2748,white,"Mamedyarov, Shakhriyar",2752,win,58,C53,Jerusalem,2019
2748,black,"Mamedyarov, Shakhriyar",2752,draw,22,E32,Jerusalem,2019
2748,white,"Mamedyarov, Shakhriyar",2752,win,41,C53,Jerusalem,2019
2748,black,"Mamedyarov, Shakhriyar",2752,lose,32,E10,Jerusalem,2019
2698,white,"Mamedyarov, Shakhriyar",2772,draw,34,B40,Jerusalem,2019
2698,black,"Mamedyarov, Shakhriyar",2772,draw,33,E21,Jerusalem,2019
2698,black,"Zeng, Chongsheng",2552,lose,38,A28,China,2019
2698,white,"Liu, Qingnan",2533,draw,46,D36,China,2019
2698,white,"Wang, Yue",2674,draw,36,C42,China,2019
2698,black,"Xu, Yi",2542,draw,31,B14,China,2019
2691,white,"Zou, Chen",2462,win,27,C53,China,2019
2691,black,"Wang, Yiye",2439,win,55,A30,China,2019
2759,white,"Yu, Yangyi",2736,draw,65,A10,Hamburg,2019
2759,black,"Yu, Yangyi",2736,lose,51,A16,Hamburg,2019
2691,black,"Yu, Yangyi",2753,draw,73,A30,Hamburg,2019
2691,white,"Yu, Yangyi",2753,draw,17,C42,Hamburg,2019
2672,white,"Vachier-Lagrave, Maxime",2763,draw,42,A05,Khanty-Mansiysk,2019
2672,black,"Vachier-Lagrave, Maxime",2763,lose,47,C53,Khanty-Mansiysk,2019
2731,black,"Vachier-Lagrave, Maxime",2867,draw,40,C53,Khanty-Mansiysk,2019
2731,white,"Vachier-Lagrave, Maxime",2867,draw,18,A05,Khanty-Mansiysk,2019
2731,black,"Vachier-Lagrave, Maxime",2867,lose,46,C53,Khanty-Mansiysk,2019
2731,white,"Vachier-Lagrave, Maxime",2867,win,46,A04,Khanty-Mansiysk,2019
2681,black,"Vachier-Lagrave, Maxime",2774,draw,53,C67,Khanty-Mansiysk,2019
2681,white,"Vachier-Lagrave, Maxime",2774,draw,32,A05,Khanty-Mansiysk,2019
2731,black,"Jones, Gawain C",2609,win,49,C67,Khanty-Mansiysk,2019
2731,white,"Jones, Gawain C",2609,win,74,C78,Khanty-Mansiysk,2019
2681,white,"Jones, Gawain C",2688,draw,31,C78,Khanty-Mansiysk,2019
2681,black,"Jones, Gawain C",2688,draw,43,C67,Khanty-Mansiysk,2019
2681,black,"Martinez Alcantara, Jose Eduardo",2596,win,99,A30,Khanty-Mansiysk,2019
2681,white,"Martinez Alcantara, Jose Eduardo",2596,win,36,B90,Khanty-Mansiysk,2019
2704,black,"Fedoseev, Vladimir",2671,lose,51,E10,Votkinsk,2019
2704,white,"Tomashevsky, Evgeny",2706,draw,37,C84,Votkinsk,2019
2704,black,"Vitiugov, Nikita",2728,draw,71,A05,Votkinsk,2019
2704,white,"Dreev, Alexey",2662,draw,46,A11,Votkinsk,2019
2704,black,"Sarana, Alexey",2655,draw,54,E10,Votkinsk,2019
2704,white,"Alekseenko, Kirill",2668,lose,39,B30,Votkinsk,2019
2704,white,"Inarkiev, Ernesto",2682,lose,52,B12,Votkinsk,2019
2704,black,"Predke, Alexandr",2650,lose,75,D12,Votkinsk,2019
2704,white,"Motylev, Alexander",2668,draw,27,A28,Votkinsk,2019
2704,black,"Artemiev, Vladislav",2757,draw,62,A06,Votkinsk,2019
2704,white,"Matlakov, Maxim",2710,draw,101,C53,Votkinsk,2019
2711,white,"Zhou, Weiqi",2586,draw,94,B31,China,2019
2711,black,"Liu, Qingnan",2534,draw,41,A05,China,2019
2711,black,"Wang, Yue",2694,win,42,A05,China,2019
2711,white,"Xu, Yi",2524,lose,34,C42,China,2019
2704,black,"Wang, Hao",2737,draw,41,C65,Poikovsky,2019
2704,white,"Saric, Ivan",2680,draw,26,B92,Poikovsky,2019
2704,black,"Korobov, Anton",2687,draw,32,D05,Poikovsky,2019
2704,white,"Sasikiran, Krishnan",2673,draw,11,C53,Poikovsky,2019
2704,white,"Kovalev, Vladislav",2661,win,123,C92,Poikovsky,2019
2704,black,"Mamedov, Rauf",2650,draw,26,C45,Poikovsky,2019
2704,white,"Fedoseev, Vladimir",2680,draw,52,C77,Poikovsky,2019
2704,black,"Artemiev, Vladislav",2761,draw,53,A45,Poikovsky,2019
2704,white,"Esipenko, Andrey",2611,win,30,C84,Poikovsky,2019
2708,white,"Wei, Yi",2736,lose,33,C77,Moscow,2019
2708,black,"Wei, Yi",2736,draw,23,A05,Moscow,2019
2708,black,"Lin, Yi",2389,draw,49,A41,China,2019
2708,white,"Li, Chao B",2699,win,73,B70,China,2019
2708,black,"Lu, Shanglei",2606,draw,31,C46,China,2019
2719,black,"Giri, Anish",2797,lose,60,A15,Shenzhen,2019
2719,white,"Ding, Liren",2809,draw,42,B51,Shenzhen,2019
2719,black,"Yu, Yangyi",2751,draw,74,E10,Shenzhen,2019
2719,white,"Rapport, Richard",2726,draw,37,E00,Shenzhen,2019
2719,black,"Harikrishna, Pentala",2723,lose,44,C67,Shenzhen,2019
2719,black,"Ding, Liren",2809,lose,42,A16,Shenzhen,2019
2719,white,"Giri, Anish",2797,draw,32,B45,Shenzhen,2019
2719,white,"Yu, Yangyi",2751,draw,30,C55,Shenzhen,2019
2719,black,"Rapport, Richard",2726,draw,31,E10,Shenzhen,2019
2719,white,"Harikrishna, Pentala",2723,draw,35,B48,Shenzhen,2019
2719,white,"Zhao, Yuanhe",2430,draw,45,D45,China,2019
2719,black,"Yu, Ruiyuan",2479,win,66,B41,China,2019
2719,black,"Peng, Xiongjian",2459,draw,39,E01,China,2019
2616,white,"Dreev, Alexey",2675,draw,12,D13,Saint Petersburg,2018
2616,white,"Jobava, Baadur",2705,win,20,A05,Saint Petersburg,2018
2616,black,"Karjakin, Sergey",2759,lose,22,C65,Saint Petersburg,2018
2616,white,"Andreikin, Dmitry",2777,draw,31,A04,Saint Petersburg,2018
2616,black,"Mamedyarov, Shakhriyar",2754,draw,28,E10,Saint Petersburg,2018
2735,white,"Melkumyan, Hrant",2670,win,60,B39,St Petersburg,2018
2616,black,"Jones, Gawain C",2722,lose,42,C21,Saint Petersburg,2018
2735,black,"Jones, Gawain C B",2682,lose,41,C54,St Petersburg,2018
2616,white,"Adly, Ahmed",2675,win,43,D45,Saint Petersburg,2018
2616,black,"Vitiugov, Nikita",2696,win,49,A05,Saint Petersburg,2018
2735,white,"Vokhidov, Shamsiddin",2480,win,54,A34,St Petersburg,2018
2735,black,"Fridman, Daniel",2633,win,19,E15,St Petersburg,2018
2735,white,"Bilguun, Sumiya",2497,win,31,B42,St Petersburg,2018
2735,black,"Tang, Andrew",2487,draw,76,E32,St Petersburg,2018
2616,white,"Sjugirov, Sanan",2748,lose,44,A05,Saint Petersburg,2018
2616,white,"Giri, Anish",2751,lose,36,A06,Saint Petersburg,2018
2616,black,"Dubov, Daniil",2743,draw,24,A30,Saint Petersburg,2018
2735,black,"Bazeev, German",2416,win,33,E13,St Petersburg,2018
2735,white,"Vishnu, Prasanna V",2518,win,52,E94,St Petersburg,2018
2735,black,"Steinberg, Nitzan",2532,win,52,C96,St Petersburg,2018
2735,white,"Hakobyan, Aram",2545,draw,59,B12,St Petersburg,2018
2735,black,"Apryshko, Gleb",2385,lose,42,B53,St Petersburg,2018
2731,white,"Salem, A.R. Saleh",2682,win,38,A04,Saint Petersburg,2018
2731,black,"Savchenko, Boris",2660,win,42,C46,Saint Petersburg,2018
2731,white,"Sakaev, Konstantin",2621,win,40,B90,Saint Petersburg,2018
2731,black,"Sargissian, Gabriel",2674,lose,61,E10,Saint Petersburg,2018
2731,white,"Goganov, Aleksey",2545,draw,40,D10,Saint Petersburg,2018
2731,white,"Tari, Aryan",2554,win,24,A05,Saint Petersburg,2018
2731,black,"Demidov, Mikhail",2586,win,43,E14,Saint Petersburg,2018
2731,white,"Predke, Alexandr",2566,lose,57,E12,Saint Petersburg,2018
2731,black,"Khismatullin, Denis",2632,draw,13,C92,Saint Petersburg,2018
2731,white,"Rakhmanov, Aleksandr",2613,win,37,A06,Saint Petersburg,2018
2731,black,"Vitiugov, Nikita",2632,lose,64,C53,Saint Petersburg,2018
2731,white,"Alekseenko, Kirill",2635,draw,138,B67,Saint Petersburg,2018
2731,black,"Iljiushenok, Ilia",2607,win,42,C45,Saint Petersburg,2018
2731,white,"Potapov, Pavel",2542,win,47,A88,Saint Petersburg,2018
2731,black,"Khusnutdinov, Rustam",2530,draw,42,B53,Saint Petersburg,2018
2735,black,"Afanasiev, Nikita",2494,lose,44,E10,Khanty-Mansiysk,2018
