rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2743,black,"Gelfand, B.",2669,draw,40,D11,lichess.org INT,2022
2743,white,"Grischuk, A.",2764,lose,70,A45,lichess.org INT,2022
2743,black,"Fedoseev, Vl3",2704,lose,47,C65,lichess.org INT,2022
2743,white,"Shimanov, A.",2581,lose,99,A01,lichess.org INT,2022
2743,black,"Dubov, Daniil",2720,lose,32,C54,lichess.org INT,2022
2743,white,"Svidler, P.",2683,win,36,B90,lichess.org INT,2022
2743,white,"Kramnik, V.",2753,win,23,C50,lichess.org INT,2022
2743,white,"Vidit, Santosh Gujrathi",2727,win,64,C47,Wijk aan Zee,2022
2743,black,"Shankland, Samuel L",2708,lose,26,E20,Wijk aan Zee,2022
2743,black,"Mamedyarov, Shakhriyar",2767,draw,23,C53,Wijk aan Zee,2022
2743,white,"Carlsen, Magnus",2865,draw,16,C67,Wijk aan Zee,2022
2743,black,"Praggnanandhaa, R.",2612,win,53,D02,Wijk aan Zee NED,2022
2743,black,Praggnanandhaa R,2612,win,53,D02,Wijk aan Zee,2022
2743,white,"Rapport, Richard",2763,draw,23,C02,Wijk aan Zee,2022
2743,black,"Grandelius, Nils",2672,draw,37,C42,Wijk aan Zee,2022
2743,white,"Van Foreest, Jorden",2702,win,65,C55,Wijk aan Zee,2022
2743,black,"Duda, Jan Krzysztof",2760,draw,36,D20,Wijk aan Zee,2022
2743,white,"Giri, Anish",2772,draw,14,D85,Wijk aan Zee,2022
2743,black,"Esipenko, Andrey",2714,lose,42,C53,Wijk aan Zee,2022
2743,white,"Dubov, Daniil",2720,draw,23,A05,Wijk aan Zee,2022
2743,black,"Caruana, Fabiano",2792,draw,50,E10,Wijk aan Zee,2022
2657,black,"Donchenko, Alexander",2494,lose,51,A05,Warsaw,2021
2657,white,"Kobalia, Mihail",2532,lose,27,A01,Warsaw,2021
2657,black,"Asadli, Vugar",2386,win,37,B23,Warsaw,2021
2657,white,"Moroni, Luca Jr",2491,win,37,B06,Warsaw,2021
2657,black,"Michalik, Peter",2605,lose,73,C88,Warsaw,2021
2657,white,"Cheparinov, Ivan",2594,draw,68,B50,Warsaw,2021
2657,black,"Duda, Jan Krzysztof",2792,lose,53,A06,Warsaw,2021
2657,white,"Mamedyarov, Shakhriyar",2754,lose,64,C47,Warsaw,2021
2657,black,"Firouzja, Alireza",2810,win,32,A46,Warsaw,2021
2743,black,"Socko, B.",2642,win,58,E12,Warsaw POL,2021
2743,black,"Ter Sahakyan, S.",2637,win,45,B94,Warsaw POL,2021
