rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2651,white,"Gonda, Laszlo",2496,draw,26,D02,Czech Republic,2023
2651,black,"Saric, Ivan",2657,draw,49,C11,Czech Republic,2023
2662,white,"Svane, Frederik",2568,draw,39,A07,Sitges,2022
2662,white,Aditya Mittal,2479,draw,61,C55,Sitges,2022
2662,black,"Durarbayli, Vasif",2612,draw,58,B92,Sitges,2022
2662,white,"Tin, Jingyao",2562,win,68,D43,Sitges,2022
2662,black,"Sumets, Andrey",2506,draw,30,D45,Sitges,2022
2662,white,Sankalp Gupta,2485,draw,38,C42,Sitges,2022
2662,black,"Woodward, Andy",2457,win,39,A40,Sitges,2022
2662,black,"Ponomariov, Ruslan",2646,lose,47,A07,,2022
2659,black,"Georgiadis, Nico",2577,win,33,C11,Germany,2022
2659,white,Gopal G.N.,2589,draw,74,B90,Gmund,2022
2659,black,"Schroeder, Jan-Christian",2553,draw,21,C03,Gmund,2022
2659,white,"Royal, Shreyas",2435,win,33,C50,Gmund,2022
2659,white,"Halkias, Stelios",2506,draw,61,E48,Gmund,2022
2659,black,"Womacka, Mathias",2413,win,51,B58,Gmund,2022
2659,white,"Baum, Jonasz",2412,win,46,A20,Gmund,2022
2659,black,"Zysk, Robert",2402,draw,24,D43,Gmund,2022
2659,white,"Player, Edmund C",2212,win,39,D25,Gmund,2022
2659,black,"Semprun Martinez, Fernando",2116,win,21,B94,Gmund,2022
2672,white,"Sedlak, Nikola",2472,draw,55,D12,,2022
2672,black,"Jones, Gawain C",2626,lose,40,C02,,2022
2672,white,"Sahidi, Samir",2470,win,44,E12,,2022
2672,black,"Michalik, Peter",2558,draw,50,A43,,2022
2672,black,"Blomqvist, Erik",2526,lose,54,C02,Mayrhofen,2022
2672,black,"Anand, Viswanathan",2756,draw,67,C02,Mayrhofen,2022
2672,white,"Carlsen, Magnus",2856,lose,34,D04,Mayrhofen,2022
2672,white,Erigaisi Arjun,2728,win,64,A20,Mayrhofen,2022
2672,black,"Noe, Christopher",2503,win,38,A50,Mayrhofen,2022
2672,black,"Shengelia, David",2460,draw,61,E17,Mayrhofen,2022
2672,white,"Bruedigam, Martin",2375,draw,31,B10,Mayrhofen,2022
2671,black,"Iturrizaga Bonelli, Eduardo",2630,win,40,A17,Linares,2022
2671,white,"Masague Artero, Guerau",2308,win,27,E10,Linares,2022
2671,black,"Kuzubov, Yuriy",2627,draw,21,D70,Linares,2022
2671,white,"Pichot, Alan",2641,win,68,A18,Linares,2022
2671,black,"Santos Ruiz, Miguel",2581,draw,70,B92,Linares,2022
2671,white,"Hakobyan, Aram",2611,draw,32,A16,Linares,2022
2671,black,"Del Rio De Angelis, Salvador G.",2456,draw,41,E44,Linares,2022
2671,white,"Wojtaszek, Radoslaw",2696,draw,19,E10,Wojtaszek,2022
2671,black,Santos Latasa,2680,win,50,D35,Wojtaszek,2022
2671,white,"Harikrishna, Pentala",2716,draw,44,D19,Wojtaszek,2022
2671,black,"Bluebaum, Matthias",2647,draw,40,D02,Wojtaszek,2022
2671,white,"Nguyen, Thai Dai Van",2627,draw,55,A13,Wojtaszek,2022
2671,black,"Deac, Bogdan-Daniel",2710,draw,34,E10,Wojtaszek,2022
2671,white,"Kuzubov, Yuriy",2627,draw,21,C42,Wojtaszek,2022
2671,black,"Luch, Michal",2364,draw,19,D36,Wojtaszek,2022
2671,white,"Navara, David",2681,lose,66,E10,Wojtaszek,2022
2692,black,"Erdos, Viktor",2586,lose,19,B51,Chennai,2022
2692,white,"Supi, Luis Paulo",2603,draw,30,D31,Chennai,2022
2692,black,"Mastrovasilis, Dimitrios",2599,draw,60,B90,Chennai,2022
2692,white,"Peralta, Fernando",2591,draw,60,E16,Chennai,2022
2692,white,"Kiik, Kalle",2365,win,57,A41,Chennai,2022
2692,black,"Pechac, Jergus",2594,lose,33,E21,Chennai,2022
2692,white,"Quesada Perez, Yasser",2568,lose,67,A20,Chennai,2022
2692,black,"Pasko, Llambi",2418,win,34,D31,Chennai,2022
2692,black,"Gupta, Abhijeet",2627,lose,50,A41,Germany,2022
2692,white,"Vachier-Lagrave, Maxime",2760,draw,31,D90,Germany,2022
2692,black,"Van Wely, Loek",2624,draw,34,E63,Germany,2022
2692,white,"Agrest, Evgenij",2570,win,85,D45,Germany,2022
