rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2658,black,Narayanan.S.L,2663,draw,48,C50,,2022
2658,white,"Eljanov, Pavel",2697,lose,36,B12,Germany,2022
2658,white,"Mamedov, Rauf",2646,draw,31,B31,Mayrhofen,2022
2658,black,"Vidit, Santosh Gujrathi",2710,lose,37,A50,Mayrhofen,2022
2658,white,"Saric, Ivan",2668,win,35,B52,Mayrhofen,2022
2658,white,"Rapport, Richard",2754,draw,25,B30,Mayrhofen,2022
2658,black,"Ten Hertog, Hugo",2525,lose,61,A13,Mayrhofen,2022
2669,black,Nihal Sarin,2677,draw,35,C67,Linares,2022
2669,white,"Fedoseev, Vladimir",2685,lose,64,B51,Linares,2022
2669,white,"Shirov, Alexei",2673,draw,40,C67,Linares,2022
2669,black,"Harikrishna, Pentala",2716,lose,54,C67,Linares,2022
2669,white,"Eljanov, Pavel",2695,win,62,C64,Linares,2022
2669,black,"Gines Esteo, Pedro Antonio",2505,win,44,A50,Linares,2022
2669,white,"Cheparinov, Ivan",2686,draw,39,C77,Linares,2022
2669,white,"Berkes, Ferenc",2651,draw,13,B04,Wojtaszek,2022
2669,black,"Bartel, Mateusz",2617,draw,37,A13,Wojtaszek,2022
2669,white,"Krasenkow, Michal",2545,draw,43,B30,Wojtaszek,2022
2669,black,"Nasuta, Grzegorz",2531,draw,24,C67,Wojtaszek,2022
2669,black,"Moranda, Wojciech",2609,draw,130,C28,Wojtaszek,2022
2669,white,"Kuzmicz, Krystian",2469,draw,70,B30,Wojtaszek,2022
2669,black,"Kollars, Dmitrij",2627,draw,35,A50,Wojtaszek,2022
2669,black,"Laurusas, Tomas",2563,draw,28,D59,Wojtaszek,2022
2672,black,"Moussard, Jules",2672,draw,51,C50,Baden-Baden,2022
2672,white,"Ivic, Velimir",2581,draw,27,B30,Baden-Baden,2022
2672,white,"Moussard, Jules",2672,draw,25,B91,Germany,2022
2672,black,"Rapport, Richard",2764,lose,77,A07,Germany,2022
2672,white,"Andersen, Mads",2587,draw,47,C84,Germany,2022
2672,white,"Nagy, Gabor",2500,win,55,B40,Germany,2022
2683,black,"Shevchenko, Kirill",2652,draw,21,C65,Germany,2022
2683,white,"Dardha, Daniel",2540,draw,42,C43,Germany,2022
2683,white,"Stern, Rene",2510,win,45,C95,,2022
2683,black,"Baldauf, Marco",2522,win,40,B90,,2022
2683,black,"Bjerre, Jonas Buhl",2611,draw,26,C65,,2022
2683,white,"Svane, Rasmus",2648,draw,69,A29,,2022
2683,white,"Indjic, Aleksandar",2613,draw,39,B90,,2022
2683,black,"Santos Ruiz, Miguel",2597,draw,22,C67,,2022
2683,white,"Lodici, Lorenzo",2537,draw,32,B10,Terme Catez,2022
2683,black,"Kelires, Andreas",2536,draw,41,E04,Terme Catez,2022
2683,white,"Blomqvist, Erik",2542,draw,34,B40,Terme Catez,2022
2683,black,"Asadli, Vugar",2579,draw,11,C46,Terme Catez,2022
2683,white,"Gagunashvili, Merab",2575,draw,76,C78,Terme Catez,2022
2683,black,"Mchedlishvili, Mikheil",2584,draw,9,D41,Terme Catez,2022
2683,white,"Dardha, Daniel",2540,win,33,C42,Terme Catez,2022
2683,black,"Spalir, Jernej",2373,win,33,A46,Terme Catez,2022
2683,white,"Golubovic, Boris",2393,draw,34,B07,Terme Catez,2022
2685,black,"Vysochin, Spartak",2505,win,36,B30,Kharkiv,2021
2685,white,"Moiseenko, Alexander",2597,draw,40,B30,Kharkiv,2021
2685,black,"Kuzubov, Yuriy",2652,draw,60,A16,Kharkiv,2021
2685,white,"Omelja, Artem",2509,draw,23,C67,Kharkiv,2021
2685,white,"Volokitin, Andrei",2677,lose,40,B40,Kharkiv,2021
2685,black,"Onischuk, Vladimir",2620,win,33,C65,Kharkiv,2021
2685,white,"Bakhmatsky, Vladislav",2432,win,80,C42,Kharkiv,2021
2685,black,"Kravtsiv, Martyn",2604,draw,14,A45,Kharkiv,2021
2685,white,"Shevchenko, Kirill",2655,draw,59,B52,Kharkiv,2021
2617,black,"Sadhwani, Raunak",2517,draw,67,A15,Riga,2021
2617,white,"Sadhwani, Raunak",2517,win,30,C60,Riga,2021
2617,black,"Zvjaginsev, Vadim",2674,lose,100,A16,Riga,2021
2617,white,"Zvjaginsev, Vadim",2674,draw,80,B30,Riga,2021
2617,white,"Gunina, Valentina",2452,win,41,B12,Riga,2021
2617,black,"Gunina, Valentina",2452,win,44,D59,Riga,2021
2617,white,"Vachier-Lagrave, Maxime",2838,lose,35,B10,Riga,2021
2617,black,"Vachier-Lagrave, Maxime",2838,lose,57,A05,Riga,2021
2617,black,"Xiong, Jeffery",2699,draw,60,A46,Riga,2021
2617,white,"Xiong, Jeffery",2699,lose,41,B10,Riga,2021
2686,white,"Aronian, Levon",2782,draw,31,C67,Riga,2021
2686,black,"Dubov, Daniil",2714,draw,24,E10,Riga,2021
2686,white,"Shevchenko, Kirill",2632,draw,31,B31,Riga,2021
2686,black,"Deac, Bogdan-Daniel",2643,draw,27,C65,Riga,2021
2686,white,"Jobava, Baadur",2582,win,32,B40,Riga,2021
2686,black,"Kuzubov, Yuriy",2624,draw,31,C67,Riga,2021
2686,white,"Chigaev, Maksim",2639,draw,47,B90,Riga,2021
2686,black,"Dreev, Alexey",2635,draw,31,E32,Riga,2021
2686,white,"Keymer, Vincent",2630,draw,41,B10,Riga,2021
2686,black,"Kollars, Dmitrij",2621,draw,30,C67,Riga,2021
2686,white,"Onischuk, Vladimir",2622,win,33,B12,Riga,2021
2686,white,"Cheparinov, Ivan",2659,draw,42,C88,Toledo,2021
2686,black,"Howell, David",2658,draw,30,C67,Toledo,2021
2686,white,"Anton Guijarro, David",2658,lose,50,C84,Toledo,2021
2686,black,"Gelfand, Boris",2680,draw,30,D41,Toledo,2021
2686,black,"Tari, Aryan",2646,draw,30,C65,Toledo,2021
2686,white,"Jones, Gawain C",2657,draw,46,C65,Toledo,2021
2686,black,"Korobov, Anton",2690,draw,18,C65,Toledo,2021
2689,black,"Cheparinov, Ivan",2659,draw,29,E25,Croatia,2021
2689,white,"Clarke, Brandon G I",2429,win,34,D70,Croatia,2021
2689,white,"Bosiocic, Marin",2603,draw,72,C50,Croatia,2021
2689,black,"Chigaev, Maksim",2639,draw,14,E04,Croatia,2021
2689,white,"Vavulin, Maxim",2554,win,41,C84,Croatia,2021
2689,black,"Saric, Ivan",2649,draw,25,C67,Vrnjachka Banya,2021
2689,white,"Inarkiev, Ernesto",2663,win,62,C80,Croatia,2021
2689,black,"Livaic, Leon",2508,draw,51,C67,Croatia,2021
2689,white,"Kadric, Denis",2555,draw,10,C47,Croatia,2021
2689,white,"Suleymanli, Aydin",2536,lose,68,B12,"Struga, Ohrid Lake",2021
2689,black,"Ragger, Markus",2665,draw,36,C53,"Struga, Ohrid Lake",2021
2689,white,"Christiansen, Johan-Sebastian",2609,win,27,C02,"Struga, Ohrid Lake",2021
2689,black,"Mikhalchishin, Adrian",2455,win,35,E12,"Struga, Ohrid Lake",2021
2689,black,Santos Latasa,2627,lose,61,A05,"Struga, Ohrid Lake",2021
2689,white,"Perunovic, Milos",2566,win,40,B40,"Struga, Ohrid Lake",2021
2689,white,"Dragicevic, Drazen",2344,win,23,B56,"Struga, Ohrid Lake",2021
2699,white,"Brkic, Ante",2592,draw,63,E10,Sochi,2021
2699,black,"Brkic, Ante",2592,lose,24,C65,Sochi,2021
2682,black,"Navara, David",2707,win,47,E48,Linares,2020
2682,white,"Vazquez Igarza, Renier",2551,win,37,C42,Linares,2020
2682,white,"Cheparinov, Ivan",2686,draw,43,B91,Linares,2020
2682,black,"Korobov, Anton",2688,draw,30,E10,Linares,2020
2682,white,"Huschenbeth, Niclas",2612,draw,72,A16,Linares,2020
2682,black,"Van Foreest, Jorden",2682,draw,30,D31,Linares,2020
2682,white,"Bacrot, Etienne",2673,win,30,C65,Linares,2020
2682,black,"Aronian, Levon",2773,draw,21,C50,Karlsruhe,2020
2682,white,"Meier, Georg",2622,draw,20,A10,Karlsruhe,2020
2682,black,"Areshchenko, Alexander",2678,draw,32,C50,Karlsruhe,2020
2682,white,"Van Foreest, Jorden",2682,win,21,E75,Karlsruhe,2020
2682,white,"Baldauf, Marco",2503,win,35,A05,Karlsruhe,2020
2682,black,"Moranda, Wojciech",2605,draw,21,E32,Krakow,2020
2682,white,"Antoniewski, Rafal",2490,draw,60,C43,Krakow,2020
2682,black,"Kempinski, Robert",2568,win,57,E06,Krakow,2020
2682,white,"Duda, Jan Krzysztof",2753,lose,68,B51,Krakow,2020
2682,white,"Klekowski, Maciej",2511,win,21,C65,Krakow,2020
2682,black,"Huschenbeth, Niclas",2605,draw,34,C65,Krakow,2020
2682,white,"Golubka, Petro",2495,win,58,B48,Krakow,2020
2682,black,"Harikrishna, Pentala",2732,lose,44,C67,Krakow,2020
2685,white,"Prusikin, Michael",2534,draw,35,C78,Germany,2020
2685,black,"Santos Ruiz, Miguel",2589,draw,33,E32,Germany,2020
2675,white,"Kovchan, Alexander",2572,win,34,B23,Lutsk,2019
2675,black,"Shtembuliak, Evgeny",2600,draw,19,E32,Lutsk,2019
2675,white,"Golubka, Petro",2479,win,40,C78,Lutsk,2019
2675,black,"Volokitin, Andrei",2641,draw,76,C53,Lutsk,2019
2675,black,"Eljanov, Pavel",2663,draw,18,E10,Lutsk,2019
2675,white,"Bernadskiy, Vitaliy",2593,win,52,B30,Lutsk,2019
2675,black,"Vysochin, Spartak",2512,draw,16,B31,Lutsk,2019
2675,white,"Moiseenko, Alexander",2623,win,25,B30,Lutsk,2019
2675,black,"Kuzubov, Yuriy",2667,draw,21,E10,Lutsk,2019
2683,black,"Vitiugov, Nikita",2751,draw,36,C65,Germany,2019
2683,white,"Abasov, Nijat",2655,draw,29,B30,Germany,2019
2683,black,"Saric, Ivan",2650,draw,32,C65,Budva,2019
2683,white,"Kislinsky, Alexey",2448,draw,48,B36,Budva,2019
2683,black,"Friedrich, Norbert",2263,win,27,B30,Budva,2019
2683,black,"Ponkratov, Pavel",2619,lose,58,C67,Budva,2019
2683,white,"Umudova, Nargiz",2270,win,29,B12,Budva,2019
2669,white,"So, Wesley",2767,draw,37,C47,Douglas,2019
2669,black,"Yu, Yangyi",2763,draw,44,A16,Douglas,2019
2669,white,"Xiong, Jeffery",2708,draw,32,C67,Douglas,2019
2669,black,"Tari, Aryan",2630,draw,41,C55,Douglas,2019
2669,white,"Anand, Viswanathan",2765,draw,47,B47,Douglas,2019
2669,black,"Karjakin, Sergey",2760,draw,48,C55,Douglas,2019
2669,white,"Aronian, Levon",2758,draw,39,C89,Douglas,2019
2669,white,"Safarli, Eltaj",2593,win,57,C87,Douglas,2019
2669,black,"Boruchovsky, Avital",2533,win,53,C65,Douglas,2019
2669,white,Gukesh D,2520,draw,39,B23,Douglas,2019
2669,black,"Keymer, Vincent",2506,draw,38,E10,Douglas,2019
2669,white,"Indjic, Aleksandar",2628,draw,53,B51,Mali Losinj,2019
2669,black,"Georgiev, Kiril",2581,draw,16,E10,Mali Losinj,2019
2669,white,"Fedorchuk, Sergey A",2621,win,41,E15,Mali Losinj,2019
2669,black,"Lysyj, Igor",2596,draw,30,E04,Mali Losinj,2019
2669,white,"Tomashevsky, Evgeny",2718,draw,31,C84,Mali Losinj,2019
2669,black,"Inarkiev, Ernesto",2693,draw,36,E10,Mali Losinj,2019
2669,black,"Saric, Ibro",2564,draw,13,E01,Mali Losinj,2019
2669,white,"Ponkratov, Pavel",2644,draw,38,C11,Mali Losinj,2019
2669,black,"Grachev, Boris",2621,win,63,A06,Mali Losinj,2019
2686,black,Praggnanandhaa R,2569,draw,66,C55,Abu Dhabi,2019
2686,white,"Paichadze, Luka",2570,draw,57,B12,Abu Dhabi,2019
2686,black,"Santos Latasa, Jaime",2586,draw,21,E32,Abu Dhabi,2019
2686,black,"Muradli, Mahammad",2454,win,36,A06,Abu Dhabi,2019
2686,white,Vignesh N R,2466,draw,22,B91,Abu Dhabi,2019
2686,white,"Ilyasli, Ughur",2131,win,36,C23,Abu Dhabi,2019
2686,black,Wagh Suyog,2253,win,33,E63,Abu Dhabi,2019
2686,black,Siva Mahadevan,2270,draw,16,C69,Abu Dhabi,2019
2686,white,Viani Antonio Dcunha,2371,lose,33,C78,Abu Dhabi,2019
2697,black,"Wang, Hao",2781,draw,15,C67,Sharjah,2019
2680,white,Aditya Mittal,2454,win,40,A07,Sharjah,2019
2680,white,"Yakubboev, Nodirbek",2569,win,37,A29,Sharjah,2019
2680,black,"Fier, Alexandr",2551,draw,19,A14,Sharjah,2019
2680,white,"Adly, Ahmed",2611,draw,28,B90,Sharjah,2019
2680,black,Gukesh D,2529,win,69,A07,Sharjah,2019
2680,white,"Asgarizadeh, Ahmad",2434,win,39,C96,Sharjah,2019
2680,black,"Buksa, Nataliya",2416,draw,64,B68,Sharjah,2019
2680,white,"Blagojevic, Tijana",2206,win,52,A20,Sharjah,2019
2680,white,"Kraemer, Martin",2586,win,72,A13,Germany,2019
2680,black,"Almasi, Zoltan",2680,draw,20,C65,Germany,2019
2680,black,"Vachier-Lagrave, Maxime",2775,draw,33,A07,Germany,2019
2680,white,"Kamsky, Gata",2666,draw,33,C42,Germany,2019
2680,black,"Vitiugov, Nikita",2726,draw,30,A16,Germany,2019
2683,white,"Svane, Rasmus",2599,draw,39,C11,Germany,2019
2683,black,"Dziuba, Marcin",2560,draw,20,E10,Germany,2019
2687,black,"Ragger, Markus",2687,lose,58,C53,Germany,2018
2687,white,"Stark, Lars",2374,win,59,C42,Germany,2018
2698,white,"Schroeder, Jan-Christian",2571,draw,44,C84,Germany,2018
2698,black,"Onischuk, Vladimir",2623,lose,29,C65,Hungary,2018
2698,black,"Naiditsch, Arkadij",2736,draw,53,C67,Hungary,2018
2705,white,"Heimann, Andreas",2574,draw,42,C65,Switzerland,2018
2705,black,"Georgiadis, Nico",2568,draw,37,E06,Switzerland,2018
2697,black,"Greenfeld, Alon",2495,draw,38,E04,Halkidiki,2018
2697,white,"Romanov, Evgeny",2614,draw,37,B28,Halkidiki,2018
2697,white,"Brunello, Sabino",2548,win,36,C84,Halkidiki,2018
2697,black,"Alekseenko, Kirill",2639,lose,52,C65,Halkidiki,2018
2697,black,"Richter, Christian",2356,win,40,E15,Halkidiki,2018
2697,white,"Gorodetzky, Matan",2221,win,26,C11,Halkidiki,2018
2695,white,"Stocek, Jiri",2574,win,99,C17,Batumi,2018
2695,black,"Naiditsch, Arkadij",2721,win,86,C67,Batumi,2018
2695,black,"Kosic, Dragan",2465,win,55,E14,Batumi,2018
2695,white,"Bacrot, Etienne",2678,lose,71,C65,Batumi,2018
2695,black,"Piorun, Kacper",2612,draw,86,E06,Batumi,2018
2695,white,"Lopez Martinez, Josep Manuel",2581,win,69,C65,Batumi,2018
2695,black,"Pichot, Alan",2562,draw,30,C65,Batumi,2018
2695,white,"Abdusattorov, Nodirbek",2558,draw,76,B94,Batumi,2018
2695,white,"Munenga, Douglas D",2273,win,35,C55,Batumi,2018
2695,black,"Bartel, Mateusz",2598,win,29,A03,Wrocław,2018
2695,white,"Moranda, Wojciech",2597,draw,23,B48,Wrocław,2018
2711,white,"Zlatanovic, Boroljub",2378,win,49,C10,Struga,2018
2711,black,"Danchevski, Orce",2351,lose,54,E04,Struga,2018
2711,black,"Kokarev, Dmitry",2608,draw,30,C65,Linares,2018
2711,white,"Leko, Peter",2691,draw,30,C65,Linares,2018
2711,black,"Navara, David",2741,lose,89,E21,Linares,2018
2711,white,"Banusz, Tamas",2612,draw,16,C42,Linares,2018
2711,black,"Vitiugov, Nikita",2730,draw,19,E06,Linares,2018
2711,white,"Oparin, Grigoriy",2609,draw,42,E20,Linares,2018
2711,black,"Harikrishna, Pentala",2739,draw,42,C67,Linares,2018
2705,white,"Efimov, Igor",2413,win,24,C11,Brest FRA,2018
2705,black,"Bluebaum, Matthias",2633,draw,19,E04,Brest,2018
2705,white,"Laznicka, Viktor",2671,draw,30,B07,Brest,2018
2705,black,"Riazantsev, Alexander",2662,draw,17,E52,Brest,2018
2705,black,"David, Alberto",2563,draw,42,A16,Brest,2018
2705,white,"Wagner, Dennis",2567,win,48,A34,Brest,2018
2705,black,"Rodshtein, Maxim",2678,draw,65,E06,Brest,2018
2705,white,"Jobava, Baadur",2663,win,28,B12,Brest,2018
2705,black,"Moussard, Jules",2570,win,55,C50,Brest,2018
2705,white,"Donchenko, Alexander",2587,draw,58,B12,Brest,2018
2705,white,"Donchenko, Alexander",2587,draw,59,B12,Brest,2018
2705,black,"Van Wely, Loek",2667,draw,24,E06,Brest,2018
2703,white,"Maghsoodloo, Parham",2615,draw,34,C55,Sharjah,2018
2703,white,Vishnu Prasanna. V,2510,win,56,C87,Sharjah,2018
2703,white,"Vishnu, Prasanna V",2510,win,56,C87,Sharjah,2018
2703,black,"Jumabayev, Rinat",2612,draw,58,C53,Sharjah,2018
2703,white,"Soumya, Swaminathan",2354,win,48,B67,Sharjah,2018
2703,white,"Soumya, Swaminathan",2354,win,47,B67,Sharjah,2018
2703,black,Viani Antonio Dcunha,2435,win,60,B51,Sharjah,2018
