rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2679,black,"Wan, Yunguo",2508,draw,25,B12,Fuling Chongqing,2022
2679,white,"Ma, Qun",2666,draw,30,C67,Fuling Chongqing,2022
2693,white,"Bu, Xiangzhi",2631,draw,21,C67,Fuling Chongqing,2022
2679,black,"Bu, Xiangzhi",2709,draw,31,D26,Fuling Chongqing,2022
2679,white,"Ma, Zhonghan",2485,draw,80,B20,Fuling Chongqing,2022
2693,black,"Wang, Hao B",2165,win,36,D70,Fuling Chongqing,2022
2679,white,"Ni, Hua",2668,draw,15,C67,Fuling Chongqing,2022
2679,black,"Wen, Yang",2588,draw,30,A05,Fuling Chongqing,2022
2679,white,"Wei, Yi",2727,draw,41,D41,Fuling Chongqing,2022
2679,black,"Ding, Liren",2808,draw,66,D17,Fuling Chongqing,2022
2679,white,"Xu, Xiangyu",2571,draw,22,E01,Fuling Chongqing,2022
2683,white,"Ma, Qun",2630,draw,40,A00,"Liaocheng, China",2021
2683,black,"Ma, Lin",2177,win,47,A00,"Liaocheng, China",2021
2683,black,"Li, Di",2576,draw,32,A00,"Liaocheng, China",2021
2683,white,"Cai, Youyang",2040,win,32,A00,"Liaocheng, China",2021
2683,white,"Ni, Hua",2667,draw,31,A00,"Liaocheng, China",2021
2683,black,"Wang, Yiye",2448,win,47,A00,"Liaocheng, China",2021
2683,white,"Li, Xueyi",2303,win,32,A00,"Liaocheng, China",2021
2683,black,"Wei, Yi",2725,lose,31,A00,"Liaocheng, China",2021
2683,white,"Tan, Zhongyi",2525,draw,38,A00,"Liaocheng, China",2021
2690,black,"Dubov, Daniil",2690,draw,30,D02,China,2019
2690,white,"Wei, Yi",2725,draw,36,C67,China,2019
2690,black,"Wang, Hao",2756,lose,107,C42,China,2019
2690,white,"Nie, Xinyang",2348,draw,36,D31,China,2019
2687,black,"Zhou, Weiqi",2587,draw,22,D22,China,2019
2687,white,"Ma, Qun",2629,win,63,D53,China,2019
2697,white,"Ni, Hua",2668,draw,31,E01,China,2019
2697,black,"Xiang, Zeyu",2439,draw,31,A61,China,2019
2697,white,"Zhao, Jun",2633,draw,31,E06,China,2019
2697,white,"Anton Guijarro, David",2678,lose,49,A50,China,2019
2691,white,"Rapport, Richard",2735,draw,31,E97,China,2019
2691,black,"Wei, Yi",2737,draw,49,C42,China,2019
