rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2651,black,"Sjugirov, Sanan",2709,draw,11,C67,Poikovsky,2022
2651,white,"Chigaev, Maksim",2637,draw,73,B40,Poikovsky,2022
2651,black,"Yakubboev, Nodirbek",2663,draw,27,D35,Poikovsky,2022
2651,white,"Tomashevsky, Evgeny",2696,win,36,C55,Poikovsky,2022
2651,black,"Suleymanli, Aydin",2553,draw,37,D37,Poikovsky,2022
2651,white,"Najer, Evgeniy",2676,draw,17,C07,Poikovsky,2022
2651,black,"Martirosyan, Haik M.",2666,lose,52,D37,Poikovsky,2022
2651,white,"Iljiushenok, Ilia",2551,draw,99,A13,Poikovsky,2022
2652,black,"Ramirez Garcia, Jorge Alberto",2242,win,32,C47,Chartres,2022
2652,white,"Feller, Sebastien",2574,win,25,A11,Chartres,2022
2652,black,"Jones, Gawain C",2665,draw,84,C45,Chartres,2022
2652,white,"Fressinet, Laurent",2624,draw,47,C55,Chartres,2022
2652,white,"Dourerassou, Jonathan",2444,win,45,A13,Chartres,2022
2652,black,"Lagarde, Maxime",2628,lose,28,D10,Chartres,2022
2652,white,"Abasov, Nijat",2635,lose,65,A06,Chartres,2022
2658,black,"Ganguly, Surya Shekhar",2617,draw,21,D10,Berlin,2021
2658,white,"Nguyen, Thai Dai Van",2577,draw,74,A07,Berlin,2021
2658,white,"Anand, Viswanathan",2753,draw,42,A06,Berlin,2021
2666,black,"Subelj, Jan",2415,draw,15,C67,"Struga, Ohrid Lake",2021
2666,black,"Demchenko, Anton",2610,lose,31,C50,"Struga, Ohrid Lake",2021
2666,white,"Esipenko, Andrey",2720,lose,35,A07,"Struga, Ohrid Lake",2021
2666,white,"Banusz, Tamas",2641,win,41,A06,"Struga, Ohrid Lake",2021
2666,white,"Dishman, Stephen",2316,win,52,A06,"Struga, Ohrid Lake",2021
2666,white,"Dubov, Daniil",2714,draw,30,A05,Sochi,2021
2666,black,"Dubov, Daniil",2714,lose,40,D15,Sochi,2021
