rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2733,white,"Yakubboev, Nodirbek",2560,win,36,A13,Almaty,2022
2733,black,"Tabatabaei, M. Amin",2551,win,51,D02,Almaty,2022
2733,black,"Adhiban, Baskaran",2613,lose,54,C55,Almaty,2022
2733,white,"Tin, Jingyao",2462,win,56,D11,Almaty,2022
2733,black,"Ponkratov, Pavel",2539,lose,41,A00,Almaty,2022
2733,white,"Shankland, Samuel L",2612,lose,24,D50,Almaty,2022
2733,white,"Anton Guijarro, David",2585,lose,32,E20,Almaty,2022
2733,white,"Madaminov, Mukhiddin",2333,lose,66,A45,Almaty,2022
2733,black,"Rapport, Richard",2654,lose,34,C24,Almaty,2022
2733,white,"Duda, Jan Krzysztof",2773,draw,27,D11,Almaty,2022
2733,black,"Carlsen, Magnus",2830,draw,38,C80,Almaty,2022
2733,black,"Giri, Anish",2792,draw,31,E11,Almaty,2022
2733,white,"Yu, Yangyi",2807,draw,18,E20,Almaty,2022
2733,black,"Ganguly, Surya Shekhar",2530,win,27,C45,Almaty,2022
2733,white,"Petrov, Nikita",2531,win,61,E20,Almaty,2022
2733,white,"Ivic, Velimir",2614,win,33,D70,Almaty,2022
2733,black,"Lazavik, Denis",2484,lose,33,E11,Almaty,2022
2733,white,"Najer, Evgeniy",2566,win,43,E20,Almaty,2022
2733,black,"Jumabayev, Rinat",2584,win,63,E11,Almaty,2022
2733,white,Harsha Bharathakoti,2527,win,31,D35,Almaty,2022
2746,black,Erigaisi Arjun,2628,lose,33,A45,Almaty,2022
2746,white,"Sargsyan, Shant",2561,win,73,E20,Almaty,2022
2746,black,"Amin, Bassem",2567,lose,34,E11,Almaty,2022
2746,black,"Amin, Bassem",2567,draw,23,C81,Almaty,2022
2746,white,"Tsydypov, Zhamsaran",2550,draw,76,A50,Almaty,2022
2746,black,"Petrosyan, Manuel",2539,draw,7,A46,Almaty,2022
2746,white,"Petrosian, Tigran L",2623,draw,49,A41,Almaty,2022
2746,black,"Murzin, Volodar",2534,draw,28,C47,Almaty,2022
2746,white,"Sarana, Alexey",2629,draw,49,A07,Almaty,2022
2746,black,"Hansen, Eric",2579,win,37,C77,Almaty,2022
2746,white,"Riazantsev, Alexander",2570,win,46,E20,Almaty,2022
2746,black,"Predke, Alexandr",2584,draw,25,A05,Almaty,2022
2746,white,"Yilmaz, Mustafa",2521,win,29,E20,Almaty,2022
2746,black,"Petrov, Nikita",2519,draw,29,E48,Almaty,2022
2733,black,"Gadimbayli, Abdulla",2399,win,44,B40,Baku,2022
2733,white,"Mamedov, Rauf",2649,draw,14,C54,Baku,2022
2733,white,"Suleymanli, Aydin",2481,win,44,D26,Baku,2022
