rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2674,white,"Sargsyan, Shant",2602,draw,17,E01,Almaty,2022
2674,black,"Adhiban, Baskaran",2613,win,31,D30,Almaty,2022
2674,white,"Anton Guijarro, David",2585,draw,45,E10,Almaty,2022
2674,black,"Moussard, Jules",2606,draw,52,C55,Almaty,2022
2674,white,"Le, Tuan Minh",2530,lose,57,D12,Almaty,2022
2674,black,"Sanal, Vahap",2576,draw,29,C28,Almaty,2022
2674,white,"Lazavik, Denis",2484,draw,37,E29,Almaty,2022
2674,black,"Shimanov, Aleksandr",2605,win,53,A45,Almaty,2022
2674,white,"Artemiev, Vladislav",2803,lose,22,D11,Almaty,2022
2674,white,"Dubov, Daniil",2792,draw,9,C04,Almaty,2022
2674,black,"Keymer, Vincent",2600,win,59,A06,Almaty,2022
2674,white,"Daneshvar, Bardiya",2429,win,70,E00,Almaty,2022
2674,black,"Hansen, Eric",2568,win,43,C82,Almaty,2022
2674,white,"Tang, Andrew",2582,win,63,E04,Almaty,2022
2674,black,"Petrov, Nikita",2531,lose,71,A45,Almaty,2022
2674,white,"Jumabayev, Rinat",2584,win,19,E01,Almaty,2022
2674,black,"Vakhidov, Jakhongir",2507,win,42,A13,Almaty,2022
2674,white,"Damjanovic, Vuk",2439,win,50,D30,Almaty,2022
2674,black,"Saraci, Nderim",2549,lose,68,A01,Almaty,2022
2674,white,"Paravyan, David",2551,draw,52,C42,Almaty,2022
2674,black,"Khusnutdinov, Rustam",2510,draw,59,A00,Almaty,2022
2671,black,"Ivic, Velimir",2489,lose,45,D35,Almaty,2022
2671,white,"Pantsulaia, Levan",2522,lose,43,A43,Almaty,2022
2671,black,"Murzin, Volodar",2534,lose,34,E11,Almaty,2022
2671,white,"Nguyen, Thai Dai Van",2534,draw,32,E10,Almaty,2022
2671,black,"Vakhidov, Jakhongir",2529,win,40,A13,Almaty,2022
2671,white,"Alonso Rosell, Alvar",2472,win,34,E29,Almaty,2022
2671,black,"Tsaruk, Maksim",2334,lose,61,C89,Almaty,2022
2671,white,"Kovalev, Vladislav",2523,draw,39,E28,Almaty,2022
2671,black,"Yakubboev, Nodirbek",2573,lose,36,A13,Almaty,2022
2671,white,"Tsydypov, Zhamsaran",2550,draw,29,A40,Almaty,2022
2671,black,"Riazantsev, Alexander",2570,draw,17,A46,Almaty,2022
2671,white,"Sychev, Klementy",2489,win,28,E04,Almaty,2022
