rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2662,black,"Pultinevicius, Paulius",2570,win,38,E11,Ashdod,2023
2662,black,"Gorshtein, Ido",2498,win,42,A20,Ashdod,2023
2566,black,"Niemann, Hans Moke",2632,lose,38,D02,Almaty,2022
2566,white,"Amin, Bassem",2713,lose,38,C95,Almaty,2022
2566,black,"Gelfand, Boris",2620,lose,22,E10,Almaty,2022
2566,white,"Brunello, Sabino",2641,draw,32,C83,Almaty,2022
2566,white,"Harikrishna, Pentala",2617,lose,68,B48,Almaty,2022
2566,black,"Mamedov, Rauf",2649,lose,36,C77,Almaty,2022
2566,white,"Salem, A.R. Saleh",2633,win,58,C88,Almaty,2022
2566,black,"Mamedyarov, Shakhriyar",2733,lose,43,E20,Almaty,2022
2566,white,"Sadhwani, Raunak",2657,win,49,C60,Almaty,2022
2590,white,"Vokhidov, Shamsiddin",2481,win,38,B66,Almaty,2022
2590,white,"Lazavik, Denis",2453,lose,51,C65,Almaty,2022
2590,black,"Le Tuan, Minh",1461,draw,25,E35,Almaty,2022
2666,black,"Martirosyan, Haik M.",2675,draw,30,E11,Poikovsky,2022
2666,white,"Iljiushenok, Ilia",2567,win,30,E46,Poikovsky,2022
2666,black,"Sjugirov, Sanan",2709,lose,42,D10,Poikovsky,2022
2666,white,"Chigaev, Maksim",2637,win,39,A45,Poikovsky,2022
2676,black,"Yakubboev, Nodirbek",2656,draw,44,A20,Poikovsky,2022
2676,white,"Tomashevsky, Evgeny",2700,lose,68,C84,Poikovsky,2022
2676,black,"Malakhov, Vladimir",2651,draw,17,C07,Poikovsky,2022
2676,white,"Suleymanli, Aydin",2553,draw,35,C77,Poikovsky,2022
2676,white,"Murzin, Volodar",2534,lose,68,C55,Cheboksary,2022
2676,black,"Artemiev, Vladislav",2706,draw,50,C88,Cheboksary,2022
2676,white,"Tomashevsky, Evgeny",2700,draw,21,C49,Cheboksary RUS,2022
2676,black,"Esipenko, Andrey",2678,draw,21,C82,Cheboksary,2022
2676,white,"Sjugirov, Sanan",2703,draw,19,A45,Cheboksary,2022
2676,black,"Nesterov, Arseniy",2575,draw,44,A84,Cheboksary,2022
2676,white,"Matlakov, Maxim",2671,draw,26,C44,Cheboksary,2022
2676,black,"Iljiushenok, Ilia",2551,draw,40,C02,Cheboksary,2022
2676,white,"Dubov, Daniil",2702,draw,16,C69,Cheboksary,2022
2676,black,"Rakhmanov, Aleksandr",2633,draw,28,D91,Cheboksary,2022
2659,black,"Sjugirov, Sanan",2696,draw,23,C84,Sochi,2022
2659,white,"Esipenko, Andrey",2709,win,38,C67,Sochi,2022
2659,white,"Sargissian, Gabriel",2694,draw,45,C47,Sochi,2022
2659,black,"Shubin, Kirill",2472,draw,32,B13,Sochi,2022
2659,white,"Grischuk, Alexander",2742,draw,35,C67,Sochi,2022
2659,black,"Artemiev, Vladislav",2700,win,45,A06,Sochi,2022
2659,white,"Tomashevsky, Evgeny",2708,win,56,C84,Sochi,2022
2551,black,"Amin, Bassem",2617,lose,36,A07,Warsaw,2021
2551,white,"Sargissian, Gabriel",2661,win,39,C55,Warsaw,2021
2551,white,"Tari, Aryan",2656,win,39,C55,Warsaw,2021
2551,white,"Nguyen, Thai Dai Van",2446,win,45,B31,Warsaw,2021
2551,black,"Maghsoodloo, Parham",2655,lose,23,D02,Warsaw,2021
