rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2909,white,"Harikrishna, Pentala",2617,draw,167,A20,Almaty,2022
2909,black,"Keymer, Vincent",2600,win,64,A05,Almaty,2022
2909,white,"Shimanov, Aleksandr",2605,draw,46,B01,Almaty,2022
2909,black,"Sarana, Alexey",2708,lose,85,A50,Almaty,2022
2909,black,"Andreikin, Dmitry",2735,win,43,A05,Almaty,2022
2909,white,"Grischuk, Alexander",2763,win,39,C07,Almaty,2022
2909,white,"Artemiev, Vladislav",2803,lose,53,C24,Almaty,2022
2909,black,"Nepomniachtchi, Ian",2782,draw,17,C65,Almaty,2022
2909,black,"Rapport, Richard",2654,draw,13,C67,Almaty,2022
2909,white,"Fedoseev, Vladimir",2733,win,30,C24,Almaty,2022
2909,black,"Martirosyan, Haik M.",2745,win,53,A50,Almaty,2022
2909,white,"Duda, Jan Krzysztof",2773,draw,67,C65,Almaty,2022
2909,black,"Dubov, Daniil",2792,draw,12,C47,Almaty,2022
2909,white,"Carlsen, Magnus",2830,draw,21,D41,Almaty,2022
2909,black,"Yu, Yangyi",2807,win,54,B06,Almaty,2022
2909,white,"Caruana, Fabiano",2847,win,38,A20,Almaty,2022
2909,black,"Giri, Anish",2792,draw,18,E10,Almaty,2022
2909,white,"Nihal, Sarin",2702,win,62,C24,Almaty,2022
2909,black,"Andriasian, Zaven",2625,win,47,C55,Almaty,2022
2909,white,"Yudin, Sergei",2599,win,35,B07,Almaty,2022
2909,black,"Yakubboev, Nodirbek",2560,win,21,A85,Almaty,2022
2795,black,"Durarbayli, Vasif",2513,draw,13,C72,Almaty,2022
2795,white,"Quparadze, Giga",2538,draw,60,A45,Almaty,2022
2795,black,"Suleymanli, Aydin",2448,draw,45,E71,Almaty,2022
2795,white,"Indjic, Aleksandar",2547,draw,114,E46,Almaty,2022
2795,black,"Sargsyan, Shant",2561,draw,45,E10,Almaty,2022
2795,white,"Murzin, Volodar",2534,draw,60,B11,Almaty,2022
2795,black,"Savchenko, Boris",2592,draw,50,A08,Almaty,2022
2795,white,"Predke, Alexandr",2584,draw,48,B40,Almaty,2022
2795,black,"Donchenko, Alexander",2597,draw,48,A16,Almaty,2022
2795,white,"Amin, Bassem",2567,win,55,E90,Almaty,2022
2795,black,"Petrov, Nikita",2519,win,55,E49,Almaty,2022
2795,white,"Kovalev, Vladislav",2523,draw,34,C88,Almaty,2022
2795,black,"Tabatabaei, M. Amin",2526,draw,54,E47,Almaty,2022
2909,white,Praggnanandhaa R,2599,win,28,A20,Calcutta,2022
2909,black,Erigaisi Arjun,2750,lose,47,E20,Calcutta,2022
2909,white,Gukesh D,2632,win,38,A13,Calcutta,2022
2909,black,"Maghsoodloo, Parham",2672,lose,53,E10,Calcutta,2022
2909,white,"Vidit, Santosh Gujrathi",2669,win,45,A20,Calcutta,2022
2909,black,"Mamedyarov, Shakhriyar",2733,draw,50,E20,Calcutta,2022
2909,white,"Abdusattorov, Nodirbek",2666,win,47,A30,Calcutta,2022
2909,black,"So, Wesley",2763,win,35,C55,Calcutta,2022
2909,white,"Nihal, Sarin",2702,win,53,A16,Calcutta,2022
2909,black,Praggnanandhaa R,2599,win,41,A07,Calcutta,2022
2909,white,Erigaisi Arjun,2750,lose,54,A04,Calcutta,2022
2909,black,Gukesh D,2632,lose,51,E10,Calcutta,2022
2909,white,"Maghsoodloo, Parham",2672,win,67,A04,Calcutta,2022
2909,black,"Vidit, Santosh Gujrathi",2669,draw,72,E10,Calcutta,2022
2909,white,"Mamedyarov, Shakhriyar",2733,draw,28,A05,Calcutta,2022
2909,black,"Abdusattorov, Nodirbek",2666,win,67,C55,Calcutta,2022
2909,white,"So, Wesley",2763,win,40,A04,Calcutta,2022
2909,black,"Nihal, Sarin",2702,lose,87,A46,Calcutta,2022
2789,black,"Sethuraman, SP.",2545,win,74,B06,Calcutta,2022
2789,white,Erigaisi Arjun,2628,lose,56,A06,Calcutta,2022
2789,black,Gukesh D,2632,draw,34,C65,Calcutta,2022
2789,white,"Maghsoodloo, Parham",2641,win,69,E46,Calcutta,2022
2789,black,"Vidit, Santosh Gujrathi",2662,draw,27,C55,Calcutta,2022
2789,white,"Mamedyarov, Shakhriyar",2747,win,47,A05,Calcutta,2022
2789,black,"Abdusattorov, Nodirbek",2676,lose,84,C65,Calcutta,2022
2789,white,"So, Wesley",2784,lose,90,D35,Calcutta,2022
2789,black,"Nihal, Sarin",2616,draw,28,A16,Calcutta,2022
2768,black,"So, Wesley",2771,lose,91,A40,Toronto,2022
2768,white,"So, Wesley",2771,lose,74,C48,Toronto,2022
2768,black,"So, Wesley",2771,draw,31,C50,Toronto,2022
2768,white,"So, Wesley",2771,draw,116,C45,Toronto,2022
2768,black,"So, Wesley",2771,draw,49,C50,Toronto,2022
2768,white,"So, Wesley",2771,draw,95,C65,Toronto,2022
2768,black,"So, Wesley",2771,draw,35,C65,Toronto,2022
2768,white,"So, Wesley",2771,draw,51,C65,Toronto,2022
2768,white,"Duda, Jan-Krzysztof",2731,win,63,C42,Toronto,2022
2768,black,"Duda, Jan-Krzysztof",2731,lose,115,E10,Toronto,2022
2768,white,"Duda, Jan-Krzysztof",2731,lose,51,C10,Toronto,2022
2768,black,"Duda, Jan-Krzysztof",2731,win,44,A00,Toronto,2022
2768,white,"Duda, Jan-Krzysztof",2731,win,32,C65,Toronto,2022
2768,black,"Duda, Jan-Krzysztof",2731,win,94,E04,Toronto,2022
2768,white,"Duda, Jan-Krzysztof",2731,win,63,C42,Toronto,2022
2850,white,"Xiong, Jeffery",2714,win,50,A20,Saint Louis,2022
2850,black,"Nepomniachtchi, Ian",2791,win,71,C36,Saint Louis,2022
2850,white,"Dominguez Perez, Leinier",2708,win,70,A05,Saint Louis,2022
2850,black,"Vachier-Lagrave, Maxime",2812,win,49,B06,Saint Louis,2022
2850,white,"Mamedyarov, Shakhriyar",2710,draw,93,A05,Saint Louis,2022
2850,black,"Shankland, Samuel L",2645,win,60,B06,Saint Louis,2022
