rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2782,white,"Dubov, Daniil",2792,lose,27,B40,Almaty,2022
2782,black,"Artemiev, Vladislav",2803,draw,22,D41,Almaty,2022
2782,white,"Grischuk, Alexander",2763,win,36,E97,Almaty,2022
2782,black,"Duda, Jan Krzysztof",2773,lose,25,A46,Almaty,2022
2782,white,"Martirosyan, Haik M.",2745,draw,57,C67,Almaty,2022
2782,black,"Giri, Anish",2792,draw,20,D41,Almaty,2022
2782,white,"Carlsen, Magnus",2830,win,40,C65,Almaty,2022
2782,white,"Nakamura, Hikaru",2909,draw,17,C65,Almaty,2022
2782,black,"Sadhwani, Raunak",2657,win,57,E20,Almaty,2022
2782,white,"Mamedov, Rauf",2649,win,54,B31,Almaty,2022
2782,black,"Moiseenko, Alexander",2577,win,51,E21,Almaty,2022
2782,white,"Harikrishna, Pentala",2617,draw,54,B47,Almaty,2022
2782,black,"Sanal, Vahap",2576,win,32,B40,Almaty,2022
2782,black,"Vokhidov, Shamsiddin",2597,win,36,B48,Almaty,2022
2782,white,"Tabatabaei, M. Amin",2551,win,45,C82,Almaty,2022
2782,black,"Svane, Frederik",2466,win,23,B23,Almaty,2022
2782,white,Narayanan.S.L,2562,lose,38,C86,Almaty,2022
2782,black,"Quparadze, Giga",2587,lose,53,A07,Almaty,2022
2782,white,"Shimanov, Aleksandr",2605,lose,39,A05,Almaty,2022
2782,black,"Lintchevski, Daniil",2589,win,43,B47,Almaty,2022
2782,white,"Chigaev, Maksim",2542,win,75,B52,Almaty,2022
2766,black,"Sargissian, Gabriel",2640,win,45,E10,Almaty,2022
2766,white,Erigaisi Arjun,2628,draw,47,A13,Almaty,2022
2766,black,"Keymer, Vincent",2590,lose,34,E11,Almaty,2022
2766,white,"Tomashevsky, Evgeny",2628,win,30,C65,Almaty,2022
2766,white,"Sarana, Alexey",2629,draw,36,A13,Almaty,2022
2766,black,"Shimanov, Aleksandr",2616,win,47,B22,Almaty,2022
2766,white,"Abdusattorov, Nodirbek",2676,lose,61,B40,Almaty,2022
2766,black,"Nihal, Sarin",2628,draw,42,A46,Almaty,2022
2766,white,"Giri, Anish",2708,draw,27,A30,Almaty,2022
2766,black,"Salem, A.R. Saleh",2644,win,39,E49,Almaty,2022
2766,white,"Sjugirov, Sanan",2584,win,64,D12,Almaty,2022
2766,black,"Aravindh, Chithambaram VR.",2576,draw,42,A46,Almaty,2022
2766,white,"Pantsulaia, Levan",2522,win,31,B41,Almaty,2022
2779,black,"Firouzja, Alireza",2732,lose,34,A15,Saint Louis,2022
2779,white,"Firouzja, Alireza",2732,draw,70,E10,Saint Louis,2022
2792,white,"Niemann, Hans Moke",2688,draw,54,A21,Saint Louis,2022
2792,black,"Aronian, Levon",2759,win,52,C42,Saint Louis,2022
2792,black,"Mamedyarov, Shakhriyar",2757,draw,34,E32,Saint Louis,2022
2792,white,"Caruana, Fabiano",2758,draw,53,B40,Saint Louis,2022
2792,black,"Vachier-Lagrave, Maxime",2757,draw,33,C43,Saint Louis,2022
2792,white,"So, Wesley",2771,draw,25,E10,Saint Louis,2022
2792,black,"Dominguez Perez, Leinier",2745,draw,42,B90,Saint Louis,2022
2792,white,"Firouzja, Alireza",2778,win,50,E04,Saint Louis,2022
2792,black,"Carlsen, Magnus",2861,lose,43,E10,Saint Louis,2022
2791,black,"Aronian, Levon",2850,draw,28,A45,Saint Louis,2022
2791,white,"Nakamura, Hikaru",2850,lose,71,C36,Saint Louis,2022
2791,black,"Xiong, Jeffery",2714,draw,51,B40,Saint Louis,2022
2791,white,"Caruana, Fabiano",2847,draw,52,C35,Saint Louis,2022
2791,white,"Dominguez Perez, Leinier",2708,lose,42,D20,Saint Louis,2022
2791,black,"Vachier-Lagrave, Maxime",2812,draw,55,C42,Saint Louis,2022
2791,white,"Mamedyarov, Shakhriyar",2710,draw,43,D06,Saint Louis,2022
2791,black,"Shankland, Samuel L",2645,win,32,E04,Saint Louis,2022
2791,white,"Firouzja, Alireza",2795,draw,49,E04,Saint Louis,2022
2791,white,"Aronian, Levon",2850,lose,36,A16,Saint Louis,2022
2791,black,"Nakamura, Hikaru",2850,draw,43,A20,Saint Louis,2022
2791,white,"Xiong, Jeffery",2714,win,39,A30,Saint Louis,2022
2791,black,"Caruana, Fabiano",2847,draw,62,C42,Saint Louis,2022
2791,black,"Dominguez Perez, Leinier",2708,win,31,B46,Saint Louis,2022
