rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2656,white,"Petr, Martin",2508,win,36,A06,Czech Republic,2023
2534,white,"Shankland, Samuel L",2612,draw,35,A04,Almaty,2022
2534,black,"Indjic, Aleksandar",2616,lose,36,A13,Almaty,2022
2534,white,"Van Foreest, Jorden",2663,win,31,A40,Almaty,2022
2534,black,"Cheparinov, Ivan",2623,draw,27,E10,Almaty,2022
2534,white,"Vidit, Santosh Gujrathi",2669,draw,108,A06,Almaty,2022
2534,black,"Kadric, Denis",2657,win,33,B23,Almaty,2022
2534,white,"Gelfand, Boris",2620,win,47,A04,Almaty,2022
2534,white,"Niemann, Hans Moke",2632,lose,46,E94,Almaty,2022
2534,black,"Esipenko, Andrey",2620,lose,53,B45,Almaty,2022
2534,white,"Vallejo Pons, Francisco",2644,draw,18,D27,Almaty,2022
2534,white,"Grischuk, Alexander",2763,lose,41,A40,Almaty,2022
2534,white,"Vallejo Pons, Francisco",2682,draw,87,B46,Almaty,2022
2534,black,"Grischuk, Alexander",2759,lose,39,A07,Almaty,2022
2534,white,"Van Foreest, Jorden",2693,win,51,D30,Almaty,2022
2534,black,"Matlakov, Maxim",2671,draw,32,E10,Almaty,2022
2534,white,"Anton Guijarro, David",2640,draw,29,D39,Almaty,2022
2534,white,"Salem, A.R. Saleh",2644,draw,81,E94,Almaty,2022
2534,white,"Tomashevsky, Evgeny",2628,lose,55,C65,Almaty,2022
2534,black,"Moussard, Jules",2625,draw,22,B45,Almaty,2022
2534,black,"Gareyev, Timur",2617,lose,46,E32,Almaty,2022
2534,white,"Sarana, Alexey",2629,draw,47,A06,Almaty,2022
2645,white,"Hakobyan, Aram",2613,draw,44,A06,Saint Louis,2022
2645,black,"Theodorou, Nikolas",2598,draw,60,E04,Saint Louis,2022
2645,white,"Ganguly, Surya Shekhar",2589,win,44,C55,Saint Louis,2022
2645,black,"Nyzhnyk, Illya",2687,draw,43,E21,Saint Louis,2022
2645,white,"Vidit, Santosh Gujrathi",2724,draw,32,D41,Saint Louis,2022
2645,black,"Niemann, Hans Moke",2699,draw,45,C50,Saint Louis,2022
2645,white,"Abasov, Nijat",2646,win,14,C65,Saint Louis,2022
2645,black,"Oparin, Grigoriy",2683,draw,34,E32,Saint Louis,2022
2645,black,"Yu, Yangyi",2716,draw,41,A20,Saint Louis,2022
2634,white,"Markus, Robert",2615,win,41,,A55,2022
2634,black,"Saric, Ivan",2668,draw,75,,C43,2022
2627,white,"Berkes, Ferenc",2651,draw,33,E04,Oradea,2022
2627,white,"Deac, Bogdan-Daniel",2710,win,43,E04,Oradea,2022
2627,black,"Deac, Bogdan-Daniel",2710,draw,29,A05,Wojtaszek,2022
2627,white,"Kuzubov, Yuriy",2627,win,41,E10,Wojtaszek,2022
2627,white,"Navara, David",2681,draw,32,C65,Wojtaszek,2022
2627,black,"Korobov, Anton",2671,draw,55,A13,Wojtaszek,2022
2627,white,Santos Latasa,2680,draw,23,E10,Wojtaszek,2022
2627,black,"Grandelius, Nils",2651,lose,55,D41,Wojtaszek,2022
2627,white,"Bluebaum, Matthias",2647,draw,27,B12,Wojtaszek,2022
2627,white,"Wojtaszek, Radoslaw",2696,draw,35,C88,Wojtaszek,2022
2629,white,Gukesh D,2699,draw,45,,B31,2022
2629,black,"Kuzubov, Yuriy",2644,lose,36,,C53,2022
2629,white,"Maghsoodloo, Parham",2701,draw,36,C11,Ankara,2022
,black,"Esipenko, Andrey",,draw,34,D30,Ankara ,2022
,white,"Ivic, Velimir",,win,58,B40,Ankara ,2022
2629,white,"Vallejo Pons, Francisco",2702,draw,43,D16,Chennai,2022
2629,black,"Rodriguez Santiago, Jaime",2067,win,32,A28,Chennai,2022
2610,white,"Niemann, Hans Moke",2678,draw,32,E73,Armenia,2022
