rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2668,black,"Zeng, Chongsheng",2597,draw,16,C67,Fuling Chongqing,2022
2668,white,"Li, Di",2575,win,42,E01,Fuling Chongqing,2022
2668,black,"Wang, Hao B",2165,win,41,B18,Fuling Chongqing,2022
2668,white,"Zhao, Jun",2619,win,40,D02,Fuling Chongqing,2022
2668,black,"Li, Chao B",2679,draw,15,C67,Fuling Chongqing,2022
2668,white,"Xiao, Tong",2027,win,53,A13,Fuling Chongqing,2022
2668,white,"Wan, Yunguo",2508,lose,43,E03,Fuling Chongqing,2022
2647,white,"Wei, Yi",2718,draw,33,D41,"Fuling,Chongqing,China",2022
2668,black,"Wei, Yi",2727,draw,31,C54,Fuling Chongqing,2022
2668,black,"Xu, Minghui",2408,draw,46,D31,Fuling Chongqing,2022
2667,white,"Bu, Xiangzhi",2705,draw,37,A00,"Liaocheng, China",2021
2667,black,"Li, Chao B",2683,draw,31,A00,"Liaocheng, China",2021
2669,black,"Predke, Alexandr",2676,draw,30,C67,China,2019
2669,white,"Naiditsch, Arkadij",2617,draw,32,E04,China,2019
2669,black,"Zhou, Weiqi",2592,draw,31,D11,China,2019
2669,white,"Ma, Qun",2627,draw,23,D10,China,2019
2672,black,"Wang, Yue",2677,draw,30,C84,China,2019
2672,white,"Zhao, Jun",2641,draw,37,D30,China,2019
2668,black,"Li, Chao B",2697,draw,31,E01,China,2019
2668,white,"Lan, Zilun",2332,win,29,B10,China,2019
2668,black,"Rapport, Richard",2747,draw,41,A13,China,2019
2668,white,"Yu, Ruiyuan",2464,draw,42,B10,China,2019
2668,white,"Maghsoodloo, Parham",2656,draw,53,A80,Abu Dhabi,2019
2668,black,Socko B,2625,draw,15,C42,Abu Dhabi,2019
2668,white,"Jobava, Baadur",2584,draw,38,D17,Abu Dhabi,2019
2668,white,"Tabatabaei, M.amin",2601,win,46,E06,Abu Dhabi,2019
2668,black,"Petrosyan, Manuel",2592,draw,58,D02,Abu Dhabi,2019
2668,black,"Antipov, Mikhail Al.",2599,win,40,C65,Abu Dhabi,2019
2668,white,Senthil Maran K,2222,win,53,B30,Abu Dhabi,2019
2668,white,Srijit Paul,2304,win,22,A80,Abu Dhabi,2019
2668,black,Rajdeep Sarkar,2367,draw,53,A21,Abu Dhabi,2019
2668,white,"Cheparinov, Ivan",2666,draw,31,B30,China,2019
2668,black,"Naiditsch, Arkadij",2681,draw,34,C42,China,2019
2668,white,"Andreikin, Dmitry",2727,draw,44,C67,China,2019
2668,black,"Ma, Qun",2626,draw,23,A05,China,2019
2675,white,"Li, Yankai",2430,draw,35,E06,China,2019
2675,black,"Zhao, Jun",2621,draw,48,A21,China,2019
2675,black,"Lin, Yi",2389,draw,38,A41,China,2019
2674,white,"Wang, Yiye",2439,win,70,C11,China,2019
2674,white,"Fedoseev, Vladimir",2702,draw,30,B51,China,2019
2674,black,"Chen, Qi b",2424,win,30,B30,China,2019
2683,white,"Makhnev, Denis",2476,draw,99,C65,Astana,2019
2683,black,"Johansson, Linus",2479,win,50,E70,Astana,2019
2683,white,"Abdelnabbi, Imed",2435,win,70,C84,Astana,2019
2683,black,"Firouzja, Alireza",2657,lose,56,C42,Astana,2019
2683,white,"Lenderman, Aleksandr",2637,lose,62,E06,Astana,2019
2683,white,"Megaranto, Susanto",2512,draw,48,D15,Makati,2018
2683,white,"Maghsoodloo, Parham",2688,lose,49,E00,Makati,2018
2683,black,"Xu, Yi",2533,draw,31,C67,Makati,2018
2683,white,"Wei, Yi",2728,draw,13,C42,Makati,2018
