rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2632,black,"Ghaem Maghami, Ehsan",2596,win,46,A16,Almaty,2022
2632,white,"Sychev, Klementy",2563,draw,95,C70,Almaty,2022
2632,white,"Najer, Evgeniy",2566,win,38,D02,Almaty,2022
2632,black,"Yakubboev, Nodirbek",2560,lose,48,A15,Almaty,2022
2632,white,"Quparadze, Giga",2587,lose,113,E11,Almaty,2022
2632,black,"Sanal, Vahap",2576,lose,30,B10,Almaty,2022
2632,white,"Jumabayev, Rinat",2583,win,42,A13,Almaty,2022
2632,black,"Saraci, Nderim",2549,win,32,E68,Almaty,2022
2632,white,"Ponkratov, Pavel",2539,lose,61,A52,Almaty,2022
2632,black,"Suleymanli, Aydin",2481,win,36,E71,Almaty,2022
2632,white,"Alonso Rosell, Alvar",2514,draw,35,C72,Almaty,2022
2632,black,"Nguyen, Thai Dai Van",2534,win,46,E94,Almaty,2022
2632,white,"Cheng, Bobby",2476,win,47,C00,Almaty,2022
2632,black,"Harutyunyan, Tigran K.",2426,win,67,D70,Almaty,2022
2632,white,"Urazayev, Arystanbek",2463,lose,55,D02,Almaty,2022
2632,black,"Damjanovic, Vuk",2439,win,36,A49,Almaty,2022
2632,black,"Paravyan, David",2551,lose,48,B62,Almaty,2022
2632,white,"Petrosyan, Manuel",2560,lose,106,E40,Almaty,2022
2632,black,"Pranav, V",2440,lose,39,B31,Almaty,2022
2632,white,"Dardha, Daniel",2528,win,38,D30,Almaty,2022
2592,black,"Tin, Jingyao",2462,lose,63,E94,Almaty,2022
2592,white,"Vokhidov, Shamsiddin",2481,lose,12,A45,Almaty,2022
2592,black,"Tomashevsky, Evgeny",2628,lose,34,E11,Almaty,2022
2592,white,"Esipenko, Andrey",2694,draw,125,A20,Almaty,2022
2592,black,"Yu, Yangyi",2743,lose,34,C65,Almaty,2022
2592,white,"Maghsoodloo, Parham",2656,draw,57,E11,Almaty,2022
2592,black,"Rapport, Richard",2802,win,32,C24,Almaty,2022
2592,white,"Yoo, Christopher Woojin",2463,win,33,A50,Almaty,2022
2592,black,"Tsaruk, Maksim",2334,draw,47,B69,Almaty,2022
2592,white,"Yudin, Sergei",2454,draw,48,A13,Almaty,2022
2592,black,"Le, Tuan Minh",2442,draw,6,A50,Almaty,2022
2592,white,"Nogerbek, Kazybek",2409,win,42,A20,Almaty,2022
2592,black,"Agmanov, Zhandos",2403,draw,86,E12,Almaty,2022
2698,black,"Alekseenko, Kirill",2672,draw,51,C55,Sitges,2022
2698,black,"Gokerkan, Cem Kaan",2470,win,39,B12,Sitges,2022
2698,white,"Aravindh, Chithambaram VR.",2607,win,40,D12,Sitges,2022
2698,black,"Karthikeyan, Murali",2620,draw,52,C67,Sitges,2022
2698,white,"Petrosyan, Manuel",2621,draw,32,C67,Sitges,2022
2698,black,"Grigoryan, Karen H.",2619,draw,60,D40,Sitges,2022
2698,white,"Sanal, Vahap",2597,win,42,D02,Sitges,2022
2698,black,"Firat, Burak",2460,win,33,A05,Sitges,2022
2698,white,Wagh Suyog,2376,win,82,A20,Sitges,2022
2698,black,"Gaboyan, Susanna",2200,win,27,A04,Sitges,2022
2699,white,"Svane, Frederik",2568,draw,33,C65,Barcelona,2022
2699,black,"Dvirnyy, Danyyil",2514,draw,25,E93,Barcelona,2022
2699,white,"Tin, Jingyao",2562,lose,50,D12,Barcelona,2022
2699,black,"Bluebaum, Matthias",2651,draw,22,E10,Barcelona,2022
2699,white,"Alekseenko, Kirill",2687,draw,41,C79,Barcelona,2022
2699,black,"Yuffa, Daniil",2587,win,38,A07,Barcelona,2022
2698,white,"Kacharava, Nikolozi",2532,win,36,A20,Barcelona,2022
2699,black,"Movsziszian, Karen",2477,win,57,A00,Barcelona,2022
2699,white,"Fitzsimons, David",2368,win,51,D30,Barcelona,2022
2599,white,"Vidit, Santosh Gujrathi",2662,lose,37,A06,Jerusalem,2022
2599,black,"Yakubboev, Nodirbek",2563,draw,44,C55,Jerusalem,2022
2599,white,"Mamedyarov, Shakhriyar",2747,lose,57,C80,Jerusalem,2022
2699,white,"Ganguly, Surya Shekhar",2589,draw,60,C65,Saint Louis,2022
2699,black,"Nyzhnyk, Illya",2687,win,29,B33,Saint Louis,2022
2699,white,"Vidit, Santosh Gujrathi",2724,draw,103,E47,Saint Louis,2022
2699,black,"Oparin, Grigoriy",2683,draw,46,C65,Saint Louis,2022
2699,black,"Abasov, Nijat",2646,draw,34,E10,Saint Louis,2022
2699,white,"Nguyen, Thai Dai Van",2645,draw,45,C50,Saint Louis,2022
2699,black,"Yu, Yangyi",2716,draw,79,E21,Saint Louis,2022
2699,white,"Hakobyan, Aram",2613,draw,41,C50,Saint Louis,2022
2699,black,"Theodorou, Nikolas",2598,draw,40,E10,Saint Louis,2022
2699,white,"Liang, Awonder",2608,draw,66,C00,Saint Louis,2022
2699,black,"Sevian, Samuel",2684,win,78,D41,Saint Louis,2022
2699,white,"Lenderman, Aleksandr",2535,win,45,D11,Saint Louis,2022
2699,black,"Moradiabadi, Elshan",2534,win,38,A48,Saint Louis,2022
2699,white,"So, Wesley",2774,draw,27,C53,Saint Louis,2022
2699,black,"Aronian, Levon",2755,draw,57,C58,Saint Louis,2022
2699,black,"Swiercz, Dariusz",2652,lose,28,E00,Saint Louis,2022
2699,white,"Robson, Ray",2690,lose,35,A50,Saint Louis,2022
2699,black,"Dominguez Perez, Leinier",2747,draw,37,C67,Saint Louis,2022
2699,white,"Caruana, Fabiano",2763,lose,80,E32,Saint Louis,2022
2699,black,"Shankland, Samuel L",2712,draw,57,E32,Saint Louis,2022
2699,white,"Xiong, Jeffery",2690,draw,43,C11,Saint Louis,2022
2699,black,"Yoo, Christopher Woojin",2563,win,55,A45,Saint Louis,2022
2688,black,"Nepomniachtchi, Ian",2792,draw,54,A21,Saint Louis,2022
2688,white,"Caruana, Fabiano",2758,lose,69,A21,Saint Louis,2022
2688,black,"Vachier-Lagrave, Maxime",2757,draw,55,A07,Saint Louis,2022
2688,white,"So, Wesley",2771,lose,59,C42,Saint Louis,2022
2688,black,"Dominguez Perez, Leinier",2745,draw,47,C55,Saint Louis,2022
2688,white,"Firouzja, Alireza",2778,draw,43,C55,Saint Louis,2022
2688,black,"Carlsen, Magnus",2861,win,57,E20,Saint Louis,2022
2688,white,"Mamedyarov, Shakhriyar",2757,win,49,A28,Saint Louis,2022
2688,white,"Aronian, Levon",2759,draw,50,C67,Saint Louis,2022
2687,white,"Idani, Pouya",2641,win,46,,B51,2022
2687,black,"Kuzubov, Yuriy",2644,draw,54,,E10,2022
2687,white,"Maghsoodloo, Parham",2701,draw,98,,E10,2022
2687,black,"Kobalia, Mihail",2578,win,33,,B31,2022
2687,white,"Sanal, Vahap",2570,lose,55,,A13,2022
2688,white,"Huschenbeth, Niclas",2610,draw,82,B90,Germany,2022
2688,black,"Jones, Gawain C",2652,win,34,C45,Germany,2022
2688,black,"Grandelius, Nils",2655,draw,59,C84,Germany,2022
2688,white,"Caruana, Fabiano",2783,lose,77,C53,Germany,2022
2688,black,"Keymer, Vincent",2686,draw,61,A05,Germany,2022
2678,black,"Nguyen, Thai Dai Van",2610,draw,32,E73,Armenia,2022
2678,white,"Martirosyan, Haik M.",2656,win,60,C53,Armenia,2022
2678,black,"Donchenko, Alexander",2602,lose,31,E01,Armenia,2022
2678,white,"Petrosyan, Manuel",2638,draw,68,C55,Armenia,2022
2678,black,Nihal Sarin,2654,draw,55,B13,Armenia,2022
2678,white,"Ter-Sahakyan, Samvel",2640,lose,49,C42,Armenia,2022
2678,black,"Gharibyan, Mamikon",2487,win,42,E94,Armenia,2022
2678,white,"Tabatabaei, M. Amin",2650,draw,14,C67,Armenia,2022
2678,black,"Sargsyan, Shant",2648,draw,29,E00,Armenia,2022
2678,black,"Krzyzanowski, Marcin",2535,win,78,B10,Prague,2022
2678,white,"Michalik, Peter",2577,win,67,E10,Prague,2022
2678,white,"Hracek, Zbynek",2564,win,34,B98,Prague,2022
2678,black,"Pechac, Jergus",2598,draw,30,E56,Prague,2022
2678,white,"Sasikiran, Krishnan",2635,win,36,A20,Prague,2022
2678,black,"Keymer, Vincent",2675,draw,60,E10,Prague,2022
2678,white,"Warmerdam, Max",2613,win,48,D32,Prague,2022
2678,black,"Stocek, Jiri",2541,lose,26,E12,Prague,2022
2678,white,"Abdusattorov, Nodirbek",2661,draw,49,E49,Prague CZE,2022
2656,black,"Ponkratov, Pavel",2624,win,54,B12,Sharjah,2022
2656,white,"Salem, A.R. Saleh",2690,lose,51,D97,Sharjah,2022
2656,black,"Deac, Bogdan-Daniel",2671,draw,31,C67,Sharjah,2022
2656,white,"Muradli, Mahammad",2539,win,31,D31,Sharjah,2022
2656,black,"Ganguly, Surya Shekhar",2616,win,46,C55,Sharjah,2022
2656,white,"Moroni, Luca Jr",2581,win,57,D35,Sharjah,2022
2656,black,"Vokhidov, Shamsiddin",2536,draw,37,C67,Sharjah,2022
2656,white,"Mammadzada, Gunay",2454,win,49,B94,Sharjah,2022
2656,black,"Van Foreest, Lucas",2572,lose,32,A50,Sharjah,2022
2637,black,"Erigaisi, Arjun",2675,lose,32,A46,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,lose,47,C65,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,35,C11,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,win,62,C50,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,win,59,C11,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,win,32,D02,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,46,C11,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,lose,64,D02,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,46,D45,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,draw,55,E15,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,44,D45,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,draw,84,D02,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,42,D00,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,win,46,D02,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,65,A45,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,win,41,A20,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,98,A45,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,draw,45,C18,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,lose,42,E15,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,win,46,D00,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,lose,26,D85,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,win,28,C11,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,win,59,A45,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,win,27,A45,chess.com INT,2022
2637,black,"Erigaisi, Arjun",2675,win,30,C50,chess.com INT,2022
2637,white,"Erigaisi, Arjun",2675,lose,68,C11,chess.com INT,2022
2642,white,"Areshchenko, Alexander",2670,win,43,,B51,2022
2656,black,"Durarbayli, V.",2638,lose,69,B67,chess.com INT,2022
2642,black,"Fridman, Daniel",2628,draw,52,,E15,2022
2656,black,"Sjugirov, S.",2696,win,26,E62,chess.com INT,2022
2656,white,"Antipov, M2.",2592,win,56,A45,chess.com INT,2022
2656,black,"Shuvalova, Polina",2493,draw,75,D02,chess.com INT,2022
2656,white,"Kobalia, M.",2596,win,52,D00,chess.com INT,2022
2656,black,Yang Kaiqi,2481,lose,37,E91,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,lose,63,C77,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,60,B07,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,lose,58,C80,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,28,D00,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,draw,112,C80,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,108,A45,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,win,30,C02,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,25,D00,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,lose,13,C48,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,78,C41,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,win,53,E24,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,draw,37,B07,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,lose,51,C88,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,lose,81,B07,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,win,52,C02,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,draw,99,D00,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,lose,70,C02,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,lose,36,D00,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,34,A30,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,win,45,B09,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,lose,21,D00,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,win,44,C67,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,lose,52,D00,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,lose,49,A10,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,lose,72,B20,chess.com INT,2022
2637,black,"Shevchenko, Kirill",2652,win,40,C77,chess.com INT,2022
2637,white,"Shevchenko, Kirill",2652,win,41,B20,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,win,31,A16,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,lose,70,E17,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,draw,38,A00,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,40,A25,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,draw,37,A27,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,44,A01,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,lose,44,A00,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,lose,72,A01,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,lose,33,B08,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,35,A04,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,42,A10,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,lose,37,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,53,A10,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,win,43,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,27,C65,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,lose,43,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,draw,62,C83,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,win,36,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,lose,43,C67,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,win,54,A00,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,lose,31,B00,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,draw,59,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,win,108,C65,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,lose,25,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,draw,67,C65,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,win,32,A45,chess.com INT,2022
2637,black,"Ivic, Velimir",2625,lose,40,C11,chess.com INT,2022
2637,white,"Ivic, Velimir",2625,win,43,A05,chess.com INT,2022
2656,black,"Oganian, M.",2437,lose,65,C11,chess.com INT,2022
2656,white,"Samant, Aditya S",2433,win,66,A45,chess.com INT,2022
2656,black,"Curtis, J AUS.",2292,lose,37,B73,chess.com INT,2022
2656,black,"Dordzhieva, D.",2287,win,56,A40,chess.com INT,2022
2656,black,"Van Foreest, Jorden",2715,draw,60,C55,Malmo,2022
2656,white,"Grandelius, Nils",2635,draw,38,D70,Malmo,2022
2656,white,"Shirov, Alexei",2695,win,59,D12,Malmo,2022
2656,black,"Salem, A.R. Saleh",2690,win,43,E48,Malmo,2022
2637,white,"Erigaisi, Arjun",2675,win,68,D12,Malmo SWE,2022
2656,white,Erigaisi Arjun,2675,win,68,D12,Malmo,2022
2656,black,"Navara, David",2682,draw,40,C55,Malmo,2022
2656,white,"Adams, Michael",2698,draw,49,D36,Malmo,2022
2637,black,"Gledura, B.",2652,lose,49,E71,chess.com INT,2022
2637,white,"Dubov, Daniil",2711,lose,28,A16,chess.com INT,2022
2637,white,"Matlakov, M.",2674,draw,86,D02,chess.com INT,2022
