rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2673,black,"Deac, Bogdan-Daniel",2707,draw,30,D27,Mayrhofen,2022
2673,white,"Petkidis, Anthony",2447,win,43,E46,Mayrhofen,2022
2673,white,"Kuzubov, Yuriy",2612,draw,72,C65,Mayrhofen,2022
2673,black,"Idani, Pouya",2623,draw,35,C88,Mayrhofen,2022
2673,white,"Bogner, Sebastian",2548,draw,57,A28,Mayrhofen,2022
2673,black,"Petursson, Margeir",2447,draw,30,A20,Mayrhofen,2022
2673,black,"Kristoferitsch, Daniel",2283,win,49,E94,Mayrhofen,2022
2677,white,"Kryvoruchko, Yuriy",2669,draw,35,C67,Linares,2022
2677,white,Gukesh D,2726,draw,31,A46,Linares,2022
2677,black,"Jones, Gawain C",2623,draw,31,B10,Linares,2022
2677,white,"Martinez Fernandez, Adrian",2338,win,46,D02,Linares,2022
2677,black,Santos Latasa,2680,draw,33,C42,Linares,2022
2677,white,"Alekseenko, Kirill",2707,draw,38,C55,Linares,2022
2677,white,"Tabatabaei, M. Amin",2651,lose,28,E04,Linares,2022
2651,white,"Robson, Ray",2682,draw,30,C67,Abu Dhabi,2022
2651,black,"Vokhidov, Shamsiddin",2552,win,39,C60,Abu Dhabi,2022
2651,white,"Sethuraman, SP.",2625,draw,49,D43,Abu Dhabi,2022
2651,black,"Indjic, Aleksandar",2613,draw,45,D45,Abu Dhabi,2022
2651,white,"Davtyan, Artur",2520,win,62,E10,Abu Dhabi,2022
2651,black,"Hakobyan, Aram",2612,draw,44,B40,Abu Dhabi,2022
2651,white,"Zanan, Evgeny",2510,win,34,D94,Abu Dhabi,2022
2651,black,Samant Aditya S,2430,draw,48,C70,Abu Dhabi,2022
2651,white,"Ranaldi, Lucas",2339,win,35,E43,Abu Dhabi,2022
2651,white,"Bluebaum, Matthias",2673,win,55,A46,Chennai,2022
2651,black,"Yakubboev, Nodirbek",2620,draw,47,B10,Chennai,2022
2651,black,"Mamedov, Rauf",2656,draw,33,C07,Chennai,2022
2651,white,"Aronian, Levon",2775,draw,35,E10,Chennai,2022
2651,white,"Quesada Perez, Luis Ernesto",2549,win,52,D17,Chennai,2022
2651,black,"Melkumyan, Hrant",2634,draw,30,D32,Chennai,2022
2651,white,"Anton Guijarro, David",2667,draw,40,E47,Chennai,2022
2651,black,"Moroni, Luca Jr",2584,win,51,A48,Chennai,2022
2651,white,"Bogner, Sebastian",2545,win,27,E10,Chennai,2022
2651,white,"Sultan, Ibrahim",2108,win,62,C84,Chennai,2022
2654,black,"Ter-Sahakyan, Samvel",2640,draw,28,D30,Armenia,2022
2654,white,"Tabatabaei, M. Amin",2650,draw,30,C67,Armenia,2022
2654,black,"Nguyen, Thai Dai Van",2610,draw,50,E04,Armenia,2022
2654,white,"Donchenko, Alexander",2602,draw,18,D12,Armenia,2022
2654,white,"Niemann, Hans Moke",2678,draw,55,B13,Armenia,2022
2654,black,"Gharibyan, Mamikon",2487,draw,30,E15,Armenia,2022
2654,white,"Sargsyan, Shant",2648,draw,10,C47,Armenia,2022
2654,white,"Petrosyan, Manuel",2638,win,38,A46,Armenia,2022
2654,black,"Alekseenko, Kirill",2701,draw,31,C43,Chartres,2022
2654,white,"Neiksans, Arturs",2590,draw,54,D02,Chartres,2022
2654,white,"Hamitevici, Vladimir",2482,win,27,A00,Chartres,2022
2654,black,"Amin, Bassem",2681,draw,31,C42,Chartres,2022
2654,white,"Di Nicolantonio, Lucas",2382,win,52,B12,Chartres,2022
2654,black,"Marzolo, Cyril",2378,win,27,E10,Chartres,2022
2646,black,"Van Foreest, Lucas",2572,draw,17,D31,Sharjah,2022
2646,white,"Puranik, Abhimanyu",2608,draw,22,A32,Sharjah,2022
2646,black,"Azarov, Sergei",2588,win,39,C07,Sharjah,2022
2646,white,"Baenziger, Fabian",2430,win,39,A07,Sharjah,2022
2646,black,"Msellek, Ilyass",2411,draw,30,B12,Sharjah,2022
2646,white,"Gharibyan, Mamikon",2487,draw,72,B30,Sharjah,2022
2646,black,"Assaubayeva, Bibisara",2439,draw,25,E16,Sharjah,2022
2646,white,"Muradli, Mahammad",2539,lose,45,D30,Sharjah,2022
2646,black,"Vokhidov, Shamsiddin",2536,draw,46,B30,Sharjah,2022
2648,black,"Harikrishna, Pentala",2705,draw,40,,C78,2022
2648,white,"Mamedyarov, Shakhriyar",2771,win,71,,C53,2022
2648,white,"Batsiashvili, Nino",2463,win,52,A46,Ciutadella de Menorca,2022
2648,black,Aryan Chopra,2592,draw,33,C18,Ciutadella de Menorca,2022
2648,white,"Grigorian, Spartak",2470,win,20,A46,Ciutadella de Menorca,2022
2648,black,"Peng, Li Min",2517,draw,35,B15,Ciutadella de Menorca,2022
2648,black,"Schenderowitsch, Michael",2335,win,33,E10,Ciutadella de Menorca,2022
2648,white,"Perez Bolanos, Joel",2120,win,25,E40,Ciutadella de Menorca,2022
2648,white,Erigaisi Arjun,2675,draw,25,E32,Fagernes,2022
2648,black,"Blomqvist, Erik",2550,draw,34,C60,Fagernes,2022
2648,white,"Hillarp Persson, Tiger",2511,draw,14,A81,Fagernes,2022
2648,black,"Abdumalik, Zhansaya",2496,win,33,B33,Fagernes,2022
2648,white,"Vestby-Ellingsen, Mads",2370,win,32,A06,Fagernes,2022
2648,black,"Can, Emre",2578,lose,28,E10,Fagernes,2022
2648,white,"Schwarz, Dusan",2295,win,28,B53,Fagernes,2022
2648,black,"Brynell, Stellan",2406,draw,38,D02,Fagernes,2022
2648,white,"Ravi, Teja S.",2471,win,31,A21,Fagernes,2022
2652,black,"Sjugirov, Sanan",2680,draw,30,,C47,2022
2652,white,"Indjic, Aleksandar",2605,win,41,,A06,2022
2652,black,"Navara, David",2700,lose,60,,A28,2022
2652,white,"Maghsoodloo, Parham",2701,draw,48,,C78,2022
2652,white,"Sarana, Alexey",2685,draw,30,,B23,2022
2652,black,"Markus, Robert",2627,draw,31,,A07,2022
2652,white,"Abdusattorov, Nodirbek",2651,win,66,,A15,2022
2652,black,"Ivanisevic, Ivan",2601,draw,28,,D27,2022
2652,white,"Ivic, Velimir",2610,win,45,,B30,2022
2656,white,"Klimkowski, Jan",2350,draw,54,A01,Cannes,2022
2656,black,"Materia, Marco",2391,draw,76,E61,Cannes,2022
2656,white,"Godena, Michele",2442,draw,46,C53,Cannes,2022
2656,white,"Navrotescu, Andreea",2229,win,28,D02,Cannes,2022
2656,white,"Mathieu, Phileas",2323,draw,58,A04,Cannes,2022
2656,black,"Girel, Joseph",2394,draw,25,D39,Cannes,2022
2656,white,"Crevatin, Leo",2267,win,35,D43,Cannes,2022
2656,white,"Petrov, Martin",2542,draw,20,B23,Cappelle-La-Grande,2022
2656,black,"Bakhmatsky, Vladislav",2443,draw,21,B33,Mexico,2022
2656,white,"Vlachos, Anatole",2412,win,32,A81,Cappelle-La-Grande,2022
2656,black,"Dardha, Daniel",2541,win,40,D30,Cappelle-La-Grande,2022
2656,white,"Nguyen, Piotr",2401,win,52,B27,Cappelle-La-Grande,2022
2656,white,"Macon, Arthur",2250,draw,33,A45,Cappelle-La-Grande,2022
2705,white,"Amin, Bassem",2617,win,157,A45,Warsaw,2021
2705,black,"Kobalia, Mihail",2532,draw,17,C84,Warsaw,2021
2705,white,"Van Foreest, Jorden",2566,win,65,D02,Warsaw,2021
2705,black,"Moroni, Luca Jr",2491,win,46,A40,Warsaw,2021
2705,white,"Indjic, Aleksandar",2603,draw,56,A46,Warsaw,2021
2705,black,"Gagunashvili, Merab",2575,win,87,D02,Warsaw,2021
2705,white,"Tang, Andrew",2588,win,34,C60,Warsaw,2021
2705,black,"Cheparinov, Ivan",2594,lose,40,D43,Warsaw,2021
2705,black,"Sjugirov, Sanan",2589,win,53,C50,Warsaw,2021
2705,white,"Oparin, Grigoriy",2580,draw,36,C65,Warsaw,2021
2705,black,"Ivic, Velimir",2575,lose,35,B00,Warsaw,2021
2705,black,"Vokhidov, Shamsiddin",2613,win,53,B00,Warsaw,2021
2705,white,"Harikrishna, Pentala",2614,draw,28,C07,Warsaw,2021
