rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2658,white,"Hakobyan, Aram",2620,draw,5,E02,Chesterfield,2022
2658,black,"Burke, John M",2580,win,55,C42,Chesterfield,2022
2658,white,"Fishbein, Alexander",2389,win,58,C45,Chesterfield,2022
2658,black,"Wang, Justin",2471,draw,25,D11,Chesterfield,2022
2658,black,"Balakrishnan, Praveen",2510,lose,30,B43,Chesterfield,2022
2658,black,"Sukandar, Irine Kharisma",2399,win,37,E73,Chesterfield,2022
2687,black,"Vidit, Santosh Gujrathi",2724,lose,39,D12,Saint Louis,2022
2687,white,"Niemann, Hans Moke",2699,lose,29,B33,Saint Louis,2022
2687,black,"Abasov, Nijat",2646,draw,29,B22,Saint Louis,2022
2687,white,"Nguyen, Thai Dai Van",2645,draw,43,E21,Saint Louis,2022
2687,black,"Yu, Yangyi",2716,lose,62,C42,Saint Louis,2022
2687,white,"Hakobyan, Aram",2613,draw,45,A07,Saint Louis,2022
2687,black,"Theodorou, Nikolas",2598,draw,54,D12,Saint Louis,2022
2687,white,"Ganguly, Surya Shekhar",2589,win,41,C53,Saint Louis,2022
2687,white,"Oparin, Grigoriy",2683,draw,31,A21,Saint Louis,2022
2687,white,"Kadric, Denis",2561,draw,39,C43,Los Angeles,2022
2687,black,"Park, Evan",2364,win,52,B90,Los Angeles,2022
2687,white,"Stremavicius, Titas",2515,lose,49,A13,Los Angeles,2022
2687,white,"Ostrovskiy, Aleksandr",2371,win,48,A28,Los Angeles,2022
2687,black,"Woodward, Andy",2454,lose,60,D20,Los Angeles,2022
2687,white,"Druska, Juraj",2515,draw,19,D20,Los Angeles,2022
2687,black,"Cordova, Emilio",2554,draw,10,A06,Los Angeles,2022
2687,white,"Chasin, Nico",2429,win,26,E51,Los Angeles,2022
2687,black,"Ozenir, Ekin Baris",2343,win,51,A06,Los Angeles,2022
2686,white,"Proleiko, Julian",2238,win,32,A05,Saint Louis,2022
2686,black,"Sethuraman, Sandeep",2305,win,43,A53,Saint Louis,2022
2686,white,"Tokhirjonova, Gulrukhbegim",2329,win,41,A45,Saint Louis,2022
2686,black,"Wang, Tianqi",2402,win,77,B23,Saint Louis,2022
2686,white,"Kozelov, Roman",2104,win,17,D07,Saint Louis,2022
2686,black,"Cervantes Landeiro, Thalia",2234,win,38,A53,Saint Louis,2022
2686,black,"Altman, Joshua",2162,win,52,E61,Saint Louis,2022
2686,white,"Wang, Tianqi",2402,win,29,E04,Saint Louis,2022
2686,white,"Stefanov, Emil",2342,win,29,E04,Saint Louis,2022
2686,black,"Williams, Justus",2390,win,34,A06,Saint Louis,2022
2692,black,"Cordova, Emilio",2549,draw,12,A05,Las Vegas,2022
2692,white,"Siddarth, M",2159,win,57,A16,Las Vegas,2022
2692,white,"Siddarth, M",2159,win,57,A16,Las Vegas,2022
2692,black,"Khanin, Semen",2517,draw,12,B10,Las Vegas,2022
2692,white,"Oberoi, Shelev",2176,win,90,D26,Las Vegas,2022
2692,black,"Maiti, Milind",2310,win,30,D20,Las Vegas,2022
2692,white,"Ngo, Bach",2327,draw,18,A18,Las Vegas,2022
2692,black,"Altucher, James",1817,win,29,B23,Las Vegas,2022
2692,white,"Tang, Zoey",2098,win,78,A48,Las Vegas,2022
2694,white,"Akobian, Varuzhan",2634,lose,29,D32,Saint Louis,2022
2694,black,"Burke, John M",2573,lose,30,B12,Saint Louis,2022
2674,black,"Robson, Ray",2676,draw,36,C43,,2022
2658,white,"Sevian, Samuel",2586,lose,94,A28,,2022
2674,white,"Hakobyan, Aram",2601,win,33,A06,,2022
2674,black,"Swiercz, Dariusz",2656,draw,37,D11,,2022
2674,white,"Antipov, Mikhail Al.",2615,draw,56,A05,,2022
2674,black,"Xiong, Jeffery",2686,win,34,B90,,2022
2674,white,"Dragun, Kamil",2586,win,44,A21,,2022
2674,black,"Lenderman, Aleksandr",2600,draw,42,D20,,2022
2674,white,"Niemann, Hans Moke",2642,draw,58,A28,,2022
2674,white,"Sevian, Samuel",2684,draw,40,A22,,2022
2670,white,"Williams, Justus",2420,win,26,D30,Clayton,2021
2670,black,"Martinez Alcantara, Jose Eduardo",2620,draw,51,C42,Clayton,2021
2670,white,"Jacobson, Brandon",2492,win,51,E10,Clayton,2021
2670,black,"Mardov, Dimitar",2373,win,36,A49,Clayton,2021
2670,white,"Gledura, Benjamin",2628,draw,14,A30,Clayton,2021
2670,black,"Quesada Perez, Yuniesky",2593,draw,12,C43,Clayton,2021
2670,white,"Yoo, Christopher Woojin",2485,draw,17,E38,Clayton,2021
2670,black,"Ostrovsky, Alexander",2300,win,38,B11,Clayton,2021
2670,white,"Chen, Jonathan",2302,win,28,A46,Clayton,2021
2679,black,"Niemann, Hans Moke",2567,win,30,E73,Las Vegas,2021
2679,white,"Sorokin, Aleksey",2521,draw,62,D70,Las Vegas,2021
2679,black,"Hong, Andrew",2453,draw,21,B39,Las Vegas,2021
2679,white,"Matviishen, Viktor",2512,win,46,D10,Las Vegas,2021
2679,white,"Katz, Alexander",2398,win,33,A15,Las Vegas,2021
2679,black,"Kumar, Nikhil",2305,win,43,E73,Las Vegas,2021
2679,white,"Griffith, Kyron",2351,draw,68,A15,Las Vegas,2021
2679,black,"Matta, Nicholas",2253,win,38,D26,Las Vegas,2021
2657,black,"Le, Quang Liem",2713,lose,54,C42,Philadelphia,2019
2657,black,"Xiong, Jeffery",2713,draw,47,C10,Philadelphia,2019
2644,white,"Shimanov, Aleksandr",2614,draw,27,A05,Chicago,2019
2638,black,"Akobian, Varuzhan",2625,draw,24,D47,Saint Louis,2019
2638,white,"Le, Quang Liem",2715,draw,32,E63,Saint Louis,2019
2638,black,"Hansen, Eric",2612,win,58,C42,Saint Louis,2019
2638,white,"Tari, Aryan",2613,draw,56,A30,Saint Louis,2019
2638,black,"Bok, Benjamin",2638,draw,33,D13,Saint Louis,2019
2638,white,"Ivanchuk, Vassily",2698,draw,51,A30,Saint Louis,2019
2638,white,"Kasimdzhanov, Rustam",2663,draw,34,A45,Saint Louis,2019
2638,black,"Robson, Ray",2667,win,38,C43,Saint Louis,2019
2638,white,"Xiong, Jeffery",2663,draw,39,A30,Saint Louis,2019
2624,white,"Iturrizaga Bonelli, Eduardo",2637,win,45,A48,chess.com INT,2019
2624,white,"Miellier, Yan",2118,win,44,D10,chess.com INT,2019
2624,black,"Katz, Alexander R",2433,win,45,B15,chess.com INT,2019
