rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2683,black,"Schitco, Ivan",2532,draw,14,E06,Charlotte,2022
2683,white,"Beradze, Irakli",2494,win,42,D46,Charlotte,2022
2683,black,Rahul Srivatshav P,2498,draw,34,A50,Charlotte,2022
2683,white,"Balakrishnan, Praveen",2510,draw,37,E10,Charlotte,2022
2683,black,"Druska, Juraj",2511,draw,4,C47,Charlotte,2022
2683,white,"Chandra, Akshat",2472,win,37,D41,Charlotte,2022
2683,black,Raja Harshit,2461,draw,15,C67,Charlotte,2022
2683,white,"Sethuraman, Sandeep",2371,win,27,A07,Charlotte,2022
2683,black,"Zhao, Erick",2243,win,37,C91,,2022
2683,black,"Yu, Yangyi",2716,lose,41,C65,Saint Louis,2022
2683,white,"Vidit, Santosh Gujrathi",2724,lose,47,E32,Saint Louis,2022
2683,black,"Hakobyan, Aram",2613,lose,48,C45,Saint Louis,2022
2683,white,"Niemann, Hans Moke",2699,draw,46,C65,Saint Louis,2022
2683,black,"Theodorou, Nikolas",2598,win,69,E04,Saint Louis,2022
2683,white,"Abasov, Nijat",2646,win,41,D47,Saint Louis,2022
2683,black,"Ganguly, Surya Shekhar",2589,draw,41,D40,Saint Louis,2022
2683,white,"Nguyen, Thai Dai Van",2645,draw,34,E32,Saint Louis,2022
2683,black,"Nyzhnyk, Illya",2687,draw,31,A21,Saint Louis,2022
2685,black,"Gledura, Benjamin",2644,win,51,A16,Saint Louis,2022
2685,white,"Bjerre, Jonas Buhl",2610,win,45,E24,Saint Louis,2022
2685,black,"Hakobyan, Aram",2615,draw,55,E21,Saint Louis,2022
2685,white,"Mishra, Abhimanyu",2535,draw,41,D43,Saint Louis,2022
2685,black,"Sevian, Samuel",2703,draw,40,A16,Saint Louis,2022
2685,white,"Theodorou, Nikolas",2567,draw,44,C55,Saint Louis,2022
2685,black,"Smirin, Ilia",2603,draw,90,C65,Saint Louis,2022
2685,white,"Yu, Yangyi",2710,lose,37,D18,Saint Louis,2022
2685,white,"Robson, Ray",2684,draw,34,E10,Saint Louis,2022
2665,black,"Kevlishvili, Robby",2584,lose,64,C95,Saint Louis,2022
2665,black,"Shankland, Samuel L",2618,lose,29,E10,Saint Louis,2022
2665,white,"So, Wesley",2814,draw,53,E10,Saint Louis,2022
2665,white,"Xiong, Jeffery",2727,draw,27,D30,Saint Louis,2022
2665,white,"Aronian, Levon",2773,lose,48,A07,Saint Louis,2022
2674,white,"Aronian, Levon",2785,win,31,E04,Berlin,2022
2674,black,"Nakamura, Hikaru",2750,lose,57,E36,Berlin,2022
2674,white,"Esipenko, Andrey",2723,win,60,E48,Berlin,2022
2674,white,"Nakamura, Hikaru",2750,draw,33,E73,Berlin,2022
2674,black,"Aronian, Levon",2785,draw,40,C55,Berlin,2022
2674,black,"Esipenko, Andrey",2723,draw,56,E10,Berlin,2022
2634,black,"Faizrakhmanov, Ramil",2482,draw,31,E11,Kazan,2022
2634,white,"Gunina, Valentina",2510,win,72,A07,Kazan,2022
2634,white,"Dreev, Alexey",2589,draw,44,A06,Kazan,2022
2634,white,"Rublevsky, Sergei",2661,draw,35,A07,Kazan,2022
2634,black,"Sarana, Alexey",2667,win,49,D31,Kazan,2022
2634,black,"Matlakov, Maxim",2650,lose,51,E10,Kazan,2022
2580,black,"Fedoseev, Vladimir",2690,draw,67,C65,Warsaw,2021
2580,white,"Duda, Jan Krzysztof",2792,lose,87,A05,Warsaw,2021
2580,black,"Ter-Sahakyan, Samvel",2565,win,69,C67,Warsaw,2021
2580,white,Gukesh D,2506,win,63,A07,Warsaw,2021
2580,black,"Svane, Rasmus",2643,win,49,A05,Warsaw,2021
