rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2646,white,"Korobov, Anton",2662,win,47,A07,,2022
2640,black,"Quispe Arteaga, Gabriel",2373,draw,65,A50,Linares,2022
2640,white,"Laiz Ibanez, Hector",2327,win,26,B90,Linares,2022
2640,black,"Ushenina, Anna",2439,draw,20,E32,Linares,2022
2640,white,"Almagro Llamas, Pablo",2407,draw,40,B90,Linares,2022
2640,black,"Alonso Moyano, Jonathan",2348,win,44,A45,Linares,2022
2636,black,"Teclaf, Pawel",2542,draw,20,B11,Terme Catez,2022
2636,black,"Suleymanli, Aydin",2525,draw,25,E01,Terme Catez,2022
2636,black,"Stocek, Jiri",2555,draw,15,A50,Terme Catez,2022
2636,white,"Demuth, Adrien",2496,win,41,A20,Terme Catez,2022
2633,black,"Vetoshko, Volodymyr",2525,draw,35,B12,Barcelona,2021
2633,black,Sankalp Gupta,2468,draw,29,C95,Barcelona,2021
2633,white,"Krzyzanowski, Marcin",2510,draw,69,B23,Barcelona,2021
2633,white,"Muradli, Mahammad",2501,draw,38,B90,Barcelona,2021
2633,black,"Movsziszian, Karen",2457,win,35,A00,Barcelona,2021
2633,white,"Heinemann, Josefine",2336,win,39,B92,Barcelona,2021
2703,white,"Ter-Sahakyan, Samvel",2551,lose,47,B90,Riga,2021
2703,white,"Rakotomaharo, Fy Antenaina",2391,win,42,C78,Riga,2021
2703,black,"Rakotomaharo, Fy Antenaina",2391,lose,43,C02,Riga,2021
2703,black,"Dreev, Alexey",2633,lose,26,D10,Riga,2021
2703,white,"Dreev, Alexey",2633,lose,58,B12,Riga,2021
2703,white,"Oparin, Grigoriy",2604,draw,78,C81,Riga,2021
2703,black,"Oparin, Grigoriy",2604,lose,56,A07,Riga,2021
2703,black,"Kuzubov, Yuriy",2592,draw,45,D17,Riga,2021
2703,white,"Kuzubov, Yuriy",2592,win,34,C42,Riga,2021
2703,white,"Chigaev, Maksim",2610,lose,46,B51,Riga,2021
2703,black,"Chigaev, Maksim",2610,win,45,C55,Riga,2021
2703,black,"Henriquez Villagra, Cristobal",2583,win,81,D00,Riga,2021
2703,white,"Henriquez Villagra, Cristobal",2583,lose,32,B12,Riga,2021
2703,white,"Firat, Burak",2531,draw,42,B90,Riga,2021
2703,black,"Firat, Burak",2531,win,58,C91,Riga,2021
2703,black,"Abasov, Nijat",2522,lose,61,D02,Riga,2021
2703,white,"Abasov, Nijat",2522,win,60,B40,Riga,2021
2631,white,"Jobava, Baadur",2582,win,34,D11,Riga,2021
2631,black,"Van Foreest, Jorden",2691,lose,42,C55,Riga,2021
2631,white,"Indjic, Aleksandar",2612,draw,40,C70,Riga,2021
2631,black,"Kuybokarov, Temur",2549,draw,56,C85,Riga,2021
2631,white,"Howell, David",2658,lose,76,C65,Riga,2021
2631,black,"Artemiev, Vladislav",2699,draw,25,B14,Riga,2021
2631,white,"Sjugirov, Sanan",2663,draw,49,B12,Riga,2021
2631,black,"Predke, Alexandr",2666,draw,30,D11,Riga,2021
2631,white,"Korobov, Anton",2690,draw,36,B51,Riga,2021
2631,black,"Eljanov, Pavel",2691,win,38,A07,Riga,2021
2631,white,"Fedoseev, Vladimir",2704,draw,35,B53,Riga,2021
2631,black,"Anand, Viswanathan",2753,draw,30,C65,Berlin,2021
2631,black,"Bartel, Mateusz",2597,lose,38,C84,Berlin,2021
2631,white,"Keymer, Vincent",2591,draw,34,B10,Dortmund,2021
2631,black,"Heimann, Andreas",2599,draw,37,C88,Dortmund,2021
2631,white,"Kasimdzhanov, Rustam",2662,draw,53,C49,Dortmund,2021
2631,black,"Eljanov, Pavel",2671,draw,38,C84,Dortmund,2021
2631,white,"Kollars, Dmitrij",2607,draw,34,C55,Dortmund,2021
2631,black,"Kamsky, Gata",2658,draw,32,C67,Dortmund,2021
2631,black,"Fridman, Daniel",2608,draw,22,D02,Dortmund,2021
2631,white,"Bartel, Mateusz",2626,draw,43,C55,Dortmund,2021
2631,black,"Meier, Georg",2628,draw,30,C69,Dortmund,2021
2634,white,"Nikolic, Predrag",2571,draw,25,C00,Germany,2020
2634,black,"Hausrath, Daniel",2477,draw,41,A05,Germany,2020
2634,black,"Efimenko, Zahar",2606,draw,20,A07,Germany,2019
2634,white,"Laznicka, Viktor",2648,draw,35,D11,Germany,2019
2686,white,"Cyfka, Karina",2304,draw,34,A16,Salamanca,2019
2686,black,"Santos Ruiz, Miguel",2379,draw,50,A16,Salamanca,2019
2686,black,"Topalov, Veselin",2765,draw,39,A16,Salamanca,2019
2686,white,"Iturrizaga Bonelli, Eduardo",2596,draw,35,E11,Salamanca,2019
2686,black,"Milliet, Sophie",2393,win,46,B31,Salamanca,2019
2686,white,"Vega Gutierrez, Sabrina",2230,win,41,A25,Salamanca,2019
2686,black,"Hou, Yifan",2607,draw,55,C65,Salamanca,2019
2648,white,"Maze, Sebastien",2541,draw,23,A16,Germany,2019
2648,white,"Efimenko, Zahar",2601,draw,36,A21,Budva,2019
2648,black,"Mamedyarov, Shakhriyar",2772,lose,50,E21,Budva,2019
2648,white,"Dominguez Perez, Leinier",2762,draw,31,E06,Budva,2019
2648,black,"Dreev, Alexey",2671,draw,9,D13,Budva,2019
2648,white,"Edouard, Romain",2635,lose,38,B62,Budva,2019
2675,black,"Christiansen, Johan-Sebastian",2558,draw,21,C16,Douglas,2019
2675,white,"Lu, Shanglei",2602,lose,45,B52,Douglas,2019
2675,black,"Huschenbeth, Niclas",2624,draw,26,B69,Douglas,2019
2675,black,"Paravyan, David",2602,lose,65,B90,Douglas,2019
2675,white,"Van Foreest, Jorden",2621,draw,59,B90,Douglas,2019
2675,black,"Hovhannisyan, Robert",2639,lose,73,B12,Douglas,2019
2675,white,"Najer, Evgeniy",2635,draw,57,C77,Douglas,2019
2675,white,"Jobava, Baadur",2617,win,32,B19,Douglas,2019
2675,black,"Efimenko, Zahar",2604,draw,38,C67,Douglas,2019
2675,white,"Yilmaz, Mustafa",2595,draw,30,E46,Douglas,2019
2675,black,"Hess, Robert",2581,draw,82,A16,Douglas,2019
2675,white,"Abasov, Nijat",2632,draw,27,E17,Linares,2019
2675,black,"Peralta, Fernando",2566,draw,27,D19,Linares,2019
2675,white,"Naiditsch, Arkadij",2643,draw,59,D41,Linares,2019
2675,black,"Ganguly, Surya Shekhar",2658,draw,31,B13,Linares,2019
2675,white,"Moreno Ruiz, Javier",2478,win,42,C84,Linares,2019
2675,black,"Predke, Alexandr",2657,draw,40,D11,Linares,2019
2675,black,"Esipenko, Andrey",2624,draw,30,E68,Khanty-Mansiysk,2019
2675,white,"Esipenko, Andrey",2624,lose,55,B19,Khanty-Mansiysk,2019
2681,white,"Bu, Xiangzhi",2671,win,65,C24,Hengshui ,2019
2681,white,"Bu, Xiangzhi",2671,win,65,C24,Hengshui ,2019
2681,black,"Bu, Xiangzhi",2671,draw,57,A05,Hengshui ,2019
2681,black,"Rapport, Richard",2674,draw,58,A01,Hengshui ,2019
2681,white,"Rapport, Richard",2674,win,59,B07,Hengshui ,2019
2681,black,"Le, Quang Liem",2699,win,29,B12,Hengshui ,2019
2681,white,"Le, Quang Liem",2699,draw,38,B33,Hengshui ,2019
2681,white,"Cheparinov, Ivan",2695,win,54,C50,Hengshui ,2019
2681,black,"Cheparinov, Ivan",2695,lose,46,E10,Hengshui ,2019
2681,black,"Mamedov, Rauf",2730,draw,17,B11,Hengshui ,2019
2681,white,"Mamedov, Rauf",2730,draw,39,B36,Hengshui ,2019
2681,white,"Fedoseev, Vladimir",2684,lose,32,B90,Hengshui ,2019
2681,black,"Fedoseev, Vladimir",2684,draw,57,B67,Hengshui ,2019
2681,black,"Jones, Gawain C",2687,win,67,C21,Hengshui ,2019
2681,white,"Jones, Gawain C",2687,draw,32,C24,Hengshui ,2019
2681,white,"Vidit, Santosh Gujrathi",2715,lose,47,B90,Hengshui ,2019
2681,black,"Vidit, Santosh Gujrathi",2715,lose,26,D70,Hengshui ,2019
2681,white,"Gelfand, Boris",2706,draw,41,B33,Hengshui ,2019
2681,black,"Gelfand, Boris",2706,draw,43,A48,Hengshui ,2019
2681,black,"Yu, Yangyi",2724,draw,55,B12,Hengshui ,2019
2681,white,"Yu, Yangyi",2724,draw,81,C24,Hengshui ,2019
2681,black,"Leko, Peter",2721,lose,35,B12,Hengshui ,2019
2681,white,"Leko, Peter",2721,win,48,C65,Hengshui ,2019
2682,black,"Leko, Peter",2702,draw,69,B12,Hengshui,2019
2682,white,"Wang, Hao",2795,lose,59,B90,Hengshui,2019
2682,black,"Dominguez Perez, Leinier",2752,lose,27,C11,Hengshui,2019
2682,white,"Vidit, Santosh Gujrathi",2664,draw,44,C42,Hengshui,2019
2682,black,"Le, Quang Liem",2706,draw,55,A16,Hengshui,2019
2682,black,"Fedoseev, Vladimir",2718,draw,41,C07,Hengshui,2019
2682,white,"Gelfand, Boris",2719,draw,33,C42,Hengshui,2019
2682,black,"Mamedov, Rauf",2667,win,55,C44,Hengshui,2019
2682,white,"Yu, Yangyi",2784,draw,24,C15,Hengshui,2019
2682,black,"Rapport, Richard",2739,draw,59,B12,Hengshui,2019
2682,white,"Korobov, Anton",2756,draw,41,B90,Hengshui,2019
2673,black,"Fressinet, Laurent",2639,draw,20,B07,Germany,2019
2673,white,"Beerdsen, Thomas",2483,win,26,A04,Germany,2019
2667,black,"Esipenko, Andrey",2603,draw,10,A46,Skopje,2019
2667,white,"Lupulescu, Constantin",2611,draw,19,C11,Skopje,2019
2667,black,"Postny, Evgeny",2619,win,38,E10,Skopje,2019
2667,white,"Meshkovs, Nikita",2568,win,46,C80,Skopje,2019
2667,black,"Djukic, Nikola",2572,draw,39,B33,Skopje,2019
2667,white,"Maze, Sebastien",2578,draw,24,B33,Skopje,2019
2667,black,"Ter-Sahakyan, Samvel",2590,draw,31,B12,Skopje,2019
2667,white,"Blagojevic, Dragisa",2498,win,27,C87,Skopje,2019
2667,black,"Grigoriants, Sergey",2543,draw,15,D25,Skopje,2019
2667,black,"Radovanovic, Nikola",2426,draw,37,A58,Skopje,2019
2667,white,"Gajewski, Grzegorz",2612,draw,91,E10,Germany,2019
2667,white,"Donchenko, Alexander",2593,draw,21,A61,Germany,2019
2667,black,"Rapport, Richard",2738,draw,49,A30,Germany,2019
2667,black,"Meinhardt, Maximilian",2376,win,34,B25,Germany,2019
2665,black,"Khenkin, Igor",2543,draw,20,D58,Germany,2019
2665,white,"Huschenbeth, Niclas",2592,win,45,D41,Germany,2019
2664,black,"Matlakov, Maxim",2700,draw,41,A06,Czech Republic,2019
2663,white,"Kuzubov, Yuriy",2655,draw,19,E04,Kyiv,2018
2663,black,"Golubka, Petro",2464,draw,45,B06,Kyiv,2018
2663,white,"Bogdanovich, Stanislav",2537,win,26,B29,Kyiv,2018
2663,black,"Bernadskiy, Vitaliy",2547,win,34,C88,Kyiv,2018
2663,white,"Kravtsiv, Martyn",2644,draw,26,E20,Kyiv,2018
2663,black,"Baklan, Vladimir",2608,draw,40,B31,Kyiv,2018
2663,black,"Korobov, Anton",2698,lose,35,D20,Kyiv,2018
2663,white,"Kovchan, Alexander",2575,draw,18,B92,Kyiv,2018
2663,black,"Moiseenko, Alexander",2640,draw,13,A41,Kyiv,2018
2663,white,"Vitiugov, Nikita",2719,win,45,D11,Czech Republic,2018
2663,black,"Nguyen, Thai Dai Van",2536,draw,18,C87,Czech Republic,2018
2681,black,"Michalik, Peter",2556,lose,90,E00,Batumi,2018
2681,white,"Mamedov, Rauf",2699,draw,25,D00,Batumi,2018
2681,white,"Draskovic, Luka",2449,lose,23,B52,Batumi,2018
2681,black,"Fressinet, Laurent",2649,draw,94,B56,Batumi,2018
2681,white,"Bu, Xiangzhi",2712,draw,42,C42,Batumi,2018
2681,black,"Vazquez Igarza, Renier",2573,draw,31,A06,Batumi,2018
2681,white,"Deac, Bogdan-Daniel",2594,draw,47,E46,Batumi,2018
2681,black,"Yakubboev, Nodirbek",2521,draw,73,A00,Batumi,2018
2681,black,"Simutowe, Musatwe",2208,win,54,B40,Batumi,2018
2686,white,"Antipov, Mikhail Al.",2598,draw,25,A50,Linares,2018
2686,black,"Volkov, Sergey",2557,draw,31,D20,Linares,2018
2686,black,"Saric, Ivan",2690,draw,32,C65,Linares,2018
2686,white,"Rodshtein, Maxim",2678,draw,30,C50,Linares,2018
2686,black,"Adhiban, Baskaran",2671,draw,35,A56,Linares,2018
2686,white,"Meier, Georg",2638,draw,30,C24,Linares,2018
2686,black,"Baklan, Vladimir",2596,draw,52,C72,Linares,2018
2686,black,"Hou, Yifan",2658,draw,64,C00,Shenzhen,2018
