rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2684,white,"Giri, Anish",2764,draw,47,C55,Wijk aan Zee,2023
2684,black,"Ding, Liren",2811,win,73,C50,Wijk aan Zee,2023
2684,white,"Keymer, Vincent",2696,draw,78,E32,Wijk aan Zee,2023
2684,black,"Aronian, Levon",2735,draw,32,C80,Wijk aan Zee,2023
2684,white,Erigaisi Arjun,2722,draw,40,D86,Wijk aan Zee,2023
2599,black,"Nakamura, Hikaru",2909,lose,28,A20,Calcutta,2022
2599,white,Gukesh D,2632,win,69,A07,Calcutta,2022
2599,black,"Vidit, Santosh Gujrathi",2669,lose,48,C78,Calcutta,2022
2599,white,"Abdusattorov, Nodirbek",2666,draw,53,A07,Calcutta,2022
2599,black,"Nihal, Sarin",2702,win,58,A46,Calcutta,2022
2599,white,Erigaisi Arjun,2750,draw,46,A04,Calcutta,2022
2599,black,"Maghsoodloo, Parham",2672,win,22,A28,Calcutta,2022
2599,white,"Mamedyarov, Shakhriyar",2733,draw,59,A05,Calcutta,2022
2599,black,"So, Wesley",2763,lose,36,A01,Calcutta,2022
2599,white,"Nakamura, Hikaru",2909,lose,41,A07,Calcutta,2022
2599,black,Gukesh D,2632,lose,43,E68,Calcutta,2022
2599,white,"Vidit, Santosh Gujrathi",2669,win,45,A05,Calcutta,2022
2599,black,"Abdusattorov, Nodirbek",2666,win,57,C78,Calcutta,2022
2599,white,"Nihal, Sarin",2702,lose,44,A05,Calcutta,2022
2599,black,Erigaisi Arjun,2750,lose,48,E20,Calcutta,2022
2599,white,"Maghsoodloo, Parham",2672,win,38,A07,Calcutta,2022
2599,black,"Mamedyarov, Shakhriyar",2733,lose,56,E11,Calcutta,2022
2599,white,"So, Wesley",2763,win,37,A04,Calcutta,2022
2687,black,"Johansson, Linus",2461,win,65,E50,Fagernes,2022
2687,white,"Sethuraman, SP.",2645,lose,123,D11,Fagernes,2022
2687,white,"Andersen, Mads",2604,draw,46,D27,Fagernes,2022
2687,black,"Puranik, Abhimanyu",2603,draw,29,B30,Fagernes,2022
2687,white,"Abdrlauf, Elham",2495,draw,45,B12,Fagernes,2022
2687,black,"Kaasen, Tor Fredrik",2445,win,36,B52,Fagernes,2022
2687,white,"Kvaloy, Aksel Bu",2278,win,40,E27,Fagernes,2022
2687,black,"Welling, Gerard",2272,win,35,A06,Fagernes,2022
2687,white,"Cherniaiev, Tykhon",2239,draw,95,A05,Fagernes,2022
2661,black,"Aravindh, Chithambaram VR.",2614,draw,38,D05,Dubai,2022
2661,white,"Predke, Alexandr",2692,draw,30,E10,Dubai,2022
