rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2740,black,Gukesh D,2725,draw,47,D91,Wijk aan Zee,2023
2740,white,"Caruana, Fabiano",2766,draw,36,A13,Wijk aan Zee,2023
2740,white,"So, Wesley",2760,draw,25,A34,Wijk aan Zee,2023
2740,black,"Van Foreest, Jorden",2681,draw,55,C42,Wijk aan Zee,2023
2740,white,"Abdusattorov, Nodirbek",2713,lose,48,C29,Wijk aan Zee,2023
2654,white,"Artemiev, Vladislav",2803,win,35,C24,Almaty,2022
2654,black,"Dubov, Daniil",2792,draw,14,A40,Almaty,2022
2654,white,"Nihal, Sarin",2702,win,35,B00,Almaty,2022
2654,black,"Fedoseev, Vladimir",2733,draw,41,A04,Almaty,2022
2654,white,"Lazavik, Denis",2484,draw,92,C24,Almaty,2022
2654,black,"Anton Guijarro, David",2585,draw,32,A04,Almaty,2022
2654,white,"Dardha, Daniel",2528,draw,45,C24,Almaty,2022
2654,black,"Carlsen, Magnus",2830,lose,71,C18,Almaty,2022
2654,white,"Nakamura, Hikaru",2909,draw,13,C67,Almaty,2022
2654,white,"Mamedyarov, Shakhriyar",2733,win,34,C24,Almaty,2022
2654,black,"Giri, Anish",2792,draw,20,A04,Almaty,2022
2654,white,"Mamedov, Rauf",2649,win,34,B31,Almaty,2022
2654,black,"Durarbayli, Vasif",2576,win,66,B72,Almaty,2022
2654,white,"Ansat, Aldiyar",2302,win,55,B30,Almaty,2022
2654,black,"Moiseenko, Alexander",2577,win,38,A56,Almaty,2022
2654,white,"Sanal, Vahap",2576,draw,32,C53,Almaty,2022
2654,black,"Tin, Jingyao",2462,lose,28,A40,Almaty,2022
2654,white,"Paravyan, David",2551,win,32,C42,Almaty,2022
2654,black,"Petrosyan, Manuel",2560,draw,41,A46,Almaty,2022
2654,white,"Sychev, Klementy",2563,draw,79,C59,Almaty,2022
2654,black,"Cheng, Bobby",2476,win,46,A56,Almaty,2022
2802,black,"Murzin, Volodar",2534,win,27,C00,Almaty,2022
2802,white,"Dubov, Daniil",2712,draw,55,B40,Almaty,2022
2802,black,"Gareyev, Timur",2617,win,41,A40,Almaty,2022
2802,white,"Maze, Sebastien",2574,win,30,B31,Almaty,2022
2802,white,"Yakubboev, Nodirbek",2573,draw,46,C24,Almaty,2022
2802,black,"Ter-Sahakyan, Samvel",2531,win,51,B72,Almaty,2022
2802,white,"Niemann, Hans Moke",2592,lose,32,C24,Almaty,2022
2802,black,"Donchenko, Alexander",2597,draw,74,D70,Almaty,2022
2802,white,"Ponkratov, Pavel",2569,win,30,C00,Almaty,2022
2802,black,Erigaisi Arjun,2628,lose,50,E20,Almaty,2022
2802,white,"Aravindh, Chithambaram VR.",2576,win,43,C24,Almaty,2022
2802,black,"Sjugirov, Sanan",2584,draw,93,A61,Almaty,2022
2802,white,"Vakhidov, Jakhongir",2529,win,74,B30,Almaty,2022
2654,black,"Mamedov, Rauf",2649,lose,34,A05,Baku,2022
2654,white,"Abdusattorov, Nodirbek",2666,win,37,C59,Baku,2022
2654,black,"Shankland, Samuel L",2612,lose,34,E32,Baku,2022
2654,white,"Wang, Hao",2628,win,70,B52,Baku,2022
2654,black,"Gadimbayli, Abdulla",2399,win,49,B72,Baku,2022
2654,white,"Mamedyarov, Shakhriyar",2733,win,30,C24,Baku,2022
2654,black,"Suleymanli, Aydin",2481,lose,75,A56,Baku,2022
2654,white,"Vallejo Pons, Francisco",2644,win,46,C02,Baku,2022
2654,black,Gukesh D,2632,win,41,A56,Baku,2022
2654,white,"Mamedov, Rauf",2649,win,48,B52,Baku,2022
2654,black,"Abdusattorov, Nodirbek",2666,win,67,B50,Baku,2022
2654,white,"Shankland, Samuel L",2612,lose,55,C01,Baku,2022
2654,black,"Wang, Hao",2628,lose,40,B72,Baku,2022
2654,white,"Gadimbayli, Abdulla",2399,win,24,C01,Baku,2022
2654,black,"Mamedyarov, Shakhriyar",2733,lose,47,A61,Baku,2022
2654,white,"Suleymanli, Aydin",2481,win,31,B11,Baku,2022
2654,black,"Vallejo Pons, Francisco",2644,win,81,B23,Baku,2022
2654,white,Gukesh D,2632,win,50,B11,Baku,2022
2802,white,"Mamedov, Rauf",2578,lose,40,B52,Baku,2022
2802,black,"Abdusattorov, Nodirbek",2676,draw,57,C02,Baku,2022
2802,white,"Shankland, Samuel L",2657,win,62,B52,Baku,2022
2802,black,"Wang, Hao",2721,draw,33,C09,Baku,2022
2802,white,"Gadimbayli, Abdulla",2399,draw,78,C00,Baku,2022
2802,black,"Mamedyarov, Shakhriyar",2746,draw,37,A61,Baku,2022
2802,white,"Suleymanli, Aydin",2448,win,45,C55,Baku,2022
2802,black,"Vallejo Pons, Francisco",2682,lose,69,C18,Baku,2022
2802,white,Gukesh D,2632,lose,47,B11,Baku,2022
2754,black,"Saric, Ivan",2668,draw,35,C65,Mayrhofen,2022
2754,black,Santos Latasa,2677,draw,35,C18,Mayrhofen,2022
2754,white,"Vidit, Santosh Gujrathi",2710,lose,57,C67,Mayrhofen,2022
2754,black,"Kryvoruchko, Yuriy",2658,draw,25,B30,Mayrhofen,2022
2754,white,"Shevchenko, Kirill",2645,lose,59,A05,Mayrhofen,2022
2754,white,"Nemeth, Miklos",2459,win,75,A45,Mayrhofen,2022
2764,white,"Kryvoruchko, Yuriy",2672,win,77,A07,Germany,2022
2764,white,"Bluebaum, Matthias",2673,draw,33,C42,Germany,2022
2764,white,"Bjerre, Jonas Buhl",2608,win,35,C20,Germany,2022
2764,white,"Svane, Rasmus",2649,draw,39,C77,Germany,2022
2764,white,"Radjabov, Teimour",2753,lose,33,C65,Madrid,2022
2764,black,"Nepomniachtchi, Ian",2766,draw,34,B67,Madrid,2022
2764,white,"Caruana, Fabiano",2783,draw,52,C65,Madrid,2022
2764,black,"Nakamura, Hikaru",2760,draw,96,B33,Madrid,2022
2764,white,"Ding, Liren",2806,lose,55,C77,Madrid,2022
2764,black,"Firouzja, Alireza",2793,lose,41,C65,Madrid,2022
2764,white,"Duda, Jan Krzysztof",2750,win,29,C42,Madrid,2022
2764,white,"Nepomniachtchi, Ian",2766,lose,43,C42,Madrid,2022
2764,black,"Radjabov, Teimour",2753,draw,40,B46,Madrid,2022
2764,black,"Caruana, Fabiano",2783,draw,24,B46,Madrid,2022
2764,white,"Nakamura, Hikaru",2760,draw,44,C65,Madrid,2022
2764,black,"Ding, Liren",2806,draw,40,D86,Madrid,2022
2764,white,"Firouzja, Alireza",2793,draw,61,B53,Madrid,2022
2764,black,"Duda, Jan Krzysztof",2750,draw,69,B44,Madrid,2022
2646,black,"So, Wesley",2814,lose,41,A40,Warsaw,2022
2646,white,"Anand, Viswanathan",2758,lose,54,C44,Warsaw,2022
2646,black,"Shevchenko, Kirill",2624,win,45,B22,Warsaw,2022
2646,white,"Gavrilescu, David",2367,win,29,A00,Warsaw,2022
2646,black,"Korobov, Anton",2650,lose,51,A61,Warsaw,2022
2646,white,"Duda, Jan Krzysztof",2760,lose,54,C46,Warsaw,2022
2646,black,"Wojtaszek, Radoslaw",2610,win,68,A40,Warsaw,2022
2646,white,"Aronian, Levon",2773,lose,56,B23,Warsaw,2022
2646,white,"Caruana, Fabiano",2744,lose,49,B23,Warsaw,2022
2646,white,"So, Wesley",2814,lose,63,C46,Warsaw,2022
2646,black,"Anand, Viswanathan",2758,draw,60,B51,Warsaw,2022
2646,white,"Shevchenko, Kirill",2624,draw,75,B23,Warsaw,2022
2646,black,"Gavrilescu, David",2367,win,46,B51,Warsaw,2022
2646,white,"Korobov, Anton",2650,win,39,B23,Warsaw,2022
2646,black,"Duda, Jan Krzysztof",2760,draw,67,A61,Warsaw,2022
2646,white,"Wojtaszek, Radoslaw",2610,lose,74,B23,Warsaw,2022
2646,black,"Aronian, Levon",2773,lose,83,E73,Warsaw,2022
2646,black,"Caruana, Fabiano",2744,lose,48,E73,Warsaw,2022
2785,white,"Anand, Viswanathan",2675,win,36,C42,Warsaw,2022
2785,black,"So, Wesley",2770,lose,49,E94,Warsaw,2022
2785,white,"Wojtaszek, Radoslaw",2647,win,36,B50,Warsaw,2022
