rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2677,white,"Palac, Mladen",2516,win,55,B90,"Zagreb, Croatia",2022
2677,white,"Livaic, Leon",2574,draw,38,A13,"Zagreb, Croatia",2022
2586,black,"Le, Quang Liem",2713,lose,28,B90,Gibraltar,2020
2586,white,"Topalov, Veselin",2738,lose,64,E14,Gibraltar,2020
2585,white,"Donchenko, Alexander",2644,draw,30,B91,Sitges,2019
2585,black,"Kovalenko, Igor",2647,draw,85,A46,Sitges,2019
2581,white,"Shirov, Alexei",2666,lose,26,A06,Spain,2019
2581,black,"Badelka, Olga",2413,win,45,A16,Gmund am Tegernsee,2019
2591,white,"Paehtz, Elisabeth",2479,draw,51,C11,Linares,2019
2591,black,"Anton Guijarro, David",2674,draw,31,A30,Linares,2019
2586,white,"Kryvoruchko, Yuriy",2686,draw,21,E32,Abu Dhabi,2019
2594,black,"Kamsky, Gata",2673,draw,60,C26,Biel,2019
2588,black,"Movsesian, Sergei",2639,draw,25,C50,Teplice,2019
2582,white,"Kovalev, Vladislav",2703,draw,52,E83,Skopje,2019
2582,white,"Cheparinov, Ivan",2683,lose,43,D70,Skopje,2019
2582,white,"Kovalenko, Igor",2658,lose,46,E32,Skopje,2019
2581,black,"Le, Quang Liem",2714,lose,41,C84,Gibraltar,2019
2581,white,"Eljanov, Pavel",2680,draw,45,E36,Gibraltar,2019
2581,black,"Khademalsharieh, Sarasadat",2468,win,28,A05,Gibraltar,2019
2581,black,"Naiditsch, Arkadij",2734,lose,70,C77,Gibraltar,2019
2581,white,"Ivanchuk, Vassily",2713,win,41,D97,Gibraltar,2019
2584,black,"Volkov, Sergey",2583,lose,34,E20,Stockholm,2019
2584,white,"Rakesh, Kumar Jena",2398,win,47,E76,Stockholm,2019
2584,black,"Yeoh, Li Tian",2508,draw,27,C03,Stockholm,2019
2584,white,"Urkedal, Frode Olav Olsen",2537,draw,44,E35,Stockholm,2019
2584,black,"Hauge, Lars Oskar",2466,win,50,C05,Stockholm,2018
2584,white,"Libiszewski, Fabien",2481,draw,56,E90,Stockholm,2018
2584,black,"Lyrberg, Patrik",2446,draw,51,A22,Stockholm,2018
2584,white,"Gorshtein, Ido",2384,win,29,B13,Stockholm,2018
2584,black,"Ornstein, Axel",2300,win,58,D43,Stockholm,2018
2584,white,"Beliavsky, Alexander G",2544,win,64,A11,Sitges,2018
2584,black,"Gukesh, Dommaraju",2466,draw,24,A49,Sitges,2018
2584,black,"Seyb, Alexander",2419,draw,22,C18,Sitges,2018
2584,white,"Petrosyan, Manuel",2565,lose,38,D12,Sitges,2018
2584,black,"Garriga Cazorla, Pere",2448,win,38,D38,Sitges,2018
2584,white,"Vasquez Schroder, Rodrigo Rafael",2495,draw,10,A33,Sitges,2018
2584,black,"Baghdasaryan, Vahe",2376,win,28,C51,Sitges,2018
2584,white,"Lillo Castany, Victor",2336,draw,38,D02,Sitges,2018
2584,black,"Fernandez de Bobadilla, Gabriel",2196,win,36,E90,Sitges,2018
2584,white,"Maiorov, Nikita",2510,lose,43,E20,Rome,2018
2584,black,"Solodovnichenko, Yuri",2562,lose,69,C67,Rome,2018
2584,white,"Kunin, Vitaly L",2535,win,55,D25,Rome,2018
2584,black,"Petrosyan, Manuel",2565,draw,35,D46,Rome,2018
2584,white,"Kollars, Dmitrij",2559,win,29,D31,Rome,2018
2584,black,"Bryzgalin, Kirill",2439,win,51,A48,Rome,2018
2584,black,"Fataliyeva, Ulviyya Hasil Qizi",2311,draw,34,B51,Rome,2018
2584,white,"Marzaduri, Riccardo",2125,win,22,A11,Rome,2018
2572,black,"Colpe, Malte",2379,win,52,D35,Tegernsee,2018
2572,white,"Demchenko, Anton",2679,draw,49,E71,Tegernsee,2018
2572,black,"Iturrizaga Bonelli, Eduardo",2636,draw,20,A46,Tegernsee,2018
2572,black,"Hovhannisyan, Robert",2621,lose,51,B92,Tegernsee,2018
2572,white,"Sanal, Vahap",2487,win,46,E32,Tegernsee,2018
2572,black,"Jarmula, Lukasz",2492,win,36,B90,Tegernsee,2018
2572,white,"Bernabeu Lopez, Carlos Javier",2353,win,64,D59,Tegernsee,2018
2572,black,"Moeldner, Juergen",2209,win,32,B94,Tegernsee,2018
2572,white,"Gross, Willi",2122,win,61,E60,Tegernsee,2018
2572,black,"Petrov, Nikita",2599,draw,20,C50,Arco,2018
2572,white,"De Santis, Alessio",2267,win,47,C41,Arco,2018
2572,black,"Horvath, Csaba",2510,draw,16,A30,Arco,2018
2572,white,"Sarkar, Justin",2339,draw,53,D04,Arco,2018
2572,black,"Molnar, Bela",2285,win,21,C92,Arco,2018
2572,white,"Zeller, Frank",2374,draw,38,D63,Arco,2018
2572,black,"De Eccher, Stefano",2206,win,38,B07,Arco,2018
2572,white,"Bevilacqua, Maurizio",2107,win,40,E90,Arco,2018
2572,black,"Ciola, Alberto",1873,win,34,E61,Arco,2018
2574,white,"Yao, Stefano",2343,win,30,B38,Trieste,2018
2574,black,"Vorobiov, Evgeny E",2561,draw,31,D35,Trieste,2018
2574,white,"Praznik, Niko",2404,draw,87,D02,Trieste,2018
2574,black,"Tratar, Marko",2439,draw,58,A04,Trieste,2018
2574,white,"Burmakin, Vladimir",2504,draw,28,B19,Trieste,2018
2574,black,"Rombaldoni, Denis",2498,draw,47,E48,Trieste,2018
2574,white,"Schreiner, Peter",2463,draw,51,D78,Trieste,2018
2574,black,"Arman, Deniz",2366,win,40,C00,Trieste,2018
2574,white,"Zamar Kodelja, Jurij",2208,win,33,E98,Trieste,2018
2582,white,"Teran Alvarez, Ismael",2377,draw,30,E62,Linares,2018
2582,black,"Aroshidze, Levan",2504,lose,32,C60,Linares,2018
2582,white,"Asis Gargatagli, Hipolito",2515,draw,33,E66,Linares,2018
2582,black,"Vega Gutierrez, Sabrina Neide",2390,win,41,B90,Linares,2018
2582,white,"Montero Melendez, Rafael",2367,win,78,D94,Linares,2018
2582,black,"Tejedor Fuente, Enrique",2408,draw,30,C69,Linares,2018
2582,white,"Romero Romero, Sebastian",2171,win,60,A90,Linares,2018
2582,black,"Serarols Mabras, Bernat",2313,draw,56,A80,Linares,2018
2582,white,"Gil Quilez, Sonia",2066,win,43,D30,Linares,2018
2582,white,"Ljubojevic, Ljubomir",2571,win,30,A34,Linares,2018
2582,white,"Ibarra Jerez, Jose Carlos",2570,draw,53,A11,Linares,2018
2582,black,"Blanco, Cristobal J",2362,win,51,A36,Linares,2018
2582,white,"Anton Guijarro, David",2652,lose,30,B09,Linares,2018
2582,black,"Moreno Trujillo, Alejandro",2497,win,93,E32,Linares,2018
2582,black,"Cuenca Jimenez, Jose Fernando",2506,win,48,C95,Linares,2018
2582,white,"Estremera Panos, Sergio",2337,win,60,B45,Linares,2018
2582,black,"Beltran de Heredia Eguiaz, Miguel Angel",2229,win,40,B11,Linares,2018
2582,white,"Martin Rodriguez, Emilio",1994,win,39,D93,Linares,2018
2582,black,"Lopez Martinez, Josep Manuel",2585,draw,46,D38,Linares,2018
2582,white,"Santos Ruiz, Miguel",2517,win,54,B53,Linares,2018
2582,black,"Muzychuk, Anna",2564,lose,39,C95,Linares,2018
2582,white,"Aroshidze, Levan",2504,win,33,A47,Linares,2018
2582,black,"Ramiro Ovejero, Juan Luis",2382,win,65,C95,Linares,2018
2582,white,"Cuenca Jimenez, Jose Fernando",2506,draw,31,E49,Linares,2018
2582,white,"Alshameary Puente, Ismael",2343,draw,57,C93,Linares,2018
2576,white,"Kantans, Toms",2529,draw,36,C81,Maia,2018
2576,black,"Dias, Ivo Rodrigues",2138,win,44,C54,Maia,2018
2576,white,"Neves, Pedro Alexandre Mai",2236,win,38,C70,Maia,2018
2576,black,"Alshameary Puente, Ismael",2352,win,68,D35,Maia,2018
2576,black,"Galvao, Henrique",2161,win,26,C01,Maia,2018
2576,white,"Sousa, Andre Ventura",2373,draw,37,E27,Maia,2018
2576,black,"Lombaers, Peter",2361,win,53,A29,Maia,2018
2576,white,"Prithu, Gupta",2436,win,24,A28,Maia,2018
2576,black,"Oratovsky, Michael",2474,draw,24,B80,Maia,2018
2576,black,"Vallejo Pons, Francisco",2707,lose,88,E34,Leon ESP,2018
2576,white,"Vallejo Pons, Francisco",2707,draw,48,A04,Leon ESP,2018
2576,black,"Vallejo Pons, Francisco",2707,lose,68,E34,Leon ESP,2018
2576,white,"Vallejo Pons, Francisco",2707,draw,42,C67,Leon ESP,2018
2576,black,"Vallejo Pons, Francisco",2707,draw,41,C95,Leon ESP,2018
2576,white,"Vallejo Pons, Francisco",2707,win,54,C42,Leon ESP,2018
2567,black,"Vaishali, Ramesh Babu",2310,win,33,B40,Ortisei,2018
2567,black,"Saric, Ivan",2685,lose,33,B90,,2018
2567,white,"Tarlev, Konstantin",2552,draw,24,C95,Ortisei,2018
2567,black,"Vocaturo, Daniele",2608,draw,34,E08,Ortisei,2018
2567,white,"Praggnanandhaa, R.",2529,draw,54,C78,Ortisei,2018
2567,black,"Kindermann, Stefan",2506,win,79,B20,Ortisei,2018
2567,white,"Jaracz, Pawel",2467,win,27,C81,Ortisei,2018
2567,black,"Kumar, Nikhil",2286,win,36,E04,Ortisei,2018
2567,white,"Wenner, Tobias",2161,win,26,E60,Ortisei,2018
2552,black,"Sumets, Andrey",2577,draw,13,D27,Llucmajor,2018
2552,black,"Stany, George Anthony",2489,win,37,C91,Llucmajor,2018
