rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2559,white,"Vidit, Santosh Gujrathi",2669,win,27,E04,Almaty,2022
2559,black,"Van Foreest, Jorden",2663,lose,55,C77,Almaty,2022
2559,black,"Salem, A.R. Saleh",2633,draw,65,D35,Almaty,2022
2559,white,"Maghsoodloo, Parham",2672,lose,45,A46,Almaty,2022
2559,black,"Asadli, Vugar",2635,draw,18,C77,Almaty,2022
2559,black,"Sarana, Alexey",2708,win,49,D35,Almaty,2022
2559,white,"Svane, Rasmus",2674,draw,33,A46,Almaty,2022
2559,black,Erigaisi Arjun,2750,draw,58,D00,Almaty,2022
2559,black,"Caruana, Fabiano",2847,lose,97,C88,Almaty,2022
2640,white,"Nepomniachtchi, Ian",2766,lose,45,E10,Almaty,2022
2640,black,"Martirosyan, Haik M.",2575,draw,7,D38,Almaty,2022
2640,white,"Petrosyan, Manuel",2539,draw,4,E10,Almaty,2022
2640,black,"Suleymenov, Alisher",2440,win,41,D30,Almaty,2022
2640,white,"Chigaev, Maksim",2548,draw,50,E94,Almaty,2022
2640,black,"Cheng, Bobby",2476,draw,31,D30,Almaty,2022
2640,white,"Sanal, Vahap",2547,win,34,A41,Almaty,2022
2640,black,"Dardha, Daniel",2511,win,63,D38,Almaty,2022
2640,white,"Durarbayli, Vasif",2513,draw,58,D11,Almaty,2022
2640,black,"Pantsulaia, Levan",2522,draw,37,A06,Almaty,2022
2640,white,"Tulendinov, Dinmukhammed",1986,win,27,D11,Almaty,2022
2640,black,"Lazavik, Denis",2453,lose,38,E10,Almaty,2022
2640,white,"Hambleton, Aman",2450,draw,46,E15,Almaty,2022
2711,black,"Markus, Robert",2615,draw,36,A07,Mayrhofen,2022
2711,black,"Bernadskiy, Vitaliy",2570,draw,40,D35,Mayrhofen,2022
2711,white,"Anton Guijarro, David",2655,draw,15,E10,Mayrhofen,2022
2711,white,"Wagner, Dennis",2570,draw,35,D85,Mayrhofen,2022
2711,black,"Sadikhov, Ulvi",2473,draw,63,A13,Mayrhofen,2022
2711,white,"Borhy, Marcell",2400,draw,29,E21,Mayrhofen,2022
2711,black,"Thorarinsson, Pall A.",2168,win,34,E12,Mayrhofen,2022
2698,white,"Shirov, Alexei",2704,win,49,D11,Chennai,2022
2698,black,"Mamedyarov, Shakhriyar",2759,win,67,D37,Chennai,2022
2698,black,"Abdusattorov, Nodirbek",2688,draw,81,C88,Chennai,2022
2698,white,"Harikrishna, Pentala",2720,win,102,D12,Chennai,2022
