rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2718,black,"Le, Quang Liem",2709,lose,42,D30,Prague CZE,2022
2691,black,"Nakamura, Hikaru",2736,win,58,B67,chess24.com INT,2021
2691,white,"Nepomniachtchi, Ian",2789,draw,35,B90,chess24.com INT,2021
2691,black,"Giri, Anish",2764,draw,45,D42,chess24.com INT,2021
2691,white,"Grischuk, Alexander",2777,draw,73,B33,chess24.com INT,2021
2691,black,"Duda, Jan-Krzysztof",2743,draw,60,D87,chess24.com INT,2021
2691,white,"Dominguez Perez, Leinier",2758,draw,44,D38,chess24.com INT,2021
2691,white,"Dubov, Daniil",2710,lose,71,D08,chess24.com INT,2021
2691,black,"Bluebaum, Matthias",2670,win,30,D04,chess24.com INT,2021
2691,white,"Aronian, Levon",2781,lose,65,D38,chess24.com INT,2021
2691,black,"So, Wesley",2770,lose,25,D11,chess24.com INT,2021
2691,white,"Vachier-Lagrave, Maxime",2784,draw,41,D97,chess24.com INT,2021
2691,black,"Carlsen, Magnus",2862,lose,33,A11,chess24.com INT,2021
2691,white,"Ding, Liren",2791,win,54,E12,chess24.com INT,2021
2691,black,"Radjabov, Teimour",2765,lose,45,D02,chess24.com INT,2021
2691,white,"Vidit, Santosh Gujrathi",2726,win,38,D41,chess24.com INT,2021
2691,white,"Sevian, Samuel",2660,draw,67,A20,lichess.org INT,2020
2691,black,"Dominguez Perez, Leinier",2758,draw,26,D85,lichess.org INT,2020
2691,white,"Swiercz, Dariusz",2649,draw,83,B12,lichess.org INT,2020
2691,black,"Nakamura, Hikaru",2736,lose,48,A00,lichess.org INT,2020
2691,black,"Liang, Awonder",2592,win,38,A05,lichess.org INT,2020
2691,white,"Ramirez, Alejandro",2567,win,59,D12,lichess.org INT,2020
2691,black,"Lenderman, Aleksandr",2634,win,45,E60,lichess.org INT,2020
2691,white,"So, Wesley",2770,lose,34,E25,lichess.org INT,2020
2691,black,"Robson, Ray",2673,lose,40,B67,lichess.org INT,2020
2691,white,"Xiong, Jeffery",2709,draw,29,D23,lichess.org INT,2020
2691,black,"Moradiabadi, Elshan",2555,draw,49,A48,lichess.org INT,2020
