rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2666,white,"Hrbek, Stepan",2335,win,64,B33,Czech Republic,2023
2666,black,"Mihok, Oliver",2556,draw,30,C67,Czech Republic,2023
2666,white,"Haring, Filip",2466,draw,84,,C65,2022
2590,black,"Guseinov, Gadir",2616,lose,52,,B30,2022
2590,white,"Guseinov, Gadir",2616,draw,26,,B40,2022
2590,white,"Kovalenko, Igor",2620,win,42,B41,Jerusalem,2022
2590,black,"Fressinet, Laurent",2684,draw,34,D85,Jerusalem,2022
2662,white,"Heinemann, Thies",2484,win,40,,B90,2022
2662,black,"Dziuba, Marcin",2569,win,36,,D43,2022
2673,black,"Fedoseev, Vladimir",2685,draw,46,D43,Linares,2022
2673,white,"Gines Esteo, Pedro Antonio",2505,draw,46,A28,Linares,2022
2673,black,"Kryvoruchko, Yuriy",2669,draw,40,C67,Linares,2022
2673,white,"Cheparinov, Ivan",2686,draw,44,B23,Linares,2022
2673,black,"Harikrishna, Pentala",2716,draw,66,C84,Linares,2022
2673,white,"Van Foreest, Jorden",2691,lose,47,D41,Linares,2022
2673,black,"Eljanov, Pavel",2695,lose,65,A11,Linares,2022
2697,white,"Klekowski, Maciej",2483,win,25,B48,Thessaloniki,2022
2697,black,"Heimann, Andreas",2567,lose,92,D10,Thessaloniki,2022
2697,black,"Neugebauer, Martin",2528,draw,36,B52,Thessaloniki,2022
2697,white,"Livaic, Leon",2576,win,27,C53,Thessaloniki,2022
2697,black,"Deac, Bogdan-Daniel",2699,lose,62,A07,Thessaloniki,2022
2697,white,"Vlachos, Anatole",2430,draw,43,C53,Thessaloniki,2022
2697,black,"Banikas, Hristos",2598,draw,25,D45,Thessaloniki,2022
2704,black,"Sargissian, Gabriel",2698,lose,49,D11,Chennai,2022
2704,white,"Navara, David",2688,draw,67,C67,Chennai,2022
2704,black,"Bjerre, Jonas Buhl",2608,draw,49,A07,Chennai,2022
2704,white,"Jumabayev, Rinat",2617,draw,60,C29,Chennai,2022
2704,black,"Quesada Perez, Yasser",2568,draw,39,C53,Chennai,2022
2704,white,Gukesh D,2684,lose,44,B30,Chennai,2022
2704,black,"Ganguly, Surya Shekhar",2608,draw,37,C45,Chennai,2022
2704,white,"Supi, Luis Paulo",2603,draw,41,B23,Chennai,2022
2704,black,"Dardha, Daniel",2575,win,52,B52,Chennai,2022
2704,white,"Toczek, Grzegorz",2287,win,27,B07,Chennai,2022
2704,black,"Ivic, Velimir",2581,draw,26,C85,Baden-Baden,2022
2704,black,"Moussard, Jules",2672,draw,45,C50,Baden-Baden,2022
2704,black,"Andersen, Mads",2587,draw,38,C53,Germany,2022
2704,black,"Amin, Bassem",2680,draw,21,C50,Germany,2022
2704,white,"Moussard, Jules",2672,draw,53,C42,Germany,2022
2704,white,"Ernst, Sipke",2538,draw,52,D30,Germany,2022
2691,white,"Cherniaev, Alexander",2407,win,28,C51,England,2022
2691,black,"Zakarian, David",2316,win,36,C00,England,2022
2695,white,"Van Foreest, Jorden",2715,draw,25,C67,Limburg,2022
2681,black,"Van Foreest, Jorden",2702,win,41,D43,Limburg,2022
2695,white,"Van Foreest, Jorden",2715,win,26,C78,Limburg ,2022
2695,black,"Van Foreest, Jorden",2715,win,25,D43,Limburg,2022
2695,black,"Grandelius, Nils",2635,draw,35,C84,Malmo,2022
2695,white,"Navara, David",2682,lose,45,C67,Malmo,2022
2695,black,"Niemann, Hans Moke",2656,lose,59,D12,Malmo,2022
2695,white,"Adams, Michael",2698,draw,33,C84,Malmo,2022
2695,black,"Salem, A.R. Saleh",2690,draw,61,D11,Malmo,2022
2695,white,"Van Foreest, Jorden",2715,draw,59,B12,Malmo,2022
2695,black,Erigaisi Arjun,2675,lose,41,D44,Malmo,2022
2693,white,"Jones, Gawain C",2666,win,37,C77,England,2022
2693,black,"Kanyamarala, Tarun",2403,win,43,D02,England,2022
2693,white,"Moreby, James",2305,win,42,C02,England,2022
2693,white,"Petr, Martin",2489,win,46,C02,Czech Republic,2022
2691,black,"Jackson, James P",2402,win,37,,D02,2022
2691,white,"Wadsworth, Matthew J",2432,win,39,,B48,2022
2691,black,"Rapport, Richard",2762,draw,30,A30,Belgrade,2022
2691,white,"Fedoseev, Vladimir",2704,win,32,B33,Belgrade,2022
2691,white,"Vidit, Santosh Gujrathi",2723,draw,57,C80,Belgrade,2022
2691,black,"Fedoseev, Vladimir",2704,lose,31,D43,Belgrade,2022
2691,white,"Rapport, Richard",2762,draw,30,C43,Belgrade,2022
2691,black,"Vidit, Santosh Gujrathi",2723,lose,30,B90,Belgrade,2022
2704,white,"So, Wesley",2772,draw,31,C67,Berlin,2022
2704,white,"Dominguez, Leinier",2752,lose,38,B23,Berlin,2022
2702,white,"Bluebaum, Matthias",2575,lose,46,B12,Warsaw,2021
2702,black,"Matlakov, Maxim",2652,lose,58,C50,Warsaw,2021
2702,white,Santos Latasa,2618,win,54,B23,Warsaw,2021
2702,black,"Maghsoodloo, Parham",2512,draw,75,C78,Warsaw,2021
2702,white,Narayanan.S.L,2482,win,47,C67,Warsaw,2021
2702,black,"Durarbayli, Vasif",2532,win,60,C27,Warsaw,2021
2702,white,"Indjic, Aleksandar",2544,lose,58,C42,Warsaw,2021
2702,black,"Van Foreest, Jorden",2563,lose,30,C78,Warsaw,2021
2702,white,"Carlsen, Magnus",2842,lose,57,C84,Warsaw,2021
2702,black,"Najer, Evgeniy",2565,win,52,C78,Warsaw,2021
2702,white,"Corrales Jimenez, Fidel",2561,win,30,B23,Warsaw,2021
2702,white,Nihal Sarin,2500,draw,29,C84,Warsaw,2021
2702,black,"Cramling, Pia",2398,draw,58,D44,Salamanca,2021
2702,white,Santos Latasa,2618,lose,41,B23,Salamanca,2021
2702,black,"Javakhishvili, Lela",2402,draw,23,E12,Salamanca,2021
2702,white,"Topalov, Veselin",2668,draw,44,C42,Salamanca,2021
2702,black,"Vega Gutierrez, Sabrina",2193,win,35,D91,Salamanca,2021
2702,white,"Edouard, Romain",2616,lose,51,B23,Salamanca,2021
2702,white,"Matnadze, Ana",2336,win,43,B12,Salamanca,2021
2673,white,"Giri, Anish",2774,draw,35,B23,Terme Olimia,2021
2673,black,"Duda, Jan Krzysztof",2756,draw,32,C53,Terme Olimia,2021
2673,white,"Sargissian, Gabriel",2664,draw,41,C84,Terme Olimia,2021
2673,black,"Deac, Bogdan-Daniel",2651,win,38,C78,Terme Olimia,2021
2673,white,"Erdos, Viktor",2615,win,46,C92,Terme Olimia,2021
2673,black,"Korobov, Anton",2684,draw,36,D44,Terme Olimia,2021
2673,white,"Grischuk, Alexander",2773,draw,31,C67,Terme Olimia,2021
2673,black,"Yilmaz, Mustafa",2626,draw,30,D10,Terme Olimia,2021
2659,black,"Sargissian, Gabriel",2664,draw,30,D44,Riga,2021
2659,white,"Yu, Yangyi",2704,draw,64,B23,Riga,2021
2659,white,"Vitiugov, Nikita",2727,draw,16,C84,Riga,2021
2659,black,"Vachier-Lagrave, Maxime",2763,draw,48,C78,Riga,2021
2659,black,"Esipenko, Andrey",2720,draw,55,C78,Riga,2021
2659,white,"Firouzja, Alireza",2770,draw,43,B12,Riga,2021
2659,black,"Saric, Ivan",2644,win,30,C78,Riga,2021
2659,white,"Neiksans, Arturs",2570,win,51,C84,Riga,2021
2659,black,"Brkic, Ante",2621,draw,58,C92,Riga,2021
2659,white,"Adly, Ahmed",2602,win,37,B69,Riga,2021
2659,black,"Henriquez Villagra, Cristobal",2608,draw,45,A48,Riga,2021
2659,black,"Tari, Aryan",2646,lose,68,C92,Toledo,2021
2659,black,"Eljanov, Pavel",2691,win,32,C53,Toledo,2021
2659,black,"Naiditsch, Arkadij",2660,win,25,A21,Toledo,2021
2659,white,"Oparin, Grigoriy",2654,draw,30,C48,Toledo,2021
2659,black,"Howell, David",2658,win,56,D11,Toledo,2021
2659,white,"Maghsoodloo, Parham",2701,lose,28,C84,Toledo,2021
2659,black,"Kuzubov, Yuriy",2624,draw,30,D44,Toledo,2021
2652,white,"Wojtaszek, Radoslaw",2698,draw,37,C84,"Struga, Ohrid Lake",2021
2652,black,"Esipenko, Andrey",2720,win,66,C55,"Struga, Ohrid Lake",2021
2652,white,"Nabaty, Tamir",2638,draw,36,C42,"Struga, Ohrid Lake",2021
2652,black,"Shevchenko, Kirill",2633,lose,85,A13,"Struga, Ohrid Lake",2021
2652,white,"Shankland, Samuel L",2720,draw,30,B12,"Struga, Ohrid Lake",2021
2652,white,"Hera, Imre Jr.",2582,win,51,D30,"Struga, Ohrid Lake",2021
2652,black,"Kjartansson, David",2326,win,44,E12,"Struga, Ohrid Lake",2021
2662,white,"Espinosa Aranda, Angel",2479,win,29,B40,Linares,2021
2662,black,"Santos Ruiz, Miguel",2597,draw,33,C63,Linares,2021
2662,white,"Macias Pino, Diego",2328,win,56,D20,Linares,2021
2662,black,"Garza Marco, Sergio",2389,draw,30,D11,Linares,2021
2662,white,"Masague Artero, Guerau",2283,win,28,B31,Linares,2021
2662,black,"Lopez Varela, Pablo",2182,draw,37,C03,Linares,2021
2662,white,"Martinez Fernandez, Adrian",2356,draw,34,C67,Linares,2021
2662,black,"Hernandez Leon, Alberto",2267,win,55,A48,Linares,2021
2662,white,"Rodrigo Yanguas, Maria",2056,win,33,E97,Linares,2021
2662,white,"Vitiugov, Nikita",2724,draw,64,C86,Sochi,2021
2662,black,"Vitiugov, Nikita",2724,lose,48,D44,Sochi,2021
2693,white,"Zherebukh, Yaroslav",2634,win,25,B51,Sochi,2021
2693,black,"Zherebukh, Yaroslav",2634,win,53,A06,Sochi,2021
2693,black,"Zherebukh, Yaroslav",2634,win,25,A06,Sochi,2021
2693,white,"Zherebukh, Yaroslav",2634,lose,43,D85,Sochi,2021
2662,black,"Zherebukh, Yaroslav",2620,lose,36,A01,Sochi,2021
2662,white,"Zherebukh, Yaroslav",2620,win,24,D11,Sochi,2021
2647,white,"Naiditsch, Arkadij",2624,win,54,B52,Linares,2020
2647,black,"Anton Guijarro, David",2688,draw,60,D43,Linares,2020
2647,white,"Quispe Arteaga, Gabriel",2402,win,58,B40,Linares,2020
2647,black,"Kuzubov, Yuriy",2643,draw,72,A11,Linares,2020
2647,black,"Kovalenko, Igor",2645,draw,76,C69,Linares,2020
2647,white,Socko B,2601,win,46,B10,Linares,2020
2647,black,"Vallejo Pons, Francisco",2710,draw,30,C77,Linares,2020
2647,black,Santos Latasa,2588,lose,49,D45,Linares,2020
2647,white,"Salgado Lopez, Ivan",2584,win,49,C65,Linares,2020
2647,black,"Del Rio De Angelis, Salvador G.",2510,win,53,D45,Linares,2020
2647,white,"Plazuelo Pascual, Juan",2448,win,34,B12,Linares,2020
2647,black,"Alsina Leal, Daniel",2484,draw,48,A06,Linares,2020
2647,white,"Domingo Nunez, Ruben",2367,win,43,E18,Linares,2020
2647,black,"Merario Alarcon, Andres",2395,draw,21,D31,Linares,2020
2647,white,"Moreno Ibanez, Miguel",2283,win,37,B90,Linares,2020
2647,black,"Guillo Longares, Cecilia",2100,win,27,A40,Linares,2020
2655,black,"Esipenko, Andrey",2611,win,37,D12,Moscow,2020
2655,white,"Yuffa, Daniil",2575,win,48,B03,Moscow,2020
2655,black,"Lomasov, Semyon",2582,draw,80,B96,Moscow,2020
2655,white,"Sarana, Alexey",2610,win,31,B90,Moscow,2020
2655,black,"Sarana, Alexey",2610,lose,49,D43,Moscow,2020
2655,white,"Lomasov, Semyon",2582,lose,31,C02,Moscow,2020
2655,black,"Yuffa, Daniil",2575,draw,85,E06,Moscow,2020
2655,white,"Esipenko, Andrey",2611,lose,41,E10,Moscow,2020
2664,black,"Sarana, Alexey",2652,draw,57,D45,Moscow,2020
2664,black,"Yuffa, Daniil",2594,draw,40,D20,Moscow,2020
2664,white,"Lomasov, Semyon",2533,win,31,C02,Moscow,2020
2664,white,"Esipenko, Andrey",2672,draw,40,C88,Moscow,2020
2672,black,"Werle, Jan",2545,lose,44,D11,Germany,2020
2672,black,"Rogozenco, Dorian",2475,draw,21,E15,Germany,2020
2672,black,"Junge, Ralph, Dr.",2259,win,45,E42,Germany,2020
2677,black,"Vazquez, Guillermo",2510,draw,26,B31,Brazil,2020
2677,black,"Rodriguez Vila, Andres",2469,draw,59,D00,Brazil,2020
2677,white,"De Oliveira, Gustavo Alfredo Bue",2176,win,32,E11,Brazil,2020
2677,black,"Custodio, Leandro",1994,win,31,A06,Brazil,2020
2672,white,"Paravyan, David",2588,win,42,B31,Moscow,2019
2672,black,"Ganguly, Surya Shekhar",2592,lose,59,C53,Moscow,2019
2672,white,"Sadhwani, Raunak",2358,win,50,D17,Moscow,2019
2672,black,"Bluebaum, Matthias",2561,win,66,D10,Moscow,2019
2672,white,"Jumabayev, Rinat",2558,draw,64,C67,Moscow,2019
2672,black,"Ismagambetov, Anuar",2420,lose,57,C78,Moscow,2019
2672,black,"Duda, Jan Krzysztof",2751,lose,56,A11,Moscow,2019
2672,white,"Dubov, Daniil",2752,draw,20,B33,Moscow,2019
2672,black,"Vachier-Lagrave, Maxime",2873,draw,59,C53,Moscow,2019
2672,white,Nihal Sarin,2292,win,49,E04,Moscow,2019
2672,black,"Wang, Hao",2748,lose,88,D02,Moscow,2019
2672,white,"Nakamura, Hikaru",2819,win,58,C65,Moscow,2019
2672,white,"Aravindh, Chithambaram VR.",2508,win,60,C80,Moscow,2019
2684,white,"Dinstuhl, Volkmar, Dr.",2380,lose,40,B90,Germany,2019
2684,black,"Van Wely, Loek",2609,draw,102,D12,Germany,2019
2666,white,"Asis Gargatagli, Hipolito",2497,win,41,B10,Spain,2019
2666,black,"Salgado Lopez, Ivan",2594,lose,39,D43,Spain,2019
2666,white,"Santos Ruiz, Miguel",2583,win,22,C78,Spain,2019
2666,black,"Cuenca Jimenez, Jose Fernando",2523,draw,31,D44,Spain,2019
2666,white,"Anton Guijarro, David",2686,draw,36,C80,Spain,2019
2666,black,"Santos Latasa, Jaime",2581,win,26,A06,Spain,2019
2666,white,"Valmana Canto, Jaime",2416,win,33,C02,Spain,2019
2666,black,"Zurano Lopez, Pedro",2292,win,49,A07,Spain,2019
2666,white,"Lopez Guerrero, Jose Miguel",2085,win,29,E38,Spain,2019
2664,white,"Westerberg, Jonathan",2546,win,33,D06,Batumi,2019
2664,black,"Koykka, Pekka",2381,win,25,A07,Batumi,2019
2664,white,"Pancevski, Filip",2490,lose,36,C97,Batumi,2019
2664,black,"Tomczak, Jacek",2625,win,53,B30,Batumi,2019
2664,black,"Maurizzi, Marc Andria",2415,win,29,D25,Batumi,2019
2664,white,"Brkic, Ante",2600,draw,32,C80,Batumi,2019
2664,black,"Parligras, Mircea Emilian",2629,win,58,D10,Batumi,2019
2664,white,"Moroni, Luca Jr",2553,win,35,C72,Batumi,2019
2664,white,"Van Foreest, Jorden",2621,draw,32,D12,Douglas,2019
2664,black,"Sethuraman, SP.",2624,lose,42,C42,Douglas,2019
2664,black,"Grischuk, Alexander",2759,lose,52,C11,Douglas,2019
2664,white,"Yu, Yangyi",2763,draw,44,B45,Douglas,2019
2664,white,"Wojtaszek, Radoslaw",2748,draw,31,C89,Douglas,2019
2664,black,"Carlsen, Magnus",2876,lose,43,C43,Douglas,2019
