rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2654,white,"Beerdsen, Thomas",2515,win,50,B11,Wijk aan Zee,2023
2654,black,"Tabatabaei, M. Amin",2686,draw,46,E36,Wijk aan Zee,2023
2654,white,"Warmerdam, Max",2616,draw,40,B54,Wijk aan Zee,2023
2654,black,"L&#039;Ami, Erwin",2627,draw,46,E48,Wijk aan Zee,2023
2654,white,"Mishra, Abhimanyu",2559,win,35,B90,Wijk aan Zee,2023
2654,black,"Yilmaz, Mustafa",2609,lose,38,A05,Wijk aan Zee,2023
2654,white,"Roebers, Eline",2361,win,42,C07,Wijk aan Zee,2023
2654,black,"Supi, Luis Paulo",2608,draw,42,C55,Wijk aan Zee,2023
2654,white,"Pechac, Jergus",2637,win,53,B01,Wijk aan Zee,2023
2654,black,"Adhiban, Baskaran",2610,draw,39,D70,Wijk aan Zee,2023
2654,white,"Vaishali, Rameshbabu",2425,win,37,B30,Wijk aan Zee,2023
2654,black,"Ivic, Velimir",2585,draw,58,D86,Wijk aan Zee,2023
2654,black,"Donchenko, Alexander",2627,draw,33,A05,Wijk aan Zee,2023
2639,black,"Aravindh, Chithambaram VR.",2586,lose,50,A00,Almaty,2022
2639,black,"Tang, Andrew",2582,lose,15,A50,Almaty,2022
2639,white,"Yakubboev, Nodirbek",2560,draw,30,B30,Almaty,2022
2639,black,"Tabatabaei, M. Amin",2551,lose,39,E73,Almaty,2022
2639,white,"Chigaev, Maksim",2542,win,32,B90,Almaty,2022
2639,black,"Urazayev, Arystanbek",2463,win,71,B27,Almaty,2022
2639,black,"Sychev, Klementy",2563,lose,29,B27,Almaty,2022
2639,white,"Cheng, Bobby",2476,win,38,C00,Almaty,2022
2639,black,"Gareyev, Timur",2553,lose,49,E73,Almaty,2022
2639,white,"Harutyunyan, Tigran K.",2426,win,31,C55,Almaty,2022
2639,black,"Petrov, Nikita",2531,lose,36,A45,Almaty,2022
2639,white,"Zhalmakhanov, Ramazan",2432,win,44,B23,Almaty,2022
2639,black,"Tin, Jingyao",2462,lose,39,A56,Almaty,2022
2596,white,"Yudin, Sergei",2454,lose,31,B07,Almaty,2022
2596,black,"Sapenov, Daniyal",2312,win,52,A56,Almaty,2022
2596,white,"Mamedov, Rauf",2578,win,34,E11,Almaty,2022
2596,black,"Tin, Jingyao",2462,win,41,E91,Almaty,2022
2596,white,"Daneshvar, Bardiya",2419,draw,64,B12,Almaty,2022
2596,black,"Durarbayli, Vasif",2513,win,31,B27,Almaty,2022
2596,white,"Ivic, Velimir",2489,draw,86,B23,Almaty,2022
2596,black,"Pranav, V",2430,win,33,B27,Almaty,2022
2596,white,"Cheng, Bobby",2476,lose,24,C11,Almaty,2022
2596,black,"Vokhidov, Shamsiddin",2481,lose,36,C88,Almaty,2022
2596,white,"Van Foreest, Jorden",2693,lose,73,C55,Almaty,2022
2596,black,"Korelskiy, Egor",2256,win,90,C78,Almaty,2022
2596,white,"Kostenko, Petr",2404,win,43,C55,Almaty,2022
2554,white,"Nihal, Sarin",2616,win,52,C50,Jerusalem,2022
2554,black,"Nihal, Sarin",2616,draw,33,A05,Jerusalem,2022
2554,black,"Shevchenko, Kirill",2584,lose,65,C80,,2022
2554,white,"Shevchenko, Kirill",2584,win,50,B23,,2022
2554,white,"Nihal, Sarin",2616,win,44,C50,Jerusalem,2022
2554,white,"Nabaty, Tamir",2650,win,55,C50,Jerusalem,2022
2554,white,"Radjabov, Teimour",2718,draw,55,C50,Jerusalem,2022
2651,black,Aryan Chopra,2632,draw,31,C53,Tashkent,2022
2651,white,"Gareyev, Timur",2608,win,56,C92,Tashkent,2022
2651,black,"Iniyan, P",2556,draw,38,E81,Tashkent,2022
2651,white,"Sivuk, Vitaly",2569,lose,84,B12,Tashkent,2022
2651,black,"Vakhidov, Jakhongir",2589,draw,15,D85,Tashkent,2022
2651,white,"Martirosyan, Haik M.",2666,draw,28,C50,Tashkent,2022
2651,white,"Tiviakov, Sergei",2577,win,39,C10,Tashkent,2022
2651,black,"Vokhidov, Shamsiddin",2566,draw,37,C78,Tashkent,2022
2651,white,"Utegaliyev, Azamat",2460,win,53,C42,Tashkent,2022
2651,black,Raahul V S,2345,win,35,E81,Tashkent,2022
2629,black,"Tabatabaei, M. Amin",2664,win,47,D70,Abu Dhabi,2022
2629,white,Harsha Bharathakoti,2557,win,42,C02,Abu Dhabi,2022
2629,white,Harsha Bharathakoti,2557,win,42,C02,Abu Dhabi,2022
2629,black,"Salem, A.R. Saleh",2679,draw,23,D70,Abu Dhabi,2022
2629,white,"Yakubboev, Nodirbek",2620,draw,15,C67,Abu Dhabi,2022
2629,black,"Haldorsen, Benjamin",2461,win,48,B22,Abu Dhabi,2022
2629,white,Arjun Kalyan,2513,draw,73,C78,Abu Dhabi,2022
2629,black,"Harutyunyan, Tigran K.",2524,draw,37,A48,Abu Dhabi,2022
2629,white,Vishnu Prasanna. V,2432,win,39,B33,Abu Dhabi,2022
2629,black,Viani Antonio Dcunha,2327,win,35,B30,Abu Dhabi,2022
2629,white,"Bok, Benjamin",2616,draw,53,C50,Chennai,2022
2629,black,Praggnanandhaa R,2648,lose,77,E94,Chennai,2022
2629,white,"Ter-Sahakyan, Samvel",2625,win,49,B90,Chennai,2022
2629,black,"Svane, Rasmus",2649,draw,41,A48,Chennai,2022
2629,white,Erigaisi Arjun,2689,draw,49,B15,Chennai,2022
2629,white,"Druska, Juraj",2519,win,38,B14,Chennai,2022
2629,black,"So, Wesley",2773,lose,28,D70,Chennai,2022
2629,white,"Borisek, Jure",2577,win,37,B33,Chennai,2022
2629,white,"Borisek, Jure",2577,win,41,C50,Chennai,2022
2629,black,"Egilstoft, Rogvi",2284,win,60,C24,Chennai,2022
2629,white,"Bhandari, Kshitiz",2071,win,40,C50,Chennai,2022
2609,black,"Sarana, Alexey",2675,draw,31,D90,Sharjah,2022
2609,white,"Sargsyan, Shant",2641,draw,55,C55,Sharjah,2022
2609,black,"Fedoseev, Vladimir",2701,win,39,C78,Sharjah,2022
2609,white,Narayanan.S.L,2662,draw,33,C50,Sharjah,2022
2609,black,"Petrosyan, Manuel",2638,lose,53,C55,Sharjah,2022
2609,white,"Tabatabaei, M. Amin",2650,draw,32,C55,Sharjah,2022
2609,black,"Idani, Pouya",2635,draw,47,C83,Sharjah,2022
2609,white,"Gukesh, D.",2659,win,32,B31,Sharjah UAE,2022
2609,white,Gukesh D,2659,win,32,B31,Sharjah,2022
2609,black,"Saeed, Ishaq",2397,win,38,E66,Sharjah,2022
2609,black,"Mchedlishvili, M.",2595,draw,16,E60,Tashkent UZB,2022
