rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2760,black,Praggnanandhaa R,2684,draw,52,D41,Wijk aan Zee,2023
2760,white,"Abdusattorov, Nodirbek",2713,draw,41,D27,Wijk aan Zee,2023
2760,black,"Carlsen, Magnus",2859,draw,58,E42,Wijk aan Zee,2023
2760,white,"Giri, Anish",2764,draw,34,A07,Wijk aan Zee,2023
2760,black,"Maghsoodloo, Parham",2719,draw,31,E21,Wijk aan Zee,2023
2760,white,"Ding, Liren",2811,draw,42,B12,Wijk aan Zee,2023
2760,black,Gukesh D,2725,win,34,C65,Wijk aan Zee,2023
2760,white,"Keymer, Vincent",2696,win,51,C88,Wijk aan Zee,2023
2760,black,"Caruana, Fabiano",2766,draw,41,C45,Wijk aan Zee,2023
2760,white,"Aronian, Levon",2735,draw,46,A29,Wijk aan Zee,2023
2760,black,"Rapport, Richard",2740,draw,25,A34,Wijk aan Zee,2023
2760,white,Erigaisi Arjun,2722,draw,49,A05,Wijk aan Zee,2023
2760,black,"Van Foreest, Jorden",2681,draw,50,E10,Wijk aan Zee,2023
2763,black,Gukesh D,2632,win,30,B90,Calcutta,2022
2763,white,"Vidit, Santosh Gujrathi",2669,lose,32,A21,Calcutta,2022
2763,black,"Abdusattorov, Nodirbek",2666,draw,48,A50,Calcutta,2022
2763,white,"Nihal, Sarin",2702,win,67,B06,Calcutta,2022
2763,black,Erigaisi Arjun,2750,lose,43,A45,Calcutta,2022
2763,white,"Maghsoodloo, Parham",2672,draw,97,E10,Calcutta,2022
2763,black,"Mamedyarov, Shakhriyar",2733,win,49,D70,Calcutta,2022
2763,white,"Nakamura, Hikaru",2909,lose,35,C55,Calcutta,2022
2763,white,Praggnanandhaa R,2599,win,36,A01,Calcutta,2022
2763,white,Gukesh D,2632,win,25,B31,Calcutta,2022
2763,black,"Vidit, Santosh Gujrathi",2669,draw,43,E10,Calcutta,2022
2763,white,"Abdusattorov, Nodirbek",2666,win,51,C55,Calcutta,2022
2763,black,"Nihal, Sarin",2702,lose,37,A46,Calcutta,2022
2763,white,Erigaisi Arjun,2750,draw,50,D31,Calcutta,2022
2763,black,"Maghsoodloo, Parham",2672,lose,54,E21,Calcutta,2022
2763,white,"Mamedyarov, Shakhriyar",2733,lose,47,C53,Calcutta,2022
2763,black,"Nakamura, Hikaru",2909,lose,40,A04,Calcutta,2022
2763,black,Praggnanandhaa R,2599,lose,37,A04,Calcutta,2022
2784,white,Gukesh D,2632,win,51,E21,Calcutta,2022
2784,black,"Vidit, Santosh Gujrathi",2662,draw,47,C52,Calcutta,2022
2784,white,"Abdusattorov, Nodirbek",2676,lose,67,E47,Calcutta,2022
2784,black,"Nihal, Sarin",2616,draw,22,D25,Calcutta,2022
2784,white,Erigaisi Arjun,2628,draw,49,C11,Calcutta,2022
2784,black,"Maghsoodloo, Parham",2641,lose,53,A50,Calcutta,2022
2784,white,"Mamedyarov, Shakhriyar",2747,lose,35,A46,Calcutta,2022
2784,black,"Nakamura, Hikaru",2789,win,90,D35,Calcutta,2022
2784,black,"Sethuraman, SP.",2545,draw,20,C22,Calcutta,2022
2771,white,"Nihal, Sarin",2677,draw,56,A40,Toronto,2022
2771,black,"Nihal, Sarin",2677,win,43,E00,Toronto,2022
2771,black,"Nihal, Sarin",2677,draw,23,E04,Toronto,2022
2771,black,"Nihal, Sarin",2677,draw,22,A13,Toronto,2022
2771,white,"Nihal, Sarin",2677,win,43,B06,Toronto,2022
2771,white,"Nihal, Sarin",2677,win,34,C42,Toronto,2022
2771,white,"Nakamura, Hikaru",2768,win,91,A40,Toronto,2022
2771,black,"Nakamura, Hikaru",2768,win,74,C48,Toronto,2022
2771,white,"Nakamura, Hikaru",2768,draw,31,C50,Toronto,2022
2771,black,"Nakamura, Hikaru",2768,draw,116,C45,Toronto,2022
2771,white,"Nakamura, Hikaru",2768,draw,49,C50,Toronto,2022
2771,black,"Nakamura, Hikaru",2768,draw,95,C65,Toronto,2022
2771,white,"Nakamura, Hikaru",2768,draw,35,C65,Toronto,2022
2771,black,"Nakamura, Hikaru",2768,draw,51,C65,Toronto,2022
2774,black,"Andreikin, Dmitry",2729,draw,43,A00,Toronto,2022
2774,white,"Andreikin, Dmitry",2729,win,50,D32,Toronto,2022
2771,black,"Andreikin, Dmitry",2729,win,50,A22,Toronto,2022
2771,white,"Andreikin, Dmitry",2729,draw,23,B32,Toronto,2022
2771,black,"Andreikin, Dmitry",2729,win,38,D04,Toronto,2022
2771,white,"Andreikin, Dmitry",2729,draw,39,B46,Toronto,2022
2774,white,"Sevian, Samuel",2684,draw,122,E04,Saint Louis,2022
2774,black,"Lenderman, Aleksandr",2535,win,40,E04,Saint Louis,2022
2774,white,"Moradiabadi, Elshan",2534,win,36,B28,Saint Louis,2022
2774,black,"Aronian, Levon",2755,draw,18,A28,Saint Louis,2022
2774,black,"Niemann, Hans Moke",2699,draw,27,C53,Saint Louis,2022
