rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2686,white,"Yilmaz, Mustafa",2609,lose,49,A13,Wijk aan Zee,2023
2686,black,"Roebers, Eline",2361,draw,62,B60,Wijk aan Zee,2023
2686,white,"Supi, Luis Paulo",2608,draw,49,B90,Wijk aan Zee,2023
2686,black,"Pechac, Jergus",2637,win,46,C34,Wijk aan Zee,2023
2686,white,"Adhiban, Baskaran",2610,draw,68,D30,Wijk aan Zee,2023
2551,white,"Mamedyarov, Shakhriyar",2733,lose,51,D02,Almaty,2022
2551,white,"Salem, A.R. Saleh",2633,lose,31,E73,Almaty,2022
2551,white,"Sindarov, Javokhir",2639,win,39,E73,Almaty,2022
2551,black,"Vallejo Pons, Francisco",2644,win,38,B10,Almaty,2022
2551,black,"Nepomniachtchi, Ian",2782,lose,45,C82,Almaty,2022
2551,white,"Sargsyan, Shant",2602,lose,40,E49,Almaty,2022
2551,black,"Petrosian, Tigran L",2632,lose,92,A07,Almaty,2022
2551,black,"Sarana, Alexey",2708,win,51,A50,Almaty,2022
2551,white,Erigaisi Arjun,2750,draw,54,D70,Almaty,2022
2551,black,"Dubov, Daniil",2792,draw,71,D35,Almaty,2022
2526,black,"Duda, Jan Krzysztof",2791,lose,84,D35,Almaty,2022
2526,white,"Tomashevsky, Evgeny",2628,win,42,A07,Almaty,2022
2526,white,"Andreikin, Dmitry",2631,win,34,E11,Almaty,2022
2526,white,"Andreikin, Dmitry",2631,draw,42,D31,Almaty,2022
2526,black,"Sarana, Alexey",2629,draw,99,A13,Almaty,2022
2526,black,"Harikrishna, Pentala",2646,win,56,A07,Almaty,2022
2526,black,"Anton Guijarro, David",2640,lose,37,A06,Almaty,2022
2526,white,"Grischuk, Alexander",2759,lose,37,C02,Almaty,2022
2526,black,"Bluebaum, Matthias",2617,win,35,A50,Almaty,2022
2526,black,"Vachier-Lagrave, Maxime",2777,draw,52,C82,Almaty,2022
2526,white,"Nakamura, Hikaru",2795,draw,54,E47,Almaty,2022
2660,white,"Adhiban, Baskaran",2611,win,43,C78,Sitges,2022
2660,black,"Petrosyan, Manuel",2621,draw,31,D41,Sitges,2022
2660,white,"Alekseenko, Kirill",2672,draw,24,A05,Sitges,2022
2660,black,"Dardha, Daniel",2606,win,53,E00,Sitges,2022
2660,white,"Gines Esteo, Pedro Antonio",2500,win,19,C65,Sitges,2022
2655,black,"Krzyzanowski, Marcin",2538,win,71,B51,Barcelona,2022
2655,white,"Kacharava, Nikolozi",2532,draw,96,A07,Barcelona,2022
2655,black,"Dragnev, Valentin",2551,draw,52,B23,Barcelona,2022
