rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2620,white,"Caruana, Fabiano",2847,lose,46,C45,Almaty,2022
2620,black,"Bologan, Victor",2525,lose,28,C55,Almaty,2022
2660,white,"Seo, Jung Min",2507,draw,64,B90,Barcelona,2022
2660,black,Arjun Kalyan,2526,draw,27,C55,Barcelona,2022
2660,white,"Indjic, Aleksandar",2631,draw,44,D30,Germany,2022
2656,black,"Vaibhav, Suri",2610,draw,40,D85,,2022
2656,white,"Priasmoro, Novendra",2512,win,43,C55,,2022
2656,black,Lalit Babu M R,2550,draw,39,D86,,2022
2656,white,"Dungca, Ryan",2167,win,40,B39,,2022
2656,black,"Nasuta, Grzegorz",2542,draw,27,C55,,2022
2656,white,"Schebler, Gerhard",2374,win,33,B12,,2022
2656,black,"Weeks, Manuel",2160,win,48,B51,,2022
2656,white,Gourav Nigam,1966,win,23,B51,,2022
2656,white,"Van Foreest, Jorden",2694,draw,58,C55,Mayrhofen,2022
2656,white,Santos Latasa,2677,win,66,C02,Mayrhofen,2022
2656,black,"Vidit, Santosh Gujrathi",2710,lose,35,C45,Mayrhofen,2022
2656,black,"Heimann, Andreas",2573,draw,59,D85,Mayrhofen,2022
2656,black,"Roseneck, Jonas",2414,win,43,E10,Mayrhofen,2022
2656,white,"Niemi, Mikko",2306,win,25,A00,Mayrhofen,2022
2672,black,"Paragua, Mark",2461,draw,30,B12,Chennai,2022
2672,white,"Priasmoro, Novendra",2494,draw,50,C55,Chennai,2022
2672,black,"Gazik, Viktor",2544,lose,45,B50,Chennai,2022
2672,black,"Risteski, Emil",2405,win,32,B12,Chennai,2022
2672,white,"Kuybokarov, Temur",2583,lose,39,D26,Chennai,2022
2672,white,"Phiri, Richmond",2293,win,42,B41,Chennai,2022
2672,black,"Gundavaa, Bayarsaikhan",2503,draw,42,E04,Chennai,2022
2672,white,"Moroni, Luca Jr",2584,draw,40,D02,Chennai,2022
2672,black,"Hoffman, Alejandro",2390,win,36,E10,Chennai,2022
2672,black,"Kaloust, Giorgio",1942,win,30,E04,Chennai,2022
2654,white,"Anand, Viswanathan",2751,draw,22,C83,The Stavanger region,2022
2654,black,"Giri, Anish",2761,lose,61,A06,The Stavanger region,2022
2654,white,"Carlsen, Magnus",2864,draw,33,C47,The Stavanger region,2022
2654,black,"So, Wesley",2766,draw,81,C55,The Stavanger region,2022
2654,white,"Wang, Hao",2744,win,44,C55,The Stavanger region,2022
2654,black,"Topalov, Veselin",2730,draw,51,C55,The Stavanger region,2022
2654,white,"Vachier-Lagrave, Maxime",2750,lose,29,B52,The Stavanger region,2022
