rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2771,white,"Fedoseev, Vladimir",2733,lose,52,C42,Almaty,2022
2771,black,"Harikrishna, Pentala",2617,draw,70,A07,Almaty,2022
2771,white,"Le, Tuan Minh",2530,win,59,B29,Almaty,2022
2771,white,"Sanal, Vahap",2576,win,48,C84,Almaty,2022
2771,black,"Aravindh, Chithambaram VR.",2586,win,34,D05,Almaty,2022
2771,white,"Hansen, Eric",2568,win,53,D10,Almaty,2022
2771,black,"Pranav, V",2440,win,23,B31,Almaty,2022
2771,white,"Tang, Andrew",2582,lose,48,D31,Almaty,2022
2771,black,"Petrosyan, Manuel",2560,draw,65,E48,Almaty,2022
2771,white,"Tsydypov, Zhamsaran",2593,lose,49,E61,Almaty,2022
2771,black,"Quparadze, Giga",2587,lose,49,B90,Almaty,2022
2771,white,"Paravyan, David",2551,draw,74,C42,Almaty,2022
2771,black,"Bluebaum, Matthias",2634,lose,35,D85,Almaty,2022
2771,white,"Shankland, Samuel L",2612,win,34,C01,Almaty,2022
2771,black,"Riazantsev, Alexander",2595,win,95,D85,Almaty,2022
2771,black,"Durarbayli, Vasif",2576,lose,66,B92,Almaty,2022
2771,white,"Dragnev, Valentin",2523,win,45,C42,Almaty,2022
2771,black,"Adly, Ahmed",2605,draw,55,A49,Almaty,2022
2771,white,"Keymer, Vincent",2600,win,40,B10,Almaty,2022
2771,black,"Murzin, Volodar",2586,draw,60,C43,Almaty,2022
2771,white,"Hambleton, Aman",2538,win,49,E46,Almaty,2022
2777,white,"Keymer, Vincent",2590,draw,65,C84,Almaty,2022
2777,white,"Amin, Bassem",2567,win,56,C84,Almaty,2022
2777,black,"Indjic, Aleksandar",2547,win,30,A16,Almaty,2022
2777,white,"Sargsyan, Shant",2561,draw,43,C55,Almaty,2022
2777,black,Erigaisi Arjun,2628,lose,62,A45,Almaty,2022
2777,white,"Paravyan, David",2609,win,40,C42,Almaty,2022
2777,black,"Maze, Sebastien",2574,draw,35,C48,Almaty,2022
2777,white,"Yakubboev, Nodirbek",2573,draw,40,C78,Almaty,2022
2777,black,"Predke, Alexandr",2584,draw,37,A07,Almaty,2022
2777,white,Harsha Bharathakoti,2574,win,53,B30,Almaty,2022
2777,black,"Makhnev, Denis",2513,win,45,E10,Almaty,2022
2777,white,"Tabatabaei, M. Amin",2526,draw,52,C82,Almaty,2022
2777,black,"Kovalev, Vladislav",2523,draw,43,B52,Almaty,2022
2775,black,"Vidit, Santosh Gujrathi",2662,win,71,,A48,2022
2775,white,"Vidit, Santosh Gujrathi",2662,lose,55,,A20,2022
