rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2644,black,"Sychev, Klementy",2563,lose,24,A65,Almaty,2022
2644,white,"Adly, Ahmed",2605,win,34,B20,Almaty,2022
2644,black,"Alonso Rosell, Alvar",2514,lose,50,A61,Almaty,2022
2644,white,Narayanan.S.L,2562,win,17,B06,Almaty,2022
2644,black,"Puranik, Abhimanyu",2506,win,39,A13,Almaty,2022
2644,white,"Tabatabaei, M. Amin",2551,lose,38,B10,Almaty,2022
2644,black,"Dardha, Daniel",2528,lose,37,B46,Almaty,2022
2644,black,"Sanal, Vahap",2576,lose,83,C03,Almaty,2022
2644,white,"Yakubboev, Nodirbek",2560,win,27,C46,Almaty,2022
2644,black,"Khusenkhojaev, Mustafokhuja",2217,win,43,A40,Almaty,2022
2644,white,"Chigaev, Maksim",2542,lose,47,B23,Almaty,2022
2644,black,"Nguyen, Thai Dai Van",2534,draw,18,D27,Almaty,2022
2644,white,"Damjanovic, Vuk",2439,win,52,C46,Almaty,2022
2644,black,"Urazayev, Arystanbek",2463,lose,58,C03,Almaty,2022
2682,black,"Nguyen, Thai Dai Van",2534,draw,87,B46,Almaty,2022
2682,white,"Kovalev, Vladislav",2523,win,49,C46,Almaty,2022
2682,black,"Sadhwani, Raunak",2532,lose,40,A40,Almaty,2022
2682,white,"Tsaruk, Maksim",2334,win,42,C45,Almaty,2022
2682,black,"Hambleton, Aman",2450,win,28,A40,Almaty,2022
2682,white,"Burmakin, Vladimir",2412,win,49,B01,Almaty,2022
2682,black,"Nogerbek, Kazybek",2409,lose,52,D27,Almaty,2022
2682,white,"Idani, Pouya",2523,lose,39,B23,Almaty,2022
2682,black,"Saraci, Nderim",2441,win,62,C19,Almaty,2022
2682,white,"Harutyunyan, Tigran K.",2441,draw,63,C65,Almaty,2022
2682,black,"Nesterov, Arseniy",2497,lose,83,A40,Almaty,2022
2682,white,"Vokhidov, Shamsiddin",2481,draw,49,C60,Almaty,2022
2682,black,"Sychev, Klementy",2489,draw,53,A40,Almaty,2022
2644,black,"Shankland, Samuel L",2612,draw,70,D27,Baku,2022
2644,white,"Wang, Hao",2628,win,81,B23,Baku,2022
2644,black,"Gadimbayli, Abdulla",2399,draw,34,C03,Baku,2022
2644,white,"Mamedyarov, Shakhriyar",2733,lose,45,C46,Baku,2022
2644,black,"Suleymanli, Aydin",2481,win,69,D31,Baku,2022
2644,white,"Mamedov, Rauf",2649,lose,29,B23,Baku,2022
2644,white,Gukesh D,2632,lose,29,B11,Baku,2022
2644,black,"Rapport, Richard",2654,lose,46,C02,Baku,2022
2644,white,"Abdusattorov, Nodirbek",2666,lose,69,B23,Baku,2022
2644,white,"Shankland, Samuel L",2612,win,65,C11,Baku,2022
2644,black,"Wang, Hao",2628,draw,33,C03,Baku,2022
2644,white,"Gadimbayli, Abdulla",2399,win,31,C11,Baku,2022
2644,black,"Mamedyarov, Shakhriyar",2733,lose,37,D31,Baku,2022
2644,white,"Suleymanli, Aydin",2481,lose,37,C46,Baku,2022
2644,black,"Mamedov, Rauf",2649,win,35,C02,Baku,2022
2644,black,Gukesh D,2632,win,46,A04,Baku,2022
2644,white,"Rapport, Richard",2654,lose,81,B23,Baku,2022
2644,black,"Abdusattorov, Nodirbek",2666,lose,52,A13,Baku,2022
2682,white,"Shankland, Samuel L",2657,win,74,B67,Baku,2022
2682,black,"Wang, Hao",2721,win,28,C03,Baku,2022
2682,white,"Gadimbayli, Abdulla",2399,draw,51,C11,Baku,2022
2682,black,"Mamedyarov, Shakhriyar",2746,draw,54,A40,Baku,2022
2682,white,"Suleymanli, Aydin",2448,draw,76,C46,Baku,2022
2682,black,"Mamedov, Rauf",2578,draw,56,C03,Baku,2022
2682,black,Gukesh D,2632,win,70,A04,Baku,2022
2682,white,"Rapport, Richard",2802,win,69,C18,Baku,2022
2682,black,"Abdusattorov, Nodirbek",2676,lose,53,A13,Baku,2022
2716,black,"Meshkovs, Nikita",2563,draw,66,A40,Barcelona,2022
2716,white,"Yuffa, Daniil",2587,draw,42,B90,Barcelona,2022
2716,black,"Sanal, Vahap",2590,draw,80,B40,Barcelona,2022
2716,white,Aditya Mittal,2486,draw,31,C65,Barcelona,2022
2716,white,"Tin, Jingyao",2562,draw,74,A07,Barcelona,2022
2716,white,"Sosa, Tomas",2548,win,28,C55,Barcelona,2022
2716,black,"Lubbe, Nikolas",2486,win,29,A46,Barcelona,2022
2716,white,"Seemann, Jakub",2375,win,37,A22,Barcelona,2022
2711,white,"Cordova, Emilio",2550,win,95,B62,Linares,2022
2711,black,"Alsina Leal, Daniel",2525,win,36,B46,Linares,2022
2711,white,"Bjerre, Jonas Buhl",2598,draw,19,C43,Linares,2022
2711,black,"Reinaldo Castineira, Roi",2496,win,43,B11,Linares,2022
2711,white,"Espinosa Aranda, Angel",2428,win,35,B40,Linares,2022
2702,white,"Melkumyan, Hrant",2634,draw,44,B12,Chennai,2022
2702,black,"Nguyen, Thai Dai Van",2629,draw,43,D16,Chennai,2022
2702,white,"Andersen, Mads",2587,draw,31,C58,Chennai,2022
2702,white,"Amin, Bassem",2680,win,45,E73,Chennai,2022
2702,white,"Sethuraman, SP.",2623,draw,31,C42,Chennai,2022
2702,black,"Fier, Alexandr",2567,draw,43,B12,Chennai,2022
2702,white,"Docx, Stefan",2434,win,39,B72,Chennai,2022
2702,black,"Blackburn, Jonathan L B",2176,win,45,A41,Chennai,2022
2702,white,"Warmerdam, Max",2610,win,38,B23,Germany,2022
2702,white,"Anton Guijarro, David",2667,win,83,C77,Germany,2022
2702,black,"Kamsky, Gata",2655,draw,23,E04,Germany,2022
2702,black,"Gavrilescu, David",2525,draw,22,B11,Germany,2022
2702,black,"Kempinski, Robert",2560,win,31,A40,Germany,2022
2703,white,"Le, Quang Liem",2709,draw,36,C77,Prague,2022
2703,black,"Nguyen, Thai Dai Van",2610,draw,31,A07,Prague,2022
2703,white,"Navara, David",2681,draw,77,C65,Prague,2022
2703,black,"Maghsoodloo, Parham",2716,lose,79,C02,Prague,2022
2703,white,"Shankland, Samuel L",2718,draw,13,C46,Prague,2022
2703,black,"Anton Guijarro, David",2692,win,40,C02,Prague,2022
2703,black,"Vidit, Santosh Gujrathi",2723,draw,34,B46,Prague,2022
2703,white,"Harikrishna, Pentala",2701,draw,33,C50,Prague,2022
2703,black,"Salem, A.R. Saleh",2679,draw,59,C02,Prague CZE,2022
2704,white,"Jones, Gawain C",2672,draw,21,E92,Germany,2022
2704,black,"Huschenbeth, Niclas",2611,win,40,C11,Germany,2022
2652,black,"Nisipeanu, Liviu-Dieter",2638,draw,21,,A40,2022
2701,black,"Tari, Aryan",2646,draw,30,B12,Toledo,2021
2701,white,"Jones, Gawain C",2657,win,49,E71,Toledo,2021
2701,black,"Korobov, Anton",2690,draw,31,D10,Toledo,2021
2701,white,"Cheparinov, Ivan",2659,draw,44,C84,Toledo,2021
2701,white,"Gelfand, Boris",2680,draw,31,A01,Toledo,2021
2710,black,"Salgado Lopez, Ivan",2599,draw,18,D11,Linares,2021
2710,white,Santos Latasa,2616,draw,30,C00,Linares,2021
2710,white,"Perez Candelario, Manuel",2585,win,36,D37,Linares,2021
2710,black,"Cuenca Jimenez, Jose Fernando",2542,draw,30,D12,Linares,2021
2710,black,"Espinosa Aranda, Angel",2479,win,38,B19,Linares,2021
