rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2681,black,"Abdusattorov, Nodirbek",2713,win,49,B48,Wijk aan Zee,2023
2681,white,"Giri, Anish",2764,draw,79,E10,Wijk aan Zee,2023
2681,black,"Ding, Liren",2811,draw,33,D12,Wijk aan Zee,2023
2681,white,"Keymer, Vincent",2696,draw,96,C88,Wijk aan Zee,2023
2681,black,"Aronian, Levon",2735,draw,31,D10,Wijk aan Zee,2023
2681,white,Erigaisi Arjun,2722,win,54,E94,Wijk aan Zee,2023
2681,black,Praggnanandhaa R,2684,lose,64,D12,Wijk aan Zee,2023
2681,white,"Carlsen, Magnus",2859,draw,54,B47,Wijk aan Zee,2023
2681,black,"Maghsoodloo, Parham",2719,lose,45,D20,Wijk aan Zee,2023
2681,white,Gukesh D,2725,draw,32,B30,Wijk aan Zee,2023
2681,black,"Caruana, Fabiano",2766,lose,46,C42,Wijk aan Zee,2023
2681,white,"Rapport, Richard",2740,draw,55,C42,Wijk aan Zee,2023
2681,white,"So, Wesley",2760,draw,50,E10,Wijk aan Zee,2023
2663,white,"Tin, Jingyao",2462,lose,30,B12,Almaty,2022
2663,black,"Nguyen, Thai Dai Van",2534,lose,31,A40,Almaty,2022
2663,black,"Pantsulaia, Levan",2563,lose,27,A06,Almaty,2022
2663,white,"Kovalev, Vladislav",2556,win,24,C77,Almaty,2022
2663,black,"Sargsyan, Shant",2602,lose,44,E73,Almaty,2022
2663,white,"Petrosyan, Manuel",2560,win,59,C65,Almaty,2022
2663,black,"Lazavik, Denis",2484,lose,85,D70,Almaty,2022
2663,white,"Sargissian, Gabriel",2559,win,55,C77,Almaty,2022
2663,black,"Jobava, Baadur",2582,lose,20,C45,Almaty,2022
2663,black,"Dragnev, Valentin",2523,win,47,B06,Almaty,2022
2663,white,"Sanal, Vahap",2576,lose,33,C50,Almaty,2022
2663,white,"Donchenko, Alexander",2581,win,67,B22,Almaty,2022
2663,black,"Ghasi, Ameet K",2587,lose,65,A07,Almaty,2022
2663,white,"Hovhannisyan, Robert",2570,draw,65,C65,Almaty,2022
2663,black,"Anton Guijarro, David",2585,win,36,A05,Almaty,2022
2663,black,"Petrov, Nikita",2531,lose,54,D50,Almaty,2022
2663,white,"Caruana, Fabiano",2847,draw,70,C50,Almaty,2022
2663,white,"Murzin, Volodar",2586,win,30,B12,Almaty,2022
2663,black,"Durarbayli, Vasif",2576,draw,53,C55,Almaty,2022
2663,white,"Fedorov, Alexei",2488,win,21,B22,Almaty,2022
2693,black,"Kobalia, Mihail",2534,draw,72,C60,Almaty,2022
2693,white,"Urazayev, Arystanbek",2535,win,25,B12,Almaty,2022
2693,black,"Nguyen, Thai Dai Van",2534,lose,51,D30,Almaty,2022
2693,white,"Le, Tuan Minh",2442,draw,56,B29,Almaty,2022
2693,black,"Amin, Bassem",2567,lose,45,A08,Almaty,2022
2693,white,"Quparadze, Giga",2538,lose,19,A04,Almaty,2022
2693,white,"Gareyev, Timur",2617,draw,77,C55,Almaty,2022
2693,black,"Carlsen, Magnus",2834,lose,42,A13,Almaty,2022
2693,black,"Duda, Jan Krzysztof",2791,draw,52,E81,Almaty,2022
2693,white,"Artemiev, Vladislav",2727,win,59,C55,Almaty,2022
2693,black,"Sindarov, Javokhir",2596,win,73,C55,Almaty,2022
2693,white,"Tsydypov, Zhamsaran",2550,win,110,D37,Almaty,2022
2693,black,"Nesterov, Arseniy",2497,win,36,D47,Almaty,2022
2690,black,"Tin, Jingyao",2562,lose,46,D98,Sitges,2022
2690,white,"Aravindh, Chithambaram VR.",2607,draw,25,B03,Sitges,2022
2690,black,"Svane, Frederik",2568,draw,53,B13,Sitges,2022
2690,white,"Sardana, Rishi",2460,win,49,A13,Sitges,2022
2690,black,"Song, Julien",2369,win,44,A41,Sitges,2022
2690,white,"Ribera Veganzones, Serni",2199,win,24,B12,Sitges,2022
2699,black,"Ivanchuk, Vasyl",2686,win,54,D32,Jerusalem,2022
2699,white,"Lu, Shanglei",2627,draw,32,E10,Jerusalem,2022
2699,black,"Solomon, Kenny",2408,win,45,E10,Jerusalem,2022
2699,white,"Vachier-Lagrave, Maxime",2775,lose,59,D86,Jerusalem,2022
2699,white,Santos Latasa,2622,draw,32,E10,Jerusalem,2022
2694,black,"Tari, Aryan",2656,draw,58,C55,Mayrhofen,2022
2694,white,"Huschenbeth, Niclas",2593,win,40,A08,Mayrhofen,2022
2694,black,"Esipenko, Andrey",2668,lose,54,B52,Mayrhofen,2022
2694,black,"Banusz, Tamas",2622,draw,37,A05,Mayrhofen,2022
2694,white,"Sanal, Vahap",2595,draw,47,C45,Mayrhofen,2022
2694,black,"Nagy, Gabor",2488,draw,36,A16,Mayrhofen,2022
2694,white,"Wedberg, Tom",2395,win,22,E10,Mayrhofen,2022
2691,black,"Harikrishna, Pentala",2716,draw,37,C67,Linares,2022
2691,white,"Eljanov, Pavel",2695,draw,73,A46,Linares,2022
2691,black,"Gines Esteo, Pedro Antonio",2505,lose,57,D43,Linares,2022
2691,white,"Cheparinov, Ivan",2686,lose,38,D02,Linares,2022
2691,black,"Shirov, Alexei",2673,win,47,D41,Linares,2022
2691,black,"Fedoseev, Vladimir",2685,draw,38,E10,Linares,2022
2680,black,Aryan Chopra,2627,draw,56,B90,Abu Dhabi,2022
2680,white,"Tabatabaei, M. Amin",2664,draw,31,A13,Abu Dhabi,2022
2680,black,"Sukandar, Irine Kharisma",2373,win,33,A41,Abu Dhabi,2022
2680,white,"Robson, Ray",2682,draw,44,E01,Abu Dhabi,2022
2680,black,Erigaisi Arjun,2689,draw,41,A46,Abu Dhabi,2022
2680,white,"Petrosyan, Manuel",2610,win,65,A50,Abu Dhabi,2022
2680,black,"Yakubboev, Nodirbek",2620,draw,39,A21,Abu Dhabi,2022
2680,white,"Grover, Sahaj",2505,win,48,C78,Abu Dhabi,2022
2680,black,"Talibov, Shiroghlan",2351,win,44,D45,Abu Dhabi,2022
2678,white,"Yakubboev, Nodirbek",2620,draw,33,E90,Chennai,2022
2678,white,"Ivic, Velimir",2581,draw,41,A07,Chennai,2022
2678,black,"Tabatabaei, M. Amin",2664,draw,109,A06,Chennai,2022
2678,black,"Berkes, Ferenc",2649,draw,42,A05,Chennai,2022
2678,white,"Fressinet, Laurent",2631,draw,34,C67,Chennai,2022
