rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2726,black,"Ivic, Velimir",2560,draw,35,C88,Deizisau,2022
2726,white,"McShane, Luke J",2637,draw,23,E17,Deizisau,2022
2722,black,"Grandelius, Nils",2651,draw,20,D43,,2022
2722,white,"Cheparinov, Ivan",2689,win,35,D26,Germany,2022
2726,black,"Yu, Yangyi",2713,draw,28,C88,Berlin,2022
2726,white,"Giri, Anish",2771,draw,30,D31,Berlin,2022
2726,black,"Tabatabaei, M. Amin",2623,lose,44,D12,Berlin,2022
2726,black,"Giri, Anish",2771,draw,30,B42,Berlin,2022
2726,white,"Yu, Yangyi",2713,draw,22,B52,Berlin,2022
2726,white,"Tabatabaei, M. Amin",2623,win,64,C81,Berlin,2022
2726,white,"Giri, Anish",2771,draw,31,A16,Belgrade,2022
2726,black,"Tabatabaei, M. Amin",2623,draw,59,C50,Belgrade,2022
2726,white,"Harikrishna, Pentala",2716,draw,31,C88,Belgrade,2022
2726,white,"Tabatabaei, M. Amin",2623,draw,41,A13,Belgrade,2022
2726,black,"Giri, Anish",2771,lose,32,C50,Belgrade,2022
2726,black,"Harikrishna, Pentala",2716,win,24,B40,Belgrade,2022
2731,white,"McShane, Luke J",2655,win,40,E12,London,2021
2731,black,"Adams, Michael",2700,draw,31,B51,London,2021
2731,white,"Jones, Gawain C",2665,draw,23,C80,London,2021
2731,black,"McShane, Luke J",2655,win,42,B26,London,2021
2731,white,"Adams, Michael",2700,draw,33,C88,London,2021
2731,black,"Jones, Gawain C",2665,draw,41,B51,London,2021
2727,black,"Sjugirov, Sanan",2663,draw,67,C88,Riga,2021
2727,white,"Oparin, Grigoriy",2654,lose,46,E24,Riga,2021
2727,black,"Shirov, Alexei",2659,draw,16,C84,Riga,2021
2727,white,"Ponkratov, Pavel",2659,win,26,A20,Riga,2021
2727,black,"Donchenko, Alexander",2648,win,55,A28,Riga,2021
2727,white,"Petrosyan, Manuel",2605,draw,35,C78,Riga,2021
2727,white,"Sarana, Alexey",2649,draw,23,B92,Riga,2021
2727,black,"Shevchenko, Kirill",2632,win,32,C78,Riga,2021
2727,white,"Abasov, Nijat",2638,draw,41,B66,Riga,2021
2727,black,"Kovalev, Vladislav",2634,draw,31,B51,Riga,2021
2727,white,"Dreev, Alexey",2635,draw,32,E04,Riga,2021
2727,black,"Rakhmanov, Aleksandr",2657,draw,32,A46,Ufa,2021
2727,white,"Esipenko, Andrey",2720,draw,42,E10,Ufa,2021
2727,white,"Matlakov, Maxim",2682,draw,35,D90,Ufa,2021
2727,black,"Alekseenko, Kirill",2710,win,60,C77,Ufa,2021
2727,white,"Motylev, Alexander",2624,draw,78,D12,Ufa,2021
2727,black,"Ponkratov, Pavel",2659,draw,70,E46,Ufa,2021
2727,white,"Andreikin, Dmitry",2728,win,39,E10,Ufa,2021
2727,black,"Goryachkina, Aleksandra",2602,draw,25,E04,Ufa,2021
2727,white,"Fedoseev, Vladimir",2704,win,42,E94,Ufa,2021
2727,black,"Predke, Alexandr",2666,draw,37,A06,Ufa,2021
2727,white,"Chigaev, Maksim",2639,draw,41,A16,Ufa,2021
2619,black,"Bu, Xiangzhi",2642,draw,31,D75,Hainan Danzhou ,2021
2619,white,"Topalov, Veselin",2668,draw,39,E53,Hainan Danzhou ,2021
2619,black,"Ju, Wenjun",2610,draw,42,E65,Hainan Danzhou ,2021
2619,white,"Wei, Yi",2752,draw,25,E05,Hainan Danzhou ,2021
2619,black,"Paravyan, David",2676,lose,45,B41,Yasnaya Polyana,2021
2619,white,"Tomashevsky, Evgeny",2635,draw,27,E35,Yasnaya Polyana,2021
2619,black,"Andreikin, Dmitry",2705,lose,36,E71,Yasnaya Polyana,2021
2619,white,"Abdusattorov, Nodirbek",2542,lose,31,B70,Yasnaya Polyana,2021
2619,white,"Matlakov, Maxim",2663,draw,21,E48,Yasnaya Polyana,2021
2619,black,"Giri, Anish",2712,lose,58,C02,Yasnaya Polyana,2021
2619,white,"Alekseenko, Kirill",2656,lose,31,C72,Yasnaya Polyana,2021
2619,black,"Gelfand, Boris",2631,draw,106,E04,Yasnaya Polyana,2021
2619,white,"Korobov, Anton",2740,draw,39,E48,Yasnaya Polyana,2021
2622,white,"Svidler, Peter",2745,draw,44,D85,Sochi,2021
2622,black,"Svidler, Peter",2745,lose,45,B51,Sochi,2021
2724,white,"Svidler, Peter",2714,draw,39,D85,Sochi,2021
2724,black,"Svidler, Peter",2714,draw,30,B53,Sochi,2021
2724,black,"Shirov, Alexei",2662,draw,64,C86,Sochi,2021
2724,white,"Shirov, Alexei",2662,win,48,D44,Sochi,2021
2724,white,"Plat, Vojtech",2525,win,64,E16,Sochi,2021
2724,black,"Plat, Vojtech",2525,draw,38,A22,Sochi,2021
2715,white,"Motylev, Alexander",2641,win,49,C27,Sochi RUS,2021
2715,black,"Andreikin, Dmitry",2725,draw,26,C45,Sochi,2021
2715,white,"Predke, Alexandr",2690,win,43,E49,Sochi,2021
