rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2690,black,"Robson, Ray",2690,draw,72,D27,Saint Louis,2022
2690,white,"Dominguez Perez, Leinier",2747,draw,38,D20,Saint Louis,2022
2690,black,"Caruana, Fabiano",2763,draw,57,D35,Saint Louis,2022
2690,white,"Shankland, Samuel L",2712,draw,77,D30,Saint Louis,2022
2690,white,"Aronian, Levon",2755,draw,28,C45,Saint Louis,2022
2690,black,"Yoo, Christopher Woojin",2563,win,50,B12,Saint Louis,2022
2690,white,"Liang, Awonder",2608,draw,52,D02,Saint Louis,2022
2690,black,"Sevian, Samuel",2684,draw,37,D41,Saint Louis,2022
2690,white,"Lenderman, Aleksandr",2535,draw,49,A07,Saint Louis,2022
2690,black,"Moradiabadi, Elshan",2534,draw,39,B30,Saint Louis,2022
2690,white,"So, W.",2774,draw,39,D27,Saint Louis,2022
2690,black,"Niemann, Hans Moke",2699,draw,43,C11,Saint Louis,2022
2690,white,"Swiercz, Dariusz",2652,draw,58,D11,Saint Louis,2022
2714,black,"Nakamura, Hikaru",2850,lose,50,A20,Saint Louis,2022
2714,white,"Caruana, Fabiano",2847,lose,36,A46,Saint Louis,2022
2714,white,"Nepomniachtchi, Ian",2791,draw,51,B40,Saint Louis,2022
2714,black,"Dominguez Perez, Leinier",2708,lose,54,C42,Saint Louis,2022
2714,white,"Vachier-Lagrave, Maxime",2812,draw,85,A05,Saint Louis,2022
2714,black,"Mamedyarov, Shakhriyar",2710,win,27,D30,Saint Louis,2022
2714,white,"Shankland, Samuel L",2645,draw,34,B50,Saint Louis,2022
2714,black,"Firouzja, Alireza",2795,lose,93,A30,Saint Louis,2022
2714,white,"Aronian, Levon",2850,draw,67,D27,Saint Louis,2022
2714,white,"Nakamura, Hikaru",2850,lose,47,B10,Saint Louis,2022
2714,black,"Caruana, Fabiano",2847,win,55,D00,Saint Louis,2022
2714,black,"Nepomniachtchi, Ian",2791,lose,39,A30,Saint Louis,2022
2714,white,"Dominguez Perez, Leinier",2708,win,29,B50,Saint Louis,2022
