rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2801,black,"Nepomniachtchi, Ian",2807,draw,30,A10,Zagreb,2021
2801,white,"Vachier-Lagrave, Maxime",2794,lose,43,A04,Zagreb,2021
2801,black,"Giri, Anish",2744,draw,39,A04,Zagreb,2021
2801,white,"Mamedyarov, Shakhriyar",2716,lose,26,D61,Zagreb,2021
2801,black,"Korobov, Anton",2668,lose,17,E73,Zagreb,2021
2801,white,"Anand, Viswanathan",2785,lose,26,E21,Zagreb,2021
2801,white,"Duda, Jan Krzysztof",2799,lose,33,B92,Zagreb,2021
2801,black,"Grischuk, Alexander",2765,lose,24,D85,Zagreb,2021
2801,white,"Van Foreest, Jorden",2622,win,41,C45,Zagreb,2021
2801,white,"Nepomniachtchi, Ian",2807,lose,18,E21,Zagreb,2021
2801,black,"Vachier-Lagrave, Maxime",2794,lose,47,B40,Zagreb,2021
2801,white,"Giri, Anish",2744,lose,32,A16,Zagreb,2021
2801,black,"Mamedyarov, Shakhriyar",2716,lose,7,D20,Zagreb,2021
2801,white,"Korobov, Anton",2668,lose,26,A13,Zagreb,2021
2801,black,"Anand, Viswanathan",2785,lose,30,B96,Zagreb,2021
2801,black,"Duda, Jan Krzysztof",2799,lose,26,B96,Zagreb,2021
2801,white,"Grischuk, Alexander",2765,draw,41,D32,Zagreb,2021
2801,black,"Van Foreest, Jorden",2622,lose,25,B96,Zagreb,2021
2812,white,"Navara, David",2748,draw,39,E32,Saint Louis,2017
2812,black,"Dominguez Perez, Leinier",2796,win,48,B90,Saint Louis,2017
2812,black,"Aronian, Levon",2794,draw,20,A49,Saint Louis,2017
2812,white,"Anand, Viswanathan",2756,draw,27,E32,Saint Louis,2017
2812,black,"Le, Quang Liem",2747,draw,53,A48,Saint Louis,2017
2812,white,"Nakamura, Hikaru",2868,win,44,E32,Saint Louis,2017
2812,black,"Caruana, Fabiano",2806,win,54,B23,Saint Louis,2017
2812,white,"Nepomniachtchi, Ian",2787,draw,27,B51,Saint Louis,2017
2812,black,"Karjakin, Sergey",2807,lose,38,A01,Saint Louis,2017
2812,black,"Navara, David",2748,draw,32,B90,Saint Louis,2017
2812,white,"Dominguez Perez, Leinier",2796,win,62,C48,Saint Louis,2017
2812,white,"Aronian, Levon",2794,lose,36,E32,Saint Louis,2017
2812,black,"Anand, Viswanathan",2756,draw,56,B31,Saint Louis,2017
2812,white,"Le, Quang Liem",2747,lose,31,C45,Saint Louis,2017
2812,black,"Nakamura, Hikaru",2868,draw,71,A30,Saint Louis,2017
2812,white,"Caruana, Fabiano",2806,lose,40,C11,Saint Louis,2017
2812,black,"Nepomniachtchi, Ian",2787,draw,47,B84,Saint Louis,2017
2812,white,"Karjakin, Sergey",2807,draw,60,C33,Saint Louis,2017
2812,black,"Caruana, Fabiano",2700,lose,50,B52,Saint Louis,2017
2812,white,"Le, Quang Liem",2761,win,41,E35,Saint Louis,2017
2812,white,"Navara, David",2737,lose,50,B12,Saint Louis,2017
2812,black,"Anand, Viswanathan",2778,draw,31,B51,Saint Louis,2017
2812,white,"Nepomniachtchi, Ian",2810,lose,37,D90,Saint Louis,2017
2812,black,"Aronian, Levon",2794,draw,42,A45,Saint Louis,2017
2812,white,"Dominguez Perez, Leinier",2803,draw,29,A13,Saint Louis,2017
2812,black,"Nakamura, Hikaru",2822,draw,77,D80,Saint Louis,2017
2812,white,"Karjakin, Sergey",2765,draw,44,E34,Saint Louis,2017
2812,white,"Schneider, Karl Heinz",1975,win,31,D00,Moenchengladbach,2016
2812,white,"Paff, Volker",,win,32,B30,Moenchengladbach,2016
2812,white,"Ophuels, Jan",,win,26,B40,Moenchengladbach,2016
2812,white,"Fischer, Gert",,win,57,C43,Moenchengladbach,2016
2812,white,"Noever, Niklas",1648,win,33,B31,Moenchengladbach,2016
2812,white,"Schuster, Andreas",,win,40,D00,Moenchengladbach,2016
2812,white,"Ingenerf, Willi",,win,35,B31,Moenchengladbach,2016
2812,white,"Bartels, Simon",1631,win,43,A45,Moenchengladbach,2016
2812,white,"Kircher, Roger",,win,41,B15,Moenchengladbach,2016
2812,white,"Alonso, Jose Antonio",,win,28,C42,Moenchengladbach,2016
2812,white,"Behne, Michael",,win,29,D02,Moenchengladbach,2016
2812,white,"Stoer, Nathan",1884,win,31,D37,Moenchengladbach,2016
2812,white,"Goertz, Wolfram",,win,27,C62,Moenchengladbach,2016
2812,white,"Vovchik, Vladimir",1797,win,37,C54,Moenchengladbach,2016
2812,white,"Fischdick, Werner",,win,46,C08,Moenchengladbach,2016
2812,white,"Falk, Thomas",,win,35,B40,Moenchengladbach,2016
2812,black,"Caruana, Fabiano",2795,win,37,A38,Saint Louis,2016
2812,white,"Nakamura, Hikaru",2787,win,63,C45,Saint Louis,2016
2812,black,"So, Wesley",2773,draw,46,A41,Saint Louis,2016
2812,white,"Caruana, Fabiano",2795,lose,34,C45,Saint Louis,2016
2812,black,"Nakamura, Hikaru",2787,draw,49,E60,Saint Louis,2016
2812,white,"So, Wesley",2773,draw,37,A13,Saint Louis,2016
2812,black,"Caruana, Fabiano",2795,win,40,B81,Saint Louis,2016
2812,white,"Nakamura, Hikaru",2787,draw,70,C45,Saint Louis,2016
2812,black,"So, Wesley",2773,lose,25,A41,Saint Louis,2016
2812,white,"Caruana, Fabiano",2795,win,69,C28,Saint Louis,2016
2812,black,"Nakamura, Hikaru",2787,lose,52,A65,Saint Louis,2016
2812,white,"So, Wesley",2773,lose,41,B40,Saint Louis,2016
2812,black,"Caruana, Fabiano",2795,draw,60,B31,Saint Louis,2016
2812,white,"Nakamura, Hikaru",2787,win,49,C45,Saint Louis,2016
2812,black,"So, Wesley",2773,lose,26,D85,Saint Louis,2016
2812,white,"Caruana, Fabiano",2795,draw,45,C45,Saint Louis,2016
2812,black,"Nakamura, Hikaru",2787,draw,47,E99,Saint Louis,2016
2812,white,"So, Wesley",2773,win,38,C45,Saint Louis,2016
2812,white,"Matic, Predrag",,win,31,D02,Pula,2015
2812,white,"Miletic, Boris",,win,36,C41,Pula,2015
2812,white,"Flego, Valter",,win,27,D20,Pula,2015
2812,white,"Mikulic, Zdravko",,win,21,C40,Pula,2015
2812,white,"Josipovic, Ivo",,win,25,B00,Pula,2015
2812,white,"Rajkovic, Frano",1676,win,27,C00,Pula,2015
2812,white,"Franc, Borna",,win,18,D00,Pula,2015
2812,white,"Radikovic, Anamarija",1637,win,42,B01,Pula,2015
2812,white,"Kocijancic, Benjamin",,win,20,B07,Pula,2015
2812,white,"Lovric, Dino",1696,win,36,A83,Pula,2015
2812,white,"Pahljina, Marko",1737,win,27,B07,Pula,2015
2812,white,"Ghersinich, Enrico",1779,win,32,A43,Pula,2015
2812,black,"Short, Nigel D",2664,win,38,A48,Saint Louis,2015
2812,white,"Short, Nigel D",2664,win,40,C00,Saint Louis,2015
2812,black,"Short, Nigel D",2664,win,29,B63,Saint Louis,2015
2812,white,"Short, Nigel D",2664,win,49,A50,Saint Louis,2015
2812,black,"Short, Nigel D",2664,win,52,B91,Saint Louis,2015
2812,white,"Short, Nigel D",2664,win,65,D07,Saint Louis,2015
2812,black,"Short, Nigel D",2664,win,38,A05,Saint Louis,2015
2812,white,"Short, Nigel D",2664,lose,33,B08,Saint Louis,2015
2812,white,"Short, Nigel D",2664,draw,43,E11,Saint Louis,2015
2812,black,"Short, Nigel D",2664,win,36,A36,Saint Louis,2015
2812,black,"Habu, Yoshiharu",2415,win,48,B06,Tokyo,2014
2812,white,"Habu, Yoshiharu",2415,win,39,C00,Tokyo,2014
2812,white,"Barrish, Daniel",1742,draw,47,B52,Cape Town,2012
2812,white,"Cerulik, Roman",,win,36,C28,Bratislava,2011
2812,white,"Drugda, Branislav",,win,31,D35,Bratislava,2011
2812,white,"Fiala, Viliam",,win,43,D06,Bratislava,2011
2812,white,"Foldesi, Marek",2072,win,26,C90,Bratislava,2011
2812,white,"Kocisky, Eduard",,win,26,D00,Bratislava,2011
2812,white,"Mecar, Stefan",,win,24,C60,Bratislava,2011
2812,white,"Slamka, Pavol",,win,31,A40,Bratislava,2011
2812,black,"Short, Nigel D",2698,win,41,C58,Leuven,2011
2812,white,"Short, Nigel D",2698,lose,65,B28,Leuven,2011
2812,black,"Short, Nigel D",2698,lose,35,C33,Leuven,2011
2812,white,"Short, Nigel D",2698,win,61,A30,Leuven,2011
2812,black,"Short, Nigel D",2698,win,59,C52,Leuven,2011
2812,white,"Short, Nigel D",2698,draw,58,D37,Leuven,2011
2812,black,"Short, Nigel D",2698,draw,51,B06,Leuven,2011
2812,white,"Short, Nigel D",2698,draw,66,E21,Leuven,2011
2812,black,"Vachier-Lagrave, Maxime",2715,draw,49,C88,Clichy,2011
2812,white,"Vachier-Lagrave, Maxime",2715,win,59,B51,Clichy,2011
2812,white,"Barreto Reyna, Estefania",,win,43,E70,Mexico City,2010
2812,white,"Garcia Almaguer, Juan Manuel",2108,win,35,A10,Mexico City,2010
2812,white,"Gutierrez Garcia, Vicente",,win,26,D02,Mexico City,2010
2812,white,"Lopez de Nava, Hernandez Carlos",,win,41,C55,Mexico City,2010
2812,black,"Karpov, Anatoly",2619,draw,25,D72,Valencia,2009
2812,white,"Karpov, Anatoly",2619,win,96,D35,Valencia,2009
2812,black,"Karpov, Anatoly",2619,win,26,D35,Valencia,2009
2812,white,"Karpov, Anatoly",2619,win,56,D35,Valencia,2009
2812,black,"Karpov, Anatoly",2619,win,36,D72,Valencia,2009
2812,white,"Karpov, Anatoly",2619,win,51,D31,Valencia,2009
2812,black,"Karpov, Anatoly",2619,draw,17,D22,Valencia,2009
2812,white,"Karpov, Anatoly",2619,lose,60,D31,Valencia,2009
2812,white,"Karpov, Anatoly",2619,win,33,D31,Valencia,2009
2812,black,"Karpov, Anatoly",2619,lose,36,D72,Valencia,2009
2812,white,"Karpov, Anatoly",2619,win,28,D31,Valencia,2009
2812,black,"Karpov, Anatoly",2619,win,24,D72,Valencia,2009
2812,white,"Bredl, Harald",2346,win,35,D94,Zuerich,2009
2812,white,"Gaehwiler, Gabriel",2247,win,35,B52,Zuerich,2009
2812,white,"Bicchierai, Gregory",2090,win,26,D30,Bastia,2008
2812,white,"Cristofari, Antoine",2136,win,32,C97,Bastia,2008
2812,white,"Humeau, Cyril",2203,win,32,D31,Bastia,2008
2812,white,"Massoni, Michael",2244,win,25,B40,Bastia,2008
2812,white,"Vilaisarn, Akkhavanh",2248,win,24,C11,Bastia,2008
2812,white,"Vaculik, Martin",2260,win,54,D27,Hluboka,2008
2812,white,"Bivoj, Fridrich",,win,26,C41,Prague,2008
2812,white,"Jaburek, Jiri",,win,16,C09,Prague,2008
2812,white,"Marikova, Jana",,win,5,B50,Prague,2008
2812,white,"Matocha, Pavel",2005,win,25,C77,Prague,2008
2812,white,"Nemec, Igor",,win,25,B07,Prague,2008
2812,black,"Karpov, Anatoly",2668,draw,19,D27,Zuerich,2006
2812,white,"Polgar, Judit",2710,win,47,E60,Zuerich,2006
2812,black,"Korchnoi, Viktor",2600,draw,45,D25,Zuerich,2006
2812,white,"Karpov, Anatoly",2668,draw,53,E12,Zuerich,2006
2812,black,"Polgar, Judit",2710,win,28,B80,Zuerich,2006
2812,white,"Korchnoi, Viktor",2600,win,23,E11,Zuerich,2006
2812,white,"Ansel, Andrew",,win,30,C54,New York,2006
2804,black,"Topalov, Veselin",2757,lose,30,B30,Linares,2005
2804,white,"Anand, Viswanathan",2786,draw,22,C42,Linares,2005
2804,black,"Adams, Michael",2741,win,26,B84,Linares,2005
2804,white,"Vallejo Pons, Francisco",2686,win,54,D12,Linares,2005
2804,black,"Kasimdzhanov, Rustam",2678,win,36,D48,Linares,2005
2804,white,"Leko, Peter",2749,draw,31,B30,Linares,2005
2804,white,"Topalov, Veselin",2757,draw,21,C88,Linares,2005
2804,black,"Anand, Viswanathan",2786,draw,44,B33,Linares,2005
2804,white,"Adams, Michael",2741,win,54,E37,Linares,2005
2804,black,"Vallejo Pons, Francisco",2686,win,29,D21,Linares,2005
2804,white,"Kasimdzhanov, Rustam",2678,draw,51,C42,Linares,2005
2804,black,"Leko, Peter",2749,draw,26,B80,Linares,2005
2813,black,"Grischuk, Alexander",2704,draw,39,B90,Moscow,2004
2813,white,"Morozevich, Alexander",2758,draw,52,D10,Moscow,2004
2813,black,"Timofeev, Artyom",2611,win,42,B50,Moscow,2004
2813,white,"Svidler, Peter",2735,win,57,D10,Moscow,2004
2813,black,"Tseshkovsky, Vitaly",2577,win,39,B85,Moscow,2004
2813,white,"Dreev, Alexey",2698,win,59,D43,Moscow,2004
2813,black,"Epishin, Vladimir",2599,draw,42,E46,Moscow,2004
2813,white,"Motylev, Alexander",2651,draw,76,C42,Moscow,2004
2813,black,"Korotylev, Alexey",2596,draw,26,E12,Moscow,2004
2813,white,"Bareev, Evgeny",2715,win,48,B19,Moscow,2004
2813,white,"Huzman, Alexander",2581,draw,66,C41,Izmir,2004
2813,black,"Sax, Gyula",2560,draw,20,B51,Izmir,2004
2813,white,"Adams, Michael",2740,draw,30,E37,Izmir,2004
2813,black,"Azarov, Sergei",2556,draw,27,B97,Izmir,2004
2813,white,"Shirov, Alexei",2726,win,40,C83,Izmir,2004
